Id,Name,Geometry,Info
259,No Name 2576,"LINESTRING (20.1432628617383 49.0642623918792, 20.1437473284853 49.0642051715346)",Highway (NetInfo)
266,No Name 3630,"LINESTRING (20.1616363517792 49.0435981759265, 20.1614837639375 49.0434150716356)",Basic Road (NetInfo)
267,No Name 3358,"LINESTRING (20.1851997375012 49.0430793778729, 20.1852207183755 49.0431633004369)",Gravel Road (NetInfo)
280,No Name 2585,"LINESTRING (20.1423950183024 49.0648803729397, 20.1425838483782 49.064907075814)",Basic Road (NetInfo)
295,No Name 4257,"LINESTRING (20.1833343505377 49.0643882769078, 20.1826629639397 49.0644340533159)",Highway (NetInfo)
322,No Name 616,"LINESTRING (20.1529369363747 49.0229301481117, 20.1529674544562 49.0233078013174)",Gravel Road (NetInfo)
323,No Name 3705,"LINESTRING (20.1812744139952 49.0692596454382, 20.1816654206571 49.0692253131111)",Basic Road (NetInfo)
367,No Name 616,"LINESTRING (20.1597175601112 49.031105044293, 20.1600475309621 49.0317573575452)",Gravel Road (NetInfo)
416,No Name 1485,"LINESTRING (20.127038958614 49.0256843568295, 20.1261386899394 49.0257072485324)",Gravel Road (NetInfo)
419,No Name 3374,"LINESTRING (20.1663932804733 49.0653648393568, 20.1663227075126 49.0655097978522)",Gravel Road (NetInfo)
422,No Name 2594,"LINESTRING (20.1956920626296 49.0604438799651, 20.1954174040841 49.0604209917818)",Basic Road (NetInfo)
451,No Name 4519,"LINESTRING (20.1283206957417 49.0701141377323, 20.127599715656 49.0703697222953)",Large Road (NetInfo)
452,Skalná,"LINESTRING (20.1727657317422 49.0608863849162, 20.1733818058055 49.0610504167856)",Basic Road (NetInfo)
470,No Name 3682,"LINESTRING (20.1771793364157 49.0327072155763, 20.1771526336373 49.0326118478224)",Gravel Road (NetInfo)
486,No Name 4283,"LINESTRING (20.1985092163297 49.0617599505331, 20.1986160278383 49.0617294330221)",Basic Road (NetInfo)
489,No Name 614,"LINESTRING (20.1304931634426 49.024333955971, 20.1300544759367 49.0248565697152)",Gravel Road (NetInfo)
491,No Name 616,"LINESTRING (20.1581459052827 49.0285377523577, 20.1585292817512 49.0293006924517)",Gravel Road (NetInfo)
503,No Name 802,"LINESTRING (20.1465091716788 49.0621528642649, 20.1462707531244 49.0621681230971)",Basic Road (NetInfo)
521,No Name 1002,"LINESTRING (20.1936054229323 49.0264167805333, 20.1935539242597 49.0261611940216)",Gravel Road (NetInfo)
526,No Name 104,"LINESTRING (20.1430797571364 49.0658340471742, 20.1429481520639 49.0658836383916)",Large Road (NetInfo)
605,No Name 975,"LINESTRING (20.1578369141214 49.0413436901626, 20.1580772396084 49.0413665779269)",Gravel Road (NetInfo)
628,No Name 3696,"LINESTRING (20.1790847778858 49.0384597794734, 20.1796016693363 49.0392570521756)",Gravel Road (NetInfo)
630,No Name 3704,"LINESTRING (20.1593074793698 49.0701942462149, 20.159557343042 49.0703353902541)",Gravel Road (NetInfo)
638,No Name 3683,"LINESTRING (20.170484543575 49.0363159192292, 20.1718387596601 49.0359916699574)",Gravel Road (NetInfo)
651,No Name 701,"LINESTRING (20.1976547239597 49.0645294207071, 20.1985397339451 49.0643806475728)",Highway (NetInfo)
665,No Name 588,"LINESTRING (20.1348190318995 49.0634574908351, 20.134778977615 49.0633850115551)",Basic Road (NetInfo)
700,No Name 970,"LINESTRING (20.1381072992415 49.0447616594434, 20.1380310041657 49.0444793714603)",Gravel Road (NetInfo)
727,No Name 614,"LINESTRING (20.131601332922 49.022796631341, 20.1313610064226 49.0228996305013)",Gravel Road (NetInfo)
747,No Name 616,"LINESTRING (20.1538543689646 49.0254936257589, 20.1542568194882 49.0258178742435)",Gravel Road (NetInfo)
749,Hlavná,"LINESTRING (20.1828269958443 49.0584640521725, 20.1824855805073 49.0584297200801)",Large Road (NetInfo)
765,No Name 4356,"LINESTRING (20.1920089720974 49.0683212295668, 20.1912288665081 49.0685729999362)",Basic Road (NetInfo)
785,No Name 2579,"LINESTRING (20.1417808539516 49.0646629351687, 20.141452790463 49.0647277849887)",Highway (NetInfo)
818,No Name 3207,"LINESTRING (20.1707363130669 49.0590324421327, 20.1707763669631 49.0588150041942)",Gravel Road (NetInfo)
835,No Name 3387,"LINESTRING (20.1596412654498 49.0624694842593, 20.1592979435157 49.0624122638205)",Gravel Road (NetInfo)
866,No Name 3673,"LINESTRING (20.1598339079822 49.040046694724, 20.1598434451346 49.0399589551696)",Gravel Road (NetInfo)
868,No Name 3790,"LINESTRING (20.1631259925489 49.0665588396315, 20.1627464294756 49.0665626545089)",Gravel Road (NetInfo)
896,No Name 1225,"LINESTRING (20.172044754169 49.0614242572407, 20.1716957086327 49.0620002764483)",Gravel Road (NetInfo)
913,No Name 3739,"LINESTRING (20.1891803741686 49.024532318963, 20.1893939970931 49.0243492146682)",Gravel Road (NetInfo)
936,Lesná,"LINESTRING (20.1438560490617 49.0508766196064, 20.1438503256682 49.0509643574731)",Basic Road Bridge (NetInfo)
946,Lesná,"LINESTRING (20.1438484202559 49.0510101332221, 20.1438407891931 49.0511856098047)",Basic Road (NetInfo)
969,No Name 4276,"LINESTRING (20.1960849760245 49.0629119891051, 20.1954879756797 49.0625762957573)",Gravel Road (NetInfo)
973,No Name 3793,"LINESTRING (20.1638908385805 49.0667572038948, 20.1637859351177 49.0666503925433)",Gravel Road (NetInfo)
1010,No Name 579,"LINESTRING (20.1272754696737 49.0576553362177, 20.1292495748769 49.0574722309244)",Gravel Road (NetInfo)
1087,No Name 3705,"LINESTRING (20.1750640871302 49.0708084123499, 20.1777896877609 49.0694847124022)",Basic Road (NetInfo)
1110,No Name 343,"LINESTRING (20.1221523312198 49.0715217608987, 20.1232948285706 49.0712966936802)",Highway (NetInfo)
1117,No Name 620,"LINESTRING (20.132553099326 49.0197753931797, 20.1320438391078 49.0197372453584)",Gravel Road (NetInfo)
1121,Lesná,"LINESTRING (20.1436424240311 49.0498504661808, 20.1436748518781 49.0499115012135)",Basic Road (NetInfo)
1124,Hlavná,"LINESTRING (20.1882153565989 49.0589458021422, 20.1868751306814 49.0588194051589)",Large Road Bridge (NetInfo)
1141,No Name 2559,"LINESTRING (20.1422977463762 49.0522804280117, 20.1413574221014 49.0522460960619)",Basic Road (NetInfo)
1150,No Name 3427,"LINESTRING (20.1776981355163 49.0423851027793, 20.1773777009741 49.0424613972456)",Gravel Road (NetInfo)
1159,No Name 3374,"LINESTRING (20.1647129050376 49.0665435808621, 20.164327620802 49.0665550251048)",Gravel Road (NetInfo)
1163,No Name 974,"LINESTRING (20.1593055727839 49.040733338468, 20.1590633389813 49.040401460744)",Gravel Road (NetInfo)
1173,No Name 604,"LINESTRING (20.1364154819712 49.0551376360448, 20.1364364632215 49.054912569037)",Gravel Road (NetInfo)
1180,No Name 3359,"LINESTRING (20.1746501922111 49.0661239643113, 20.1737213131654 49.0663452167409)",Highway (NetInfo)
1186,No Name 2577,"LINESTRING (20.1423263549437 49.0645599383284, 20.1417808539516 49.0646629351687)",Highway (NetInfo)
1187,No Name 2577,"LINESTRING (20.1426391615583 49.0645141620329, 20.1423263549437 49.0645599383284)",Highway (NetInfo)
1229,No Name 4364,"LINESTRING (20.1957569119111 49.071262361161, 20.1958370205771 49.071289064537)",Basic Road (NetInfo)
1250,No Name 3387,"LINESTRING (20.1581230165588 49.0625495929015, 20.1577053069896 49.0626831073006)",Gravel Road (NetInfo)
1262,No Name 1004,"LINESTRING (20.16685104377 49.0358543412726, 20.1669063570748 49.0356025713146)",Gravel Road (NetInfo)
1268,No Name 3739,"LINESTRING (20.1877422332199 49.0266151437052, 20.1886444091272 49.0261192359491)",Gravel Road (NetInfo)
1343,No Name 4655,"LINESTRING (20.1268596619137 49.0293121357906, 20.1267967218435 49.0289917010491)",Gravel Road (NetInfo)
1356,No Name 3790,"LINESTRING (20.1608276372691 49.0669403093249, 20.1599826816949 49.0672187822327)",Gravel Road (NetInfo)
1365,No Name 1004,"LINESTRING (20.1665687561025 49.0354537975758, 20.1664676658233 49.0356330889)",Gravel Road (NetInfo)
1371,No Name 1002,"LINESTRING (20.1935882569428 49.0259780894844, 20.1937961578422 49.025329589719)",Gravel Road (NetInfo)
1401,No Name 2573,"LINESTRING (20.1424427033568 49.0660743731414, 20.142234801291 49.0661354082005)",Large Road (NetInfo)
1432,No Name 1097,"LINESTRING (20.1410884855392 49.0715141314959, 20.1407527918634 49.0717849749572)",Basic Road (NetInfo)
1434,No Name 4797,"LINESTRING (20.196355819794 49.0344390882022, 20.1958065034437 49.0344429041309)",Gravel Road (NetInfo)
1453,No Name 702,"LINESTRING (20.1652450561096 49.0673828142719, 20.1643981940838 49.0674018877726)",Highway Bridge (NetInfo)
1505,No Name 301,"LINESTRING (20.1924667356283 49.0597152727976, 20.1921234131779 49.0594520588234)",Oneway Road (NetInfo)
1511,No Name 4363,"LINESTRING (20.1943378449056 49.0707778947135, 20.1942768095416 49.0709266679596)",Basic Road (NetInfo)
1522,No Name 630,"LINESTRING (20.1693954468335 49.0316352873229, 20.1695461271468 49.0311584489749)",Gravel Road (NetInfo)
1538,No Name 1083,"LINESTRING (20.1258926415484 49.0710907002947, 20.1267185206774 49.0708160417569)",Gravel Road (NetInfo)
1564,No Name 4655,"LINESTRING (20.1259593961621 49.030990602321, 20.1262531293389 49.0309715279049)",Gravel Road (NetInfo)
1576,No Name 3427,"LINESTRING (20.1756973263723 49.0437965401842, 20.1750202176315 49.0441017164926)",Gravel Road (NetInfo)
1596,No Name 630,"LINESTRING (20.1693534850047 49.0289764417178, 20.1693954462788 49.028610230373)",Gravel Road (NetInfo)
1616,No Name 614,"LINESTRING (20.1332054135272 49.0239028938274, 20.1327095034928 49.0235404981953)",Gravel Road (NetInfo)
1626,No Name 808,"LINESTRING (20.1436634062884 49.0637550371812, 20.1436691272754 49.0638313311276)",HighwayRamp (NetInfo)
1629,No Name 1473,"LINESTRING (20.1437129978017 49.0331306478047, 20.1438217161355 49.0329589855909)",Gravel Road (NetInfo)
1645,No Name 1004,"LINESTRING (20.1781177521838 49.0392875687771, 20.1774215700231 49.0395240796619)",Gravel Road (NetInfo)
1676,No Name 3682,"LINESTRING (20.1769218448008 49.0343284627588, 20.1770668029933 49.0338020341056)",Gravel Road (NetInfo)
1687,No Name 3360,"LINESTRING (20.1685810091987 49.0670356767716, 20.1692008979947 49.0669708271429)",Highway (NetInfo)
1692,No Name 4797,"LINESTRING (20.1905670167227 49.0328331016722, 20.1900196074425 49.0326271079129)",Gravel Road (NetInfo)
1722,No Name 3387,"LINESTRING (20.165027617556 49.0616760272308, 20.1647701265393 49.0615501421832)",Gravel Road (NetInfo)
1739,Hlavná,"LINESTRING (20.1937599181798 49.059421541087, 20.1921520233271 49.05929184154)",Large Road (NetInfo)
1756,No Name 616,"LINESTRING (20.1661643979565 49.034900667635, 20.166175842767 49.0351448068574)",Gravel Road (NetInfo)
1757,No Name 103,"LINESTRING (20.1566219338185 49.0568771380424, 20.1563014975921 49.057010652178)",Large Road Bridge (NetInfo)
1758,No Name 4257,"LINESTRING (20.1948890688491 49.0649757402888, 20.1943092346527 49.065010072585)",Highway (NetInfo)
1770,No Name 3682,"LINESTRING (20.1769161228087 49.0346908587137, 20.1769218448008 49.0343284627588)",Gravel Road (NetInfo)
1773,No Name 3390,"LINESTRING (20.1732234953726 49.0693855304813, 20.1739006043429 49.0694046037428)",Gravel Road (NetInfo)
1788,No Name 620,"LINESTRING (20.1418342599117 49.0198364261952, 20.1414508830006 49.019878390355)",Gravel Road (NetInfo)
1799,No Name 837,"LINESTRING (20.1986427309061 49.0583038349306, 20.1985187528211 49.0582923905065)",Basic Road (NetInfo)
1822,No Name 806,"LINESTRING (20.1436214451488 49.0644569415464, 20.1435108183749 49.0645408649053)",HighwayRamp (NetInfo)
1854,No Name 3630,"LINESTRING (20.1633682247542 49.0473442096014, 20.1635723117607 49.047233583448)",Basic Road (NetInfo)
1857,No Name 4256,"LINESTRING (20.1927394868237 49.06486892875, 20.1932315827497 49.064876558244)",Highway (NetInfo)
1858,Hlavná,"LINESTRING (20.1831417083974 49.0584907551634, 20.1828269958443 49.0584640521725)",Large Road (NetInfo)
1886,No Name 630,"LINESTRING (20.1695461271468 49.0311584489749, 20.1695690156047 49.0306510946013)",Gravel Road (NetInfo)
1887,No Name 975,"LINESTRING (20.1473751076274 49.0425910959155, 20.1477088925121 49.0426254286457)",Gravel Road (NetInfo)
1892,No Name 3672,"LINESTRING (20.1687469485217 49.0683822651029, 20.1689529411379 49.0684089680741)",Gravel Road (NetInfo)
1917,No Name 575,"LINESTRING (20.134094237355 49.0650482195897, 20.1343002326553 49.0650062579589)",Basic Road (NetInfo)
1953,No Name 3432,"LINESTRING (20.174562454041 49.0575943011859, 20.174716949254 49.0568313615777)",Basic Road (NetInfo)
1959,No Name 974,"LINESTRING (20.157106398784 49.0390892037523, 20.1555862437099 49.0381431596633)",Gravel Road (NetInfo)
1963,No Name 1004,"LINESTRING (20.1986885070393 49.0338745129466, 20.1976108552803 49.0341300979344)",Gravel Road (NetInfo)
1999,No Name 1004,"LINESTRING (20.200994492166 49.0338096646315, 20.1986885070393 49.0338745129466)",Gravel Road (NetInfo)
2005,No Name 3406,"LINESTRING (20.1681728366046 49.0438194303811, 20.1678829185096 49.0434608468626)",Gravel Road (NetInfo)
2032,No Name 809,"LINESTRING (20.1457862863421 49.0632591265805, 20.1461143491737 49.0633354205074)",HighwayRamp (NetInfo)
2033,No Name 971,"LINESTRING (20.1419277183671 49.0520896927398, 20.1419143672003 49.0520172140751)",Basic Road (NetInfo)
2075,No Name 3387,"LINESTRING (20.1592979435157 49.0624122638205, 20.15892219557 49.062435152007)",Gravel Road (NetInfo)
2092,No Name 581,"LINESTRING (20.1419620529246 49.0597343461854, 20.1419525132124 49.0595207232163)",Basic Road (NetInfo)
2105,No Name 975,"LINESTRING (20.1392498026781 49.0432777413709, 20.139335632947 49.0432434090329)",Gravel Road (NetInfo)
2108,No Name 4283,"LINESTRING (20.1983642575599 49.061756135775, 20.1985092163297 49.0617599505331)",Basic Road (NetInfo)
2120,No Name 3673,"LINESTRING (20.1595954894138 49.0409469630469, 20.1596546176988 49.0408744837709)",Gravel Road (NetInfo)
2122,No Name 1004,"LINESTRING (20.168672561618 49.0372276327728, 20.1669597623863 49.0368804944871)",Gravel Road (NetInfo)
2131,No Name 3391,"LINESTRING (20.1798496245581 49.0643119830589, 20.1800689697767 49.0643043536208)",Gravel Road (NetInfo)
2166,Lesná,"LINESTRING (20.1813354491349 49.0604476945778, 20.1816177366853 49.0602226275669)",Basic Road (NetInfo)
2208,No Name 1485,"LINESTRING (20.1237812071636 49.0256729123256, 20.1234798430567 49.0256919883304)",Gravel Road (NetInfo)
2217,No Name 1002,"LINESTRING (20.1942024230384 49.0244445807792, 20.1942329402985 49.024368286496)",Gravel Road (NetInfo)
2237,No Name 3432,"LINESTRING (20.1749343871847 49.0567779556762, 20.1750411983157 49.0562438981249)",Basic Road (NetInfo)
2244,No Name 3673,"LINESTRING (20.159687041682 49.0403900157107, 20.1598052970996 49.0401611353243)",Gravel Road (NetInfo)
2246,No Name 3705,"LINESTRING (20.1879577636099 49.0661888140104, 20.1886615753823 49.0659484882441)",Basic Road (NetInfo)
2301,Kúpele,"LINESTRING (20.1332855240313 49.0654754658088, 20.1326332100862 49.0659179705158)",Basic Road (NetInfo)
2345,No Name 975,"LINESTRING (20.1477088925121 49.0426254286457, 20.1484508510632 49.0426445028107)",Gravel Road (NetInfo)
2351,No Name 3705,"LINESTRING (20.1908645630378 49.0654602069412, 20.1911697387157 49.0655212419838)",Basic Road (NetInfo)
2356,No Name 974,"LINESTRING (20.1297779091863 49.0252075224127, 20.1298160534354 49.0250091574941)",Gravel Road (NetInfo)
2362,No Name 3790,"LINESTRING (20.1624107365104 49.0666198747874, 20.1618080143675 49.0667343158648)",Gravel Road (NetInfo)
2372,No Name 616,"LINESTRING (20.1529502855109 49.0200424225654, 20.1532115925405 49.0203743007631)",Gravel Road (NetInfo)
2375,No Name 3682,"LINESTRING (20.1770877836946 49.0325164803574, 20.1767864231058 49.0323486352581)",Gravel Road (NetInfo)
2382,No Name 3630,"LINESTRING (20.1636734010915 49.0466232315967, 20.1637191778002 49.046306611751)",Basic Road (NetInfo)
2383,No Name 3379,"LINESTRING (20.1781806943954 49.0648651141639, 20.1781558986622 49.0649871843951)",Gravel Road (NetInfo)
2384,No Name 3739,"LINESTRING (20.1851024627655 49.0311851522855, 20.1845455168978 49.0310363796906)",Gravel Road (NetInfo)
2387,No Name 1487,"LINESTRING (20.1745090480562 49.0562362688355, 20.1745033261799 49.0565643328138)",Basic Road (NetInfo)
2404,No Name 2559,"LINESTRING (20.1424217209547 49.0522308365121, 20.1423473371419 49.0522613546177)",Basic Road (NetInfo)
2426,No Name 1481,"LINESTRING (20.1343688971823 49.0287284879799, 20.1345138547107 49.0285949734319)",Gravel Road (NetInfo)
2435,No Name 585,"LINESTRING (20.1409721370849 49.0468597424861, 20.1411132814622 49.047035219498)",Gravel Road (NetInfo)
2443,No Name 102,"LINESTRING (20.1535282146529 49.0589561481387, 20.1532115921922 49.0591506974881)",Large Road (NetInfo)
2481,No Name 343,"LINESTRING (20.1364326483583 49.066356660761, 20.1374988565318 49.0658988970627)",Highway (NetInfo)
2510,No Name 3683,"LINESTRING (20.1730613704089 49.0353431725349, 20.1736412050766 49.0351448067849)",Gravel Road (NetInfo)
2511,No Name 3387,"LINESTRING (20.1603927611063 49.0624389666651, 20.1600170133147 49.0624465960645)",Gravel Road (NetInfo)
2519,No Name 630,"LINESTRING (20.1695690156047 49.0306510946013, 20.169439316525 49.0301589994176)",Gravel Road (NetInfo)
2541,No Name 101,"LINESTRING (20.1666374204219 49.034851076854, 20.166603087532 49.0345382702426)",Gravel Road (NetInfo)
2605,No Name 3681,"LINESTRING (20.1547966009849 49.0712165850192, 20.1543769846876 49.0716018695638)",Gravel Road (NetInfo)
2607,No Name 1263,"LINESTRING (20.1970558167649 49.0614509600457, 20.1970882413884 49.0612564104945)",Gravel Road (NetInfo)
2622,No Name 588,"LINESTRING (20.1348342891779 49.0639953631058, 20.1348190318995 49.0634574908351)",Basic Road (NetInfo)
2636,Horská,"LINESTRING (20.1678142538938 49.0596199054773, 20.1679058081038 49.0592994708129)",Basic Road (NetInfo)
2654,No Name 559,"LINESTRING (20.1450347907533 49.0508766195536, 20.1450614944235 49.0507316610678)",Basic Road (NetInfo)
2664,No Name 975,"LINESTRING (20.1488418594351 49.0426597609219, 20.1498088832054 49.0427627584891)",Gravel Road (NetInfo)
2666,No Name 550,"LINESTRING (20.1706600181639 49.0639991778506, 20.1703491205877 49.0642128008946)",Basic Road (NetInfo)
2712,No Name 4256,"LINESTRING (20.1832637786632 49.0642585772792, 20.1836032866354 49.0642356890645)",Highway (NetInfo)
2742,No Name 616,"LINESTRING (20.1634750367951 49.0332260147836, 20.1640872961141 49.0333213815014)",Gravel Road (NetInfo)
2775,No Name 3704,"LINESTRING (20.1601772307197 49.0706367510213, 20.1603965763702 49.0708313007495)",Gravel Road (NetInfo)
2790,Osloboditeľov,"LINESTRING (20.186990737834 49.0718917866538, 20.1869373320761 49.0719909685392)",Basic Road (NetInfo)
2808,No Name 3220,"LINESTRING (20.1693363183804 49.0520248429258, 20.1679859167657 49.0519332898881)",Gravel Road (NetInfo)
2832,No Name 579,"LINESTRING (20.1340198520632 49.055995943119, 20.1357288351757 49.0546188370439)",Gravel Road (NetInfo)
2838,No Name 1281,"LINESTRING (20.1964874267089 49.0575103779893, 20.1965236664149 49.0573272725423)",Basic Road (NetInfo)
2861,No Name 3374,"LINESTRING (20.1672286979341 49.0649070758225, 20.1668376928691 49.0650634784188)",Gravel Road (NetInfo)
2866,No Name 974,"LINESTRING (20.1444721228323 49.0335464504793, 20.1437129978017 49.0331306478047)",Gravel Road (NetInfo)
2904,No Name 817,"LINESTRING (20.1793632508112 49.0581398030322, 20.1793346405837 49.0583801290272)",Basic Road (NetInfo)
2916,No Name 1,"LINESTRING (20.1927261353217 49.0655937211716, 20.1927433011121 49.0652961748831)",Basic Road (NetInfo)
2935,No Name 3363,"LINESTRING (20.1787834167414 49.0660820024759, 20.1787815092806 49.0662155168739)",Gravel Road (NetInfo)
2991,No Name 3358,"LINESTRING (20.1879234313513 49.043174745698, 20.1881656645474 49.0431747457881)",Gravel Road (NetInfo)
3108,No Name 3710,"LINESTRING (20.1789321895233 49.0389671345488, 20.1787662508139 49.0393447893293)",Gravel Road (NetInfo)
3142,Lesná,"LINESTRING (20.1438198090047 49.0505867024538, 20.1438560490617 49.0508766196064)",Basic Road (NetInfo)
3143,Lesná,"LINESTRING (20.1436748518781 49.0499115012135, 20.1437797531927 49.050121309394)",Basic Road (NetInfo)
3156,No Name 552,"LINESTRING (20.1455497742871 49.0535430929111, 20.1454162611815 49.0537300130661)",Basic Road (NetInfo)
3162,No Name 537,"LINESTRING (20.1358470916205 49.0708236710064, 20.1358013148679 49.0707740800373)",Gravel Road (NetInfo)
3167,No Name 1004,"LINESTRING (20.1896800995451 49.0349426295774, 20.1872196196861 49.0351676952527)",Gravel Road (NetInfo)
3176,Lesná,"LINESTRING (20.1423320764909 49.0488433853334, 20.1427764875593 49.0491371175597)",Basic Road (NetInfo)
3197,No Name 3630,"LINESTRING (20.1608371735847 49.042858125347, 20.1606712346741 49.0427970893488)",Basic Road (NetInfo)
3206,No Name 1004,"LINESTRING (20.1794509889267 49.0379524257686, 20.1790847778858 49.0384597794734)",Gravel Road (NetInfo)
3211,No Name 616,"LINESTRING (20.1528530110082 49.0216140751275, 20.1529045089465 49.0219039941183)",Gravel Road (NetInfo)
3216,No Name 540,"LINESTRING (20.1407241810131 49.0525016798402, 20.1410198222026 49.0523300188717)",Basic Road (NetInfo)
3267,No Name 2575,"LINESTRING (20.1274566622628 49.0702285785136, 20.1264553073581 49.0705680865287)",Highway (NetInfo)
3283,No Name 549,"LINESTRING (20.1333560959969 49.0632934588706, 20.1331939711358 49.0634765643039)",Basic Road (NetInfo)
3299,No Name 3682,"LINESTRING (20.1758594509079 49.0319671642394, 20.175397872738 49.0317115809334)",Gravel Road (NetInfo)
3300,No Name 3716,"LINESTRING (20.1582679756417 49.0403938303431, 20.1579933179008 49.0402069120679)",Gravel Road (NetInfo)
3305,No Name 3366,"LINESTRING (20.1643066397953 49.06885910204, 20.1648159021757 49.0687675495227)",Gravel Road (NetInfo)
3321,No Name 2575,"LINESTRING (20.1365146634864 49.0664596576377, 20.1360569001279 49.0666503923301)",Highway (NetInfo)
3362,No Name 3683,"LINESTRING (20.1741771694585 49.0350418110141, 20.1748523708515 49.035125733337)",Gravel Road (NetInfo)
3371,No Name 975,"LINESTRING (20.1560287491761 49.0413398756719, 20.1563320143324 49.0413017290146)",Gravel Road (NetInfo)
3388,No Name 1261,"LINESTRING (20.1987991333134 49.0615539568575, 20.198457717891 49.0616073625958)",Basic Road (NetInfo)
3401,No Name 537,"LINESTRING (20.1361179336372 49.0709610000693, 20.1358833323913 49.0708580032655)",Gravel Road (NetInfo)
3402,Okružná,"LINESTRING (20.1734542844577 49.0626640337846, 20.1736640927998 49.0629348772941)",Basic Road (NetInfo)
3415,Pod hájom,"LINESTRING (20.1375007637054 49.0533943189445, 20.1376972190908 49.0534477251807)",Basic Road (NetInfo)
3424,No Name 4273,"LINESTRING (20.1972484585127 49.0641441363039, 20.1974582670607 49.0641136187429)",Gravel Road (NetInfo)
3443,No Name 2575,"LINESTRING (20.1304225911593 49.0690460220408, 20.1289806365986 49.0696449299215)",Highway (NetInfo)
3464,No Name 630,"LINESTRING (20.1669063560914 49.0333366422975, 20.1675510412439 49.0328598032325)",Gravel Road (NetInfo)
3472,No Name 3359,"LINESTRING (20.1701679234237 49.0669822709908, 20.1694355011736 49.067073823739)",Highway (NetInfo)
3477,No Name 96,"LINESTRING (20.1204528827854 49.0534439106797, 20.1215667711449 49.0530776990931)",Basic Road (NetInfo)
3531,No Name 607,"LINESTRING (20.1303939804405 49.0642013567849, 20.130430222125 49.0641365069819)",Basic Road (NetInfo)
3534,No Name 1004,"LINESTRING (20.1771812440469 49.0396499662336, 20.1768970488887 49.0400009168539)",Gravel Road (NetInfo)
3536,No Name 2584,"LINESTRING (20.1404457077279 49.0652542133375, 20.1398181926832 49.0654373185865)",Oneway Road (NetInfo)
3546,No Name 1004,"LINESTRING (20.1695766440866 49.037296297357, 20.1695384983923 49.037124634748)",Gravel Road (NetInfo)
3566,No Name 4256,"LINESTRING (20.1932315827497 49.064876558244, 20.1938056944304 49.0648765582312)",Highway (NetInfo)
3584,No Name 3432,"LINESTRING (20.1757240291576 49.056301118741, 20.1757545468333 49.0561294572492)",Basic Road (NetInfo)
3586,No Name 3,"LINESTRING (20.1923866271441 49.070613862657, 20.1925010681599 49.0709800735641)",Basic Road (NetInfo)
3591,No Name 2583,"LINESTRING (20.1312007905588 49.0612449664347, 20.1299476621005 49.0612754839489)",Gravel Road (NetInfo)
3608,No Name 1463,"LINESTRING (20.1743869777397 49.0551910420045, 20.174436569303 49.0553054825422)",Basic Road (NetInfo)
3618,No Name 3366,"LINESTRING (20.1624355321505 49.0688781758269, 20.1626834877309 49.06897735786)",Gravel Road (NetInfo)
3640,No Name 616,"LINESTRING (20.1632499702644 49.0332069406503, 20.1634750367951 49.0332260147836)",Gravel Road (NetInfo)
3642,Priečna,"LINESTRING (20.1768836974939 49.0622406024075, 20.1774864197932 49.0626564044008)",Basic Road (NetInfo)
