Id,Geometry,Boundary,Info,Width,Length,Service,SubService
19044,"POINT (20.1730990778773 49.0612080691908)","POLYGON ((20.1733335544105 49.0611152127892, 20.1730290817585 49.0610341465959, 20.1728646004742 49.0613009251097, 20.1731690744776 49.0613819917406, 20.1733335544105 49.0611152127892))",L1 3x4 Detached08 (BuildingInfo),3,4,Residential,ResidentialLow
19087,"POINT (20.1664742987926 49.0702486593343)","POLYGON ((20.16636357682 49.0703198247758, 20.1665826131624 49.0703214066428, 20.1665850204489 49.070177493784, 20.166365984739 49.070175911925, 20.16636357682 49.0703198247758))",Water Tower (BuildingInfo),2,2,Water,None
19153,"POINT (20.1808060481353 49.0598217710635)","POLYGON ((20.1806333742364 49.0599613710906, 20.180961630362 49.0599697955793, 20.1809787210652 49.0596821707696, 20.1806504668298 49.0596737463391, 20.1806333742364 49.0599613710906))",L1 3x4 Detached07a (BuildingInfo),3,4,Residential,ResidentialLow
19005,"POINT (20.1680967460771 49.0588380140649)","POLYGON ((20.1681031867407 49.0590178665656, 20.1683612757634 49.0588843097216, 20.1680903054518 49.0586581615585, 20.1678322168893 49.0587917178042, 20.1681031867407 49.0590178665656))",L1 3x2 Detached04 (BuildingInfo),3,4,Residential,ResidentialLow
19142,"POINT (20.1815872448116 49.0598413669531)","POLYGON ((20.181470638077 49.0599828581271, 20.1816895253957 49.0599875657412, 20.1817038508806 49.0596998756542, 20.1814849648233 49.0596951680739, 20.181470638077 49.0599828581271))",L1 2x2 Detached10 (BuildingInfo),2,4,Residential,ResidentialLow
18799,"POINT (20.1756331691022 49.0630994657674)","POLYGON ((20.1755718253828 49.0632747938906, 20.1758721322359 49.0631872549844, 20.1756945123827 49.062924137604, 20.1753942068147 49.0630116760588, 20.1755718253828 49.0632747938906))",H1 3x2 Tenement04 (BuildingInfo),3,4,Residential,ResidentialHigh
20170,"POINT (20.1993064573614 49.0561037069423)","POLYGON ((20.1992064504137 49.0560573056604, 20.1991899709323 49.0561284471504, 20.1994064644959 49.056150108138, 20.1994229436762 49.0560789666158, 20.1992064504137 49.0560573056604))",L3 1x1 Shop (BuildingInfo),1,2,Commercial,CommercialLow
19071,"POINT (20.1795736551097 49.0603779147959)","POLYGON ((20.1794722655773 49.060210805743, 20.1793011475819 49.0603950880964, 20.1796750453162 49.0605450237585, 20.1798461624576 49.0603607408508, 20.1794722655773 49.060210805743))",L1 3x4 detached04 (BuildingInfo),3,4,Residential,ResidentialLow
19584,"POINT (20.1991164960141 49.0575577444304)","POLYGON ((20.1989196073697 49.0574327564001, 20.1988787903192 49.0576469663837, 20.1993133856462 49.0576827321273, 20.199354200862 49.0574685219816, 20.1989196073697 49.0574327564001))",L2 3x4 Detached04a (BuildingInfo),3,4,Residential,ResidentialLow
19057,"POINT (20.1664382446236 49.0697495049186)","POLYGON ((20.1664920558846 49.0697129100625, 20.1663825485328 49.069714149559, 20.1663844332836 49.0697860997489, 20.1664939407934 49.0697848602515, 20.1664920558846 49.0697129100625))",Water Pipe Junction (BuildingInfo),1,1,Water,None
19603,"POINT (20.199389359415 49.0554942798037)","POLYGON ((20.199192242751 49.0556191071838, 20.1995165016189 49.0556535992115, 20.1995864750921 49.0553694520791, 20.1992622180193 49.0553349602557, 20.199192242751 49.0556191071838))",L1 3x2 Shop01 (BuildingInfo),3,4,Commercial,CommercialLow
18898,"POINT (20.1772428494583 49.0598104674035)","POLYGON ((20.1774307078085 49.0597706087195, 20.1771146096824 49.0597118393149, 20.177054990811 49.0598503257798, 20.1773710897411 49.0599090953507, 20.1774307078085 49.0597706087195))",L1 3x2 Detached04 (BuildingInfo),3,2,Residential,ResidentialLow
20026,"POINT (20.166576161924 49.0707936948289)","POLYGON ((20.1664654388746 49.0708648603556, 20.1666844776186 49.0708664420422, 20.1666868846571 49.0707225291934, 20.1664678465456 49.0707209475148, 20.1664654388746 49.0708648603556))",Water Tower (BuildingInfo),2,2,Water,None
19061,"POINT (20.1788029262585 49.0611134082901)","POLYGON ((20.1787744410353 49.0609107344249, 20.1784945132589 49.0611321271487, 20.1788314121209 49.0613160821454, 20.1791113394543 49.061094688609, 20.1787744410353 49.0609107344249))",L1 4x3 Detached12 (BuildingInfo),4,4,Residential,ResidentialLow
19003,"POINT (20.1777531782324 49.0619436268989)","POLYGON ((20.1777246964301 49.0617409528897, 20.1774447597331 49.0619623428512, 20.1777816602563 49.0621463008954, 20.1780615965103 49.0619249101211, 20.1777246964301 49.0617409528897))",L1 4x3 detached04 (BuildingInfo),4,4,Residential,ResidentialLow
18953,"POINT (20.1760967584055 49.0596976928821)","POLYGON ((20.1761244947313 49.0597452004236, 20.1761690496414 49.0596794654351, 20.1760690221321 49.0596501853339, 20.1760244671173 49.0597159202835, 20.1761244947313 49.0597452004236))",L1 1x1 Detached (BuildingInfo),1,1,Residential,ResidentialLow
18955,"POINT (20.1708145434195 49.0595717895794)","POLYGON ((20.1709305106021 49.0595460022383, 20.1708527314639 49.0594953491342, 20.1706985761182 49.0595975768033, 20.1707763552566 49.0596482300104, 20.1709305106021 49.0595460022383))",L1 1x1 Detached (BuildingInfo),1,2,Residential,ResidentialLow
19148,"POINT (20.1759274492168 49.0634466624189)","POLYGON ((20.1759609428587 49.0633188136872, 20.1757607379788 49.0633771731445, 20.1758939553991 49.0635745111371, 20.1760941609215 49.063516151454, 20.1759609428587 49.0633188136872))",H1 2x2 Tenement05 (BuildingInfo),2,3,Residential,ResidentialHigh
18815,"POINT (20.1751162681055 49.0614445325458)","POLYGON ((20.1751368807456 49.0613155121993, 20.1749271084225 49.0614816519865, 20.1750956553545 49.0615735528852, 20.1753054275102 49.0614074127934, 20.1751368807456 49.0613155121993))",L1_3x2_Shop_10 (BuildingInfo),3,2,Commercial,CommercialLow
19125,"POINT (20.1799640384562 49.060160238454)","POLYGON ((20.1800777320288 49.0600911410649, 20.1798588936289 49.0600855231606, 20.1798503445686 49.0602293357286, 20.1800691835985 49.0602349536524, 20.1800777320288 49.0600911410649))",L1 2x2 Detached01 (BuildingInfo),2,2,Residential,ResidentialLow
20157,"POINT (20.1738464155265 49.0626943589209)","POLYGON ((20.1735518759251 49.0626313888067, 20.1737505897811 49.0628879094161, 20.1741409558807 49.0627573282867, 20.1739422405192 49.0625008083356, 20.1735518759251 49.0626313888067))",H1 4x3 Tenement07 (BuildingInfo),4,4,Residential,ResidentialHigh
19542,"POINT (20.1991573119752 49.0573435338047)","POLYGON ((20.1989604240671 49.0572185458433, 20.1989196073785 49.0574327558511, 20.1993542008709 49.0574685214327, 20.1993950157249 49.0572543112629, 20.1989604240671 49.0572185458433))",L2 3x3 Detached02 (BuildingInfo),3,4,Residential,ResidentialLow
19055,"POINT (20.1664431119365 49.0694875403768)","POLYGON ((20.1664985380824 49.0694520020225, 20.1663890232917 49.069451123234, 20.1663876857115 49.0695230787038, 20.1664972006604 49.0695239574944, 20.1664985380824 49.0694520020225))",Water Pipe Junction (BuildingInfo),1,1,Water,None
19024,"POINT (20.1718589523131 49.0589556762485)","POLYGON ((20.1716190046432 49.0590422740463, 20.1720526398407 49.0590828096423, 20.1720988991536 49.058869077946, 20.1716652657736 49.0588285425323, 20.1716190046432 49.0590422740463))",L1 4x3 Detached05 (BuildingInfo),4,3,Residential,ResidentialLow
18965,"POINT (20.1713950791303 49.0595446184343)","POLYGON ((20.1712402223991 49.0595450798146, 20.1713957817816 49.0596463854526, 20.1715499358613 49.0595441568462, 20.1713943764793 49.0594428514142, 20.1712402223991 49.0595450798146))",L1 2x2 Detached04 (BuildingInfo),2,2,Residential,ResidentialLow
19052,"POINT (20.1730712517849 49.0623213131285)","POLYGON ((20.1731840807651 49.0623525481849, 20.1731769753511 49.0622807389345, 20.1729584229473 49.0622900779625, 20.1729655280474 49.0623618872245, 20.1731840807651 49.0623525481849))",H1 1x1 Tenement (BuildingInfo),1,2,Residential,ResidentialHigh
19128,"POINT (20.1700238653091 49.059143324533)","POLYGON ((20.1701596729265 49.0590491738732, 20.1699438539075 49.0590247291518, 20.1698880571784 49.0592374750286, 20.1701038770886 49.0592619198583, 20.1701596729265 49.0590491738732))",L1 2x2 Detached03 (BuildingInfo),2,3,Residential,ResidentialLow
18925,"POINT (20.1739602184801 49.0606838759673)","POLYGON ((20.1739683913572 49.0607855023186, 20.1741148642988 49.060678505023, 20.1739520456339 49.0605822496138, 20.1738055726307 49.0606892467042, 20.1739683913572 49.0607855023186))",L1 2x2 Shop03 (BuildingInfo),2,2,Commercial,CommercialLow
18993,"POINT (20.173887958586 49.0611149701011)","POLYGON ((20.173882637347 49.0610642062863, 20.1738107100996 49.0611184672038, 20.1738932798352 49.0611657339153, 20.1739652070622 49.0611114729467, 20.173882637347 49.0610642062863))",L1_1x1_detached_13 (BuildingInfo),1,1,Residential,ResidentialLow
18860,"POINT (20.1760122170805 49.0606182704405)","POLYGON ((20.1758789934975 49.0604611075904, 20.1757453251429 49.060658311571, 20.1761454414995 49.0607754331371, 20.1762791085966 49.0605782286902, 20.1758789934975 49.0604611075904))",L1 3x4 Detached08 (BuildingInfo),3,4,Residential,ResidentialLow
19073,"POINT (20.1782172525622 49.0599801194339)","POLYGON ((20.1783494511294 49.0599271164199, 20.1781365987524 49.0598932430678, 20.178085053715 49.0600331222946, 20.1782979066519 49.0600669957438, 20.1783494511294 49.0599271164199))",L1 2x2 Detached06 (BuildingInfo),2,2,Residential,ResidentialLow
18865,"POINT (20.1767413488969 49.0613674206358)","POLYGON ((20.1766740268459 49.0611930426406, 20.1764677565785 49.0613610654483, 20.1768086714119 49.061541798589, 20.1770149412932 49.0613737751751, 20.1766740268459 49.0611930426406))",L1 3x4 Detached04a (BuildingInfo),3,4,Residential,ResidentialLow
18841,"POINT (20.1725713134971 49.060217340966)","POLYGON ((20.1723001870031 49.0602422176888, 20.1725317386403 49.0603953536168, 20.1728424397282 49.0601924636046, 20.1726108880633 49.0600393282945, 20.1723001870031 49.0602422176888))",L1 3x4 detached04 (BuildingInfo),3,4,Residential,ResidentialLow
19193,"POINT (20.1741717528504 49.0561179339459)","POLYGON ((20.1743982002643 49.0562190082079, 20.1743827978214 49.0560033623755, 20.1739453063578 49.0560168592429, 20.1739607069107 49.0562325051229, 20.1743982002643 49.0562190082079))",L1 3x2 Detached04 (BuildingInfo),3,4,Residential,ResidentialLow
18858,"POINT (20.1716330565106 49.0608242846426)","POLYGON ((20.1719172409827 49.0607433502125, 20.1715098986328 49.0606375315706, 20.1713488727934 49.0609052183787, 20.1717562153042 49.0610110375821, 20.1719172409827 49.0607433502125))",L1 4x3 detached04 (BuildingInfo),4,4,Residential,ResidentialLow
19175,"POINT (20.1812770696464 49.0601939379101)","POLYGON ((20.1813907614921 49.0601248392185, 20.1811719227655 49.0601192238024, 20.1811633774856 49.0602630364871, 20.1813822168423 49.0602686519227, 20.1813907614921 49.0601248392185))",L1 2x2 Detached06 (BuildingInfo),2,2,Residential,ResidentialLow
19136,"POINT (20.1811890127351 49.0598315989657)","POLYGON ((20.1809616303575 49.0599697958538, 20.1813993056697 49.059981026507, 20.1814163938526 49.0596934016195, 20.1809787210607 49.059682171044, 20.1809616303575 49.0599697958538))",L1 4x4 Detached02 (BuildingInfo),4,4,Residential,ResidentialLow
18871,"POINT (20.1755011592902 49.0603111180315)","POLYGON ((20.1756343812813 49.0604682813132, 20.1757680495543 49.0602710774543, 20.1753679381351 49.0601539545963, 20.1752342686047 49.0603511579889, 20.1756343812813 49.0604682813132))",L1 3x3 Detached 1a (BuildingInfo),3,4,Residential,ResidentialLow
19047,"POINT (20.173943999971 49.059183800535)","POLYGON ((20.1738204378996 49.0592451441497, 20.174037345004 49.0592650020796, 20.1740675617388 49.0591224567858, 20.1738506552414 49.0591025989154, 20.1738204378996 49.0592451441497))",L1 2x2 Detached04 (BuildingInfo),2,2,Residential,ResidentialLow
19570,"POINT (20.1991070565655 49.0582015991553)","POLYGON ((20.1989833158509 49.0582627847685, 20.1992001589008 49.0582829199879, 20.199230796977 49.0581404134072, 20.1990139545333 49.058120278248, 20.1989833158509 49.0582627847685))",L2 2x2 Detached05 (BuildingInfo),2,2,Residential,ResidentialLow
19048,"POINT (20.1773918954136 49.0594642512018)","POLYGON ((20.1771742282135 49.0595733530886, 20.1774903255358 49.059632122327, 20.1776095616629 49.0593551488972, 20.1772934659485 49.0592963799913, 20.1771742282135 49.0595733530886))",L1 3x3 Detached14 (BuildingInfo),3,4,Residential,ResidentialLow
18849,"POINT (20.1758285640344 49.05912439114)","POLYGON ((20.1755446909582 49.0592057811925, 20.1759524135896 49.0593109456742, 20.1761124361906 49.0590430003832, 20.1757047153994 49.058937836472, 20.1755446909582 49.0592057811925))",L1 4x4 Detached11 (BuildingInfo),4,4,Residential,ResidentialLow
18832,"POINT (20.1746039402816 49.0607171615085)","POLYGON ((20.1747581458475 49.0607265233577, 20.17461818685 49.0606158248443, 20.1744497347761 49.0607077994535, 20.1745896936549 49.0608184980315, 20.1747581458475 49.0607265233577))",L1 2x2 Detached01 (BuildingInfo),2,2,Residential,ResidentialLow
18989,"POINT (20.1695560924764 49.060573102922)","POLYGON ((20.1693880560033 49.0606411902485, 20.1695871035824 49.0607012217589, 20.1697241284923 49.0605050153475, 20.1695250815258 49.0604449840748, 20.1693880560033 49.0606411902485))",L1 2x2 Detached06 (BuildingInfo),2,3,Residential,ResidentialLow
18856,"POINT (20.1730404484152 49.0636416284892)","POLYGON ((20.1730453493407 49.0635612382332, 20.1729455188622 49.06359081772, 20.1730355474723 49.0637220187438, 20.1731353781622 49.0636924391809, 20.1730453493407 49.0635612382332))",L1_1x1_detached_13 (BuildingInfo),1,2,Residential,ResidentialLow
19060,"POINT (20.172119110375 49.0634639151907)","POLYGON ((20.1720298237165 49.0636339810308, 20.1723425638069 49.0635678587409, 20.1722083964173 49.0632938492903, 20.1718956578779 49.063359971211, 20.1720298237165 49.0636339810308))",L1 3x3 Detached14 (BuildingInfo),3,4,Residential,ResidentialLow
18827,"POINT (20.1747769106117 49.0592331487676)","POLYGON ((20.1748757581888 49.0592806171134, 20.1748940031738 49.0592096619003, 20.1746780632234 49.0591856803378, 20.1746598179406 49.0592566355155, 20.1748757581888 49.0592806171134))",L1_1x1_detached_13 (BuildingInfo),1,2,Residential,ResidentialLow
18863,"POINT (20.173831834434 49.062906665385)","POLYGON ((20.1737561513855 49.0628959047732, 20.1738154590061 49.0629563986407, 20.1739075175155 49.0629174259645, 20.1738482098285 49.062856932135, 20.1737561513855 49.0628959047732))",H1 1x1 Tenement (BuildingInfo),1,1,Residential,ResidentialHigh
19025,"POINT (20.1735319836278 49.0631148666256)","POLYGON ((20.1735149047335 49.0632160139932, 20.1736859082085 49.0631260895731, 20.1735490624501 49.0630137192534, 20.1733780591189 49.0631036434689, 20.1735149047335 49.0632160139932))",H1 2x2 Tenement05 (BuildingInfo),2,2,Residential,ResidentialHigh
18996,"POINT (20.1680791028053 49.0597048718281)","POLYGON ((20.1679286039624 49.0596209210358, 20.1680190675866 49.0598284562802, 20.1682296021558 49.0597888224258, 20.1681391377228 49.0595812873406, 20.1679286039624 49.0596209210358))",L1 3x2 Detached04 (BuildingInfo),3,2,Residential,ResidentialLow
18923,"POINT (20.1708326762847 49.0612801274778)","POLYGON ((20.1709097226279 49.0612851937788, 20.1708403864828 49.0612294962621, 20.1707556299578 49.0612750611254, 20.1708249660703 49.0613307586924, 20.1709097226279 49.0612851937788))",L1_1x1_detached_13 (BuildingInfo),1,1,Residential,ResidentialLow
19035,"POINT (20.1765579699717 49.0596831315728)","POLYGON ((20.1766931452938 49.0596334789403, 20.1764824148608 49.0595942979126, 20.1764227943815 49.059732784045, 20.1766335253505 49.0597719651836, 20.1766931452938 49.0596334789403))",L1 2x2 Detached04 (BuildingInfo),2,2,Residential,ResidentialLow
18852,"POINT (20.1744357715389 49.0602850856367)","POLYGON ((20.17447347763 49.0604124266359, 20.1746001384237 49.0602132352962, 20.1743980656365 49.0601577446235, 20.1742714041818 49.0603569357397, 20.17447347763 49.0604124266359))",L1 3x2 Shop03b (BuildingInfo),3,2,Commercial,CommercialLow
18914,"POINT (20.1744272051101 49.0632746929944)","POLYGON ((20.1743307268182 49.0633242271721, 20.1744296224742 49.0633551320556, 20.1745236832105 49.0632251587346, 20.1744247877522 49.0631942539234, 20.1743307268182 49.0633242271721))",H1 1x1 Tenement (BuildingInfo),1,2,Residential,ResidentialHigh
18999,"POINT (20.1728961618066 49.0644215199405)","POLYGON ((20.1729355237699 49.0642627030424, 20.1727264265773 49.0643055372564, 20.1728567995862 49.0645803368194, 20.1730658978256 49.0645375023769, 20.1729355237699 49.0642627030424))",L1 2x2 Detached03 (BuildingInfo),2,4,Residential,ResidentialLow
18876,"POINT (20.1736515502565 49.0595203056906)","POLYGON ((20.1738986750488 49.0593976184232, 20.1734648616528 49.0593579016425, 20.1734044242503 49.0596429924195, 20.1738382400739 49.0596827094386, 20.1738986750488 49.0593976184232))",L1 4x3 Detached05 (BuildingInfo),4,4,Residential,ResidentialLow
19210,"POINT (20.1741680443132 49.0568851348689)","POLYGON ((20.1743847385803 49.0569950603334, 20.1743892896731 49.0567791981945, 20.1739513510039 49.0567752090005, 20.1739467980154 49.056991071112, 20.1743847385803 49.0569950603334))",L1 3x4 Detached08 (BuildingInfo),3,4,Residential,ResidentialLow
18964,"POINT (20.1702707936784 49.0593189835093)","POLYGON ((20.1705416164923 49.0592927361979, 20.1703082819237 49.0591407759497, 20.1699999705871 49.0593452301835, 20.1702333051572 49.0594971910498, 20.1705416164923 49.0592927361979))",L1 3x2 Detached04 (BuildingInfo),3,4,Residential,ResidentialLow
18963,"POINT (20.173292557223 49.0631486054391)","POLYGON ((20.1733439006435 49.063305938095, 20.1735149047344 49.0632160139417, 20.173241214121 49.0629912727449, 20.1730702103176 49.063081196502, 20.1733439006435 49.063305938095))",H1 2x2 Tenement05 (BuildingInfo),2,4,Residential,ResidentialHigh
18930,"POINT (20.1725960558258 49.0640307374782)","POLYGON ((20.1725566929723 49.0641895543992, 20.1727657898213 49.0641467203528, 20.1726354184224 49.063871920538, 20.1724263226203 49.0639147543559, 20.1725566929723 49.0641895543992))",L1 2x3 Detached05 (BuildingInfo),2,4,Residential,ResidentialLow
19043,"POINT (20.1738186043596 49.0613862269833)","POLYGON ((20.1736942012206 49.0612854973412, 20.1736292642207 49.0614229474152, 20.1739430080006 49.0614869564923, 20.1740079442231 49.061349506239, 20.1736942012206 49.0612854973412))",L1 2x3 Detached09 (BuildingInfo),2,3,Residential,ResidentialLow
18885,"POINT (20.1708385024555 49.0605791826333)","POLYGON ((20.1711025580323 49.0605317112239, 20.1706952208477 49.0604258894589, 20.1705744463827 49.0606266534354, 20.170981784941 49.0607324756305, 20.1711025580323 49.0605317112239))",L1 4x3 Detached05 (BuildingInfo),4,3,Residential,ResidentialLow
19089,"POINT (20.1787640450142 49.0605590576899)","POLYGON ((20.1787719584919 49.0606886828901, 20.1789430794557 49.0605044013466, 20.1787561315735 49.0604294324865, 20.1785850101828 49.0606137137529, 20.1787719584919 49.0606886828901))",L1 3x2 Detached04 (BuildingInfo),3,2,Residential,ResidentialLow
19098,"POINT (20.1511587005194 49.0707407406097)","POLYGON ((20.1512442208396 49.0713748129846, 20.1521138565235 49.0706340833065, 20.1510731822732 49.0701066681143, 20.1502035405245 49.0708473899834, 20.1512442208396 49.0713748129846))",Solar Power Plant (BuildingInfo),13,12,Electricity,None
18970,"POINT (20.1709580839463 49.0601846592697)","POLYGON ((20.1707757366109 49.0602920468224, 20.1709794045272 49.0603449577403, 20.1711404304966 49.0600772714227, 20.1709367634961 49.0600243607916, 20.1707757366109 49.0602920468224))",L1 2x2 Detached04 (BuildingInfo),2,4,Residential,ResidentialLow
19184,"POINT (20.1807278364066 49.0602158514912)","POLYGON ((20.1809530845065 49.060113608249, 20.1805154081519 49.0601023758981, 20.1805025873854 49.060318094287, 20.1809402656302 49.0603293266962, 20.1809530845065 49.060113608249))",L1 4x3 Detached12 (BuildingInfo),4,3,Residential,ResidentialLow
19151,"POINT (20.1810582310496 49.0601883222798)","POLYGON ((20.1811719231832 49.0601192238054, 20.180953084511 49.0601136079745, 20.1809445386011 49.0602574206398, 20.1811633779033 49.0602630364901, 20.1811719231832 49.0601192238054))",L1 2x2 Detached01 (BuildingInfo),2,2,Residential,ResidentialLow
18877,"POINT (20.1754169393086 49.0636092643605)","POLYGON ((20.1755217923424 49.0634430792048, 20.1752035141763 49.0634965873799, 20.1753120855698 49.0637754494123, 20.1756303654078 49.0637219409493, 20.1755217923424 49.0634430792048))",H1 3x3 Tenement08 (BuildingInfo),3,4,Residential,ResidentialHigh
19156,"POINT (20.1817282430496 49.0604739433374)","POLYGON ((20.1816985377411 49.0602713451344, 20.1814199485479 49.0604934640892, 20.1817579485896 49.0606765415269, 20.18203653732 49.0604544217606, 20.1816985377411 49.0602713451344))",L1 4x4 Detached11 (BuildingInfo),4,4,Residential,ResidentialLow
19895,"POINT (20.1521696479945 49.0711167588239)","POLYGON ((20.1522204119638 49.0707789638169, 20.1516852581174 49.0712347988628, 20.1521188833077 49.071454553785, 20.1526540355987 49.0709987167368, 20.1522204119638 49.0707789638169))",Oil Power Plant (BuildingInfo),8,5,Electricity,None
19124,"POINT (20.1723508623509 49.0606234647272)","POLYGON ((20.1724731390016 49.0606274774575, 20.1724291129438 49.0605615885975, 20.1722285857215 49.0606194518674, 20.1722726115633 49.0606853408022, 20.1724731390016 49.0606274774575))",L1_1x1_detached_13 (BuildingInfo),1,2,Residential,ResidentialLow
18825,"POINT (20.1746925254372 49.0595729735392)","POLYGON ((20.1747750619859 49.0596908196464, 20.1748263099157 49.0594775799286, 20.1746099892761 49.0594551273726, 20.1745587404463 49.0596683669903, 20.1747750619859 49.0596908196464))",L1 3x2 Shop01 (BuildingInfo),3,2,Commercial,CommercialLow
18854,"POINT (20.1782386663823 49.0625113668472)","POLYGON ((20.1782183418673 49.0623319608846, 20.1779708821265 49.0624739545785, 20.1782589910356 49.0626907728016, 20.178506451047 49.0625487785309, 20.1782183418673 49.0623319608846))",L1 3x3 Detached02 (BuildingInfo),3,4,Residential,ResidentialLow
