Id, Rail Type, Bridge, Geometry
27932489,narrow_gauge,,"LINESTRING (20.063703536987305 49.107444763183594, 20.064266204833984 49.106243133544922, 20.064521789550781 49.105743408203125, 20.064723968505859 49.105434417724609, 20.06500244140625 49.105064392089844, 20.065362930297852 49.104679107666016, 20.065784454345703 49.104293823242188, 20.066312789916992 49.103908538818359, 20.06695556640625 49.103496551513672, 20.067478179931641 49.103248596191406, 20.068473815917969 49.102760314941406, 20.06962776184082 49.102222442626953, 20.069974899291992 49.102008819580078, 20.070188522338867 49.101837158203125, 20.070358276367188 49.101631164550781, 20.07044792175293 49.101463317871094, 20.070552825927734 49.101230621337891, 20.070571899414062 49.101043701171875, 20.070552825927734 49.100845336914062, 20.070487976074219 49.100608825683594, 20.070383071899414 49.100433349609375, 20.070047378540039 49.0999870300293, 20.069766998291016 49.099639892578125, 20.069637298583984 49.0993766784668, 20.069570541381836 49.099102020263672, 20.069570541381836 49.098850250244141, 20.069608688354492 49.098541259765625, 20.069730758666992 49.098243713378906, 20.069843292236328 49.097942352294922, 20.069875717163086 49.097824096679688, 20.069919586181641 49.097625732421875, 20.069938659667969 49.097438812255859, 20.069938659667969 49.097293853759766, 20.069881439208984 49.097064971923828, 20.069746017456055 49.096805572509766, 20.0695858001709 49.096576690673828, 20.069372177124023 49.096370697021484, 20.068996429443359 49.096157073974609, 20.068655014038086 49.095932006835938, 20.0683650970459 49.095726013183594, 20.068157196044922 49.095584869384766)"
27932556,narrow_gauge,yes,"LINESTRING (20.068157196044922 49.095584869384766, 20.068111419677734 49.095546722412109, 20.068063735961914 49.095504760742188, 20.068019866943359 49.095455169677734, 20.067907333374023 49.095317840576172, 20.067840576171875 49.095222473144531)"
27932557,narrow_gauge,,"LINESTRING (20.067840576171875 49.095222473144531, 20.067787170410156 49.095123291015625, 20.067726135253906 49.095001220703125, 20.067665100097656 49.094841003417969, 20.067628860473633 49.094627380371094, 20.067628860473633 49.094440460205078, 20.067670822143555 49.094230651855469, 20.067716598510742 49.09405517578125, 20.067781448364258 49.093841552734375, 20.067836761474609 49.093555450439453, 20.067819595336914 49.093318939208984, 20.067731857299805 49.093116760253906, 20.067588806152344 49.092887878417969, 20.067403793334961 49.092720031738281)"
27932599,narrow_gauge,yes,"LINESTRING (20.061361312866211 49.086360931396484, 20.061458587646484 49.086143493652344, 20.061670303344727 49.08587646484375)"
27932600,narrow_gauge,,"LINESTRING (20.061670303344727 49.08587646484375, 20.061855316162109 49.085708618164062, 20.0623779296875 49.085418701171875, 20.063079833984375 49.085079193115234, 20.063581466674805 49.084842681884766, 20.064079284667969 49.084686279296875, 20.064371109008789 49.084602355957031)"
27932631,narrow_gauge,,"LINESTRING (20.064626693725586 49.08453369140625, 20.064708709716797 49.084510803222656, 20.064996719360352 49.084423065185547, 20.065341949462891 49.084323883056641, 20.066095352172852 49.084087371826172)"
27932632,rail,,"LINESTRING (20.067502975463867 49.077793121337891, 20.068059921264648 49.078514099121094, 20.068397521972656 49.078929901123047, 20.068565368652344 49.079269409179688, 20.068662643432617 49.079639434814453, 20.068700790405273 49.0799674987793, 20.06867790222168 49.080245971679688, 20.068561553955078 49.0806770324707, 20.068418502807617 49.081016540527344, 20.067611694335938 49.08209228515625, 20.067119598388672 49.08258056640625, 20.066604614257812 49.083000183105469, 20.066246032714844 49.083217620849609, 20.066032409667969 49.083351135253906, 20.065534591674805 49.083591461181641, 20.065019607543945 49.083824157714844, 20.064237594604492 49.084144592285156, 20.063554763793945 49.084445953369141, 20.062276840209961 49.084980010986328)"
33678043,rail,,"LINESTRING (20.201562881469727 49.061176300048828, 20.200748443603516 49.061054229736328, 20.200017929077148 49.060932159423828, 20.199657440185547 49.06085205078125, 20.199329376220703 49.06072998046875, 20.198902130126953 49.060478210449219, 20.198616027832031 49.060253143310547, 20.198234558105469 49.059822082519531, 20.198080062866211 49.059684753417969, 20.19770622253418 49.059474945068359, 20.1972599029541 49.059246063232422, 20.196910858154297 49.05914306640625, 20.196514129638672 49.059066772460938, 20.196451187133789 49.059062957763672)"
33870794,rail,,"LINESTRING (20.346368789672852 49.101367950439453, 20.346271514892578 49.099048614501953, 20.34623908996582 49.098274230957031, 20.34614372253418 49.097537994384766, 20.345922470092773 49.096977233886719, 20.345710754394531 49.096656799316406, 20.345359802246094 49.096290588378906, 20.344511032104492 49.095508575439453, 20.343238830566406 49.094474792480469, 20.342761993408203 49.094017028808594, 20.342245101928711 49.093578338623047, 20.341588973999023 49.093090057373047, 20.340635299682617 49.092426300048828, 20.340156555175781 49.092037200927734, 20.339382171630859 49.091281890869141, 20.33900260925293 49.090915679931641, 20.3386287689209 49.090450286865234, 20.33812141418457 49.089401245117188, 20.3353214263916 49.085517883300781, 20.335041046142578 49.085018157958984, 20.334787368774414 49.084545135498047, 20.334506988525391 49.083854675292969, 20.334304809570312 49.083194732666016, 20.333902359008789 49.081363677978516, 20.333810806274414 49.081012725830078, 20.333469390869141 49.079677581787109, 20.332910537719727 49.078399658203125, 20.332603454589844 49.077610015869141, 20.33233642578125 49.07684326171875, 20.332244873046875 49.076286315917969, 20.332368850708008 49.075038909912109, 20.332590103149414 49.074127197265625, 20.332563400268555 49.073570251464844, 20.332466125488281 49.073184967041016, 20.332069396972656 49.072200775146484, 20.331815719604492 49.071731567382812, 20.330635070800781 49.0701904296875, 20.328880310058594 49.0681037902832, 20.328548431396484 49.067634582519531, 20.328161239624023 49.066791534423828, 20.327985763549805 49.066543579101562, 20.327157974243164 49.065761566162109, 20.326450347900391 49.064769744873047, 20.325983047485352 49.0643424987793, 20.324127197265625 49.063060760498047, 20.323413848876953 49.0623664855957, 20.322780609130859 49.061882019042969, 20.316354751586914 49.05706787109375, 20.315624237060547 49.0566291809082, 20.315071105957031 49.056423187255859, 20.314231872558594 49.05621337890625, 20.313417434692383 49.056148529052734, 20.312732696533203 49.056167602539062, 20.312198638916016 49.056228637695312, 20.312036514282227 49.0562629699707, 20.311567306518555 49.056392669677734, 20.310968399047852 49.0566291809082, 20.310426712036133 49.056903839111328, 20.309995651245117 49.057209014892578)"
35591868,light_rail,yes,"LINESTRING (20.283035278320312 49.075351715087891, 20.281686782836914 49.075778961181641)"
35591870,light_rail,,"LINESTRING (20.281686782836914 49.075778961181641, 20.276302337646484 49.077365875244141, 20.275060653686523 49.077751159667969, 20.274675369262695 49.077919006347656, 20.274360656738281 49.078098297119141, 20.274059295654297 49.078296661376953, 20.273674011230469 49.078636169433594, 20.273395538330078 49.078937530517578, 20.27318000793457 49.079269409179688, 20.273082733154297 49.079536437988281, 20.273021697998047 49.0798454284668, 20.27301025390625 49.080192565917969, 20.27305793762207 49.080516815185547, 20.273338317871094 49.081241607666016, 20.27412223815918 49.082851409912109, 20.2742977142334 49.083187103271484)"
44064706,rail,yes,"LINESTRING (20.186668395996094 49.059799194335938, 20.187070846557617 49.059837341308594)"
44064707,rail,,"LINESTRING (20.192216873168945 49.060295104980469, 20.192819595336914 49.060356140136719, 20.195772171020508 49.060649871826172, 20.198127746582031 49.060882568359375, 20.202199935913086 49.061283111572266, 20.202585220336914 49.061325073242188, 20.203058242797852 49.061408996582031)"
52490520,station,,"LINEARRING (20.294984817504883 49.059276580810547, 20.294889450073242 49.059284210205078, 20.29493522644043 49.059524536132812, 20.29496955871582 49.059524536132812, 20.294977188110352 49.059566497802734, 20.294984817504883 49.059616088867188, 20.294477462768555 49.059658050537109, 20.294528961181641 49.059856414794922, 20.29493522644043 49.0598258972168, 20.295011520385742 49.059818267822266, 20.29510498046875 49.059810638427734, 20.295169830322266 49.059806823730469, 20.295253753662109 49.059799194335938, 20.295307159423828 49.059795379638672, 20.295320510864258 49.059791564941406, 20.295412063598633 49.059783935546875, 20.295768737792969 49.059757232666016, 20.295732498168945 49.059555053710938, 20.295379638671875 49.059585571289062, 20.295295715332031 49.059593200683594, 20.2952880859375 49.059547424316406, 20.295278549194336 49.059497833251953, 20.295318603515625 49.059494018554688, 20.295272827148438 49.059253692626953, 20.29517936706543 49.059261322021484, 20.295183181762695 49.059276580810547, 20.295078277587891 49.059284210205078, 20.294988632202148 49.059291839599609, 20.294984817504883 49.059276580810547)"
52490677,light_rail,,"LINESTRING (20.22132682800293 49.138507843017578, 20.22154426574707 49.138690948486328, 20.221668243408203 49.1387939453125, 20.221710205078125 49.138832092285156, 20.221858978271484 49.138938903808594, 20.221979141235352 49.138999938964844, 20.222080230712891 49.139045715332031, 20.222715377807617 49.139183044433594)"
52490680,platform,,"LINEARRING (20.22209358215332 49.139015197753906, 20.222084045410156 49.1390380859375, 20.223226547241211 49.1392822265625, 20.223442077636719 49.139312744140625, 20.223447799682617 49.139297485351562, 20.22209358215332 49.139015197753906)"
52490681,platform,,"LINEARRING (20.222114562988281 49.138965606689453, 20.222103118896484 49.138992309570312, 20.223766326904297 49.13934326171875, 20.223779678344727 49.139320373535156, 20.222114562988281 49.138965606689453)"
52490682,platform,,"LINEARRING (20.222171783447266 49.138923645019531, 20.2227840423584 49.139057159423828, 20.223300933837891 49.139163970947266, 20.223419189453125 49.139190673828125, 20.223405838012695 49.139213562011719, 20.222770690917969 49.139076232910156, 20.222122192382812 49.138938903808594, 20.222129821777344 49.138919830322266, 20.222171783447266 49.138923645019531)"
120460413,rail,,"LINESTRING (20.062118530273438 49.084926605224609, 20.062931060791016 49.084636688232422, 20.065177917480469 49.083683013916016, 20.065479278564453 49.083541870117188, 20.065778732299805 49.083396911621094, 20.066408157348633 49.083061218261719, 20.06706428527832 49.082523345947266, 20.067533493041992 49.08203125, 20.068347930908203 49.0809440612793, 20.068477630615234 49.080665588378906, 20.068544387817383 49.080413818359375, 20.068593978881836 49.080162048339844, 20.068605422973633 49.079837799072266, 20.068513870239258 49.079395294189453, 20.068363189697266 49.079086303710938, 20.068092346191406 49.078678131103516, 20.067419052124023 49.077827453613281)"
151515339,station,,"LINEARRING (20.062969207763672 49.1181640625, 20.062839508056641 49.118270874023438, 20.063095092773438 49.118400573730469, 20.063169479370117 49.118438720703125, 20.063194274902344 49.1184196472168, 20.0634708404541 49.118549346923828, 20.063579559326172 49.118450164794922, 20.063308715820312 49.118324279785156, 20.063323974609375 49.118309020996094, 20.063262939453125 49.118278503417969, 20.063190460205078 49.118240356445312, 20.063177108764648 49.118251800537109, 20.063047409057617 49.118186950683594, 20.063032150268555 49.118194580078125, 20.062969207763672 49.1181640625)"
180893049,rail,,"LINESTRING (20.301061630249023 49.059532165527344, 20.300495147705078 49.059604644775391, 20.300312042236328 49.059619903564453, 20.300027847290039 49.059638977050781)"
180893050,rail,,"LINESTRING (20.306596755981445 49.047233581542969, 20.307153701782227 49.048416137695312, 20.308183670043945 49.049709320068359, 20.309944152832031 49.051620483398438, 20.310647964477539 49.052448272705078, 20.311077117919922 49.053199768066406, 20.311328887939453 49.054130554199219, 20.311332702636719 49.0545654296875, 20.311305999755859 49.054965972900391, 20.311222076416016 49.055385589599609, 20.310993194580078 49.055908203125, 20.31071662902832 49.056365966796875, 20.310302734375 49.056842803955078, 20.309995651245117 49.057209014892578)"
180893054,rail,,"LINESTRING (20.294885635375977 49.059974670410156, 20.298133850097656 49.059726715087891, 20.300727844238281 49.059547424316406)"
180922757,light_rail,,"LINESTRING (20.22132682800293 49.138507843017578, 20.221235275268555 49.138431549072266, 20.221118927001953 49.138324737548828, 20.220991134643555 49.13824462890625, 20.220817565917969 49.138179779052734, 20.220613479614258 49.138114929199219, 20.218820571899414 49.1375732421875, 20.218765258789062 49.137554168701172, 20.218143463134766 49.137378692626953, 20.217496871948242 49.137184143066406)"
180922758,light_rail,,"LINESTRING (20.222761154174805 49.139091491699219, 20.22221565246582 49.138973236083984, 20.222024917602539 49.1389274597168, 20.221900939941406 49.138885498046875, 20.221782684326172 49.138824462890625, 20.221603393554688 49.138694763183594, 20.221443176269531 49.138580322265625, 20.22132682800293 49.138507843017578)"
180923219,light_rail,,"LINESTRING (20.222715377807617 49.139183044433594, 20.22321891784668 49.139289855957031, 20.223478317260742 49.139324188232422, 20.2237606048584 49.139362335205078, 20.223974227905273 49.139411926269531, 20.224189758300781 49.139492034912109, 20.224391937255859 49.139591217041016, 20.224498748779297 49.139644622802734, 20.2247314453125 49.139789581298828)"
180926794,narrow_gauge,,"LINESTRING (20.067403793334961 49.092720031738281, 20.067123413085938 49.092533111572266, 20.066722869873047 49.09234619140625, 20.065755844116211 49.092002868652344, 20.0651912689209 49.091781616210938, 20.064910888671875 49.091644287109375, 20.064641952514648 49.091476440429688, 20.064237594604492 49.091167449951172, 20.063449859619141 49.090549468994141, 20.06300163269043 49.090171813964844, 20.062776565551758 49.089958190917969, 20.062585830688477 49.089729309082031, 20.062488555908203 49.089557647705078, 20.062463760375977 49.089511871337891, 20.062341690063477 49.089248657226562, 20.062238693237305 49.088863372802734, 20.062187194824219 49.088447570800781, 20.062143325805664 49.088211059570312, 20.062067031860352 49.087944030761719, 20.061956405639648 49.087711334228516, 20.061714172363281 49.087379455566406, 20.061489105224609 49.087139129638672, 20.061342239379883 49.086910247802734, 20.061313629150391 49.086708068847656, 20.061319351196289 49.086505889892578, 20.061361312866211 49.086360931396484)"
220962852,station,,"LINEARRING (20.310094833374023 49.057193756103516, 20.310129165649414 49.057212829589844, 20.309621810913086 49.057636260986328, 20.309589385986328 49.0576171875, 20.310094833374023 49.057193756103516)"
237818332,light_rail,,"LINESTRING (20.063974380493164 49.118556976318359, 20.064189910888672 49.118606567382812)"
237818333,narrow_gauge,,"LINESTRING (20.063770294189453 49.118141174316406, 20.064090728759766 49.118366241455078)"
237818334,narrow_gauge,,"LINESTRING (20.063119888305664 49.11785888671875, 20.063327789306641 49.117923736572266, 20.063472747802734 49.117984771728516, 20.063629150390625 49.118068695068359, 20.063770294189453 49.118141174316406, 20.064611434936523 49.118556976318359)"
239136512,station,,"LINEARRING (20.06591796875 49.0843391418457, 20.066535949707031 49.084156036376953, 20.066356658935547 49.083904266357422, 20.066202163696289 49.083953857421875, 20.066106796264648 49.0838508605957, 20.066097259521484 49.083854675292969, 20.066102981567383 49.0838623046875, 20.066043853759766 49.083885192871094, 20.066036224365234 49.083881378173828, 20.066020965576172 49.083885192871094, 20.06602668762207 49.083892822265625, 20.065893173217773 49.083950042724609, 20.065807342529297 49.083854675292969, 20.065803527832031 49.083847045898438, 20.065807342529297 49.083831787109375, 20.065824508666992 49.083820343017578, 20.066244125366211 49.083637237548828, 20.066162109375 49.083564758300781, 20.065292358398438 49.08392333984375, 20.065330505371094 49.083969116210938, 20.065156936645508 49.084037780761719, 20.065244674682617 49.084136962890625, 20.065292358398438 49.0841178894043, 20.065309524536133 49.084125518798828, 20.065332412719727 49.084133148193359, 20.065351486206055 49.084125518798828, 20.065366744995117 49.0841178894043, 20.06536865234375 49.084102630615234, 20.065364837646484 49.084087371826172, 20.065404891967773 49.084068298339844, 20.065462112426758 49.084129333496094, 20.065486907958984 49.084121704101562, 20.065513610839844 49.084156036376953, 20.065290451049805 49.084220886230469, 20.065311431884766 49.084251403808594, 20.065292358398438 49.084255218505859, 20.065305709838867 49.084274291992188, 20.065341949462891 49.084323883056641, 20.065359115600586 49.0843505859375, 20.065376281738281 49.084342956542969, 20.065383911132812 49.084354400634766, 20.065532684326172 49.084308624267578, 20.065544128417969 49.084323883056641, 20.065528869628906 49.084327697753906, 20.065544128417969 49.0843505859375, 20.065559387207031 49.084369659423828, 20.065574645996094 49.084365844726562, 20.065582275390625 49.084377288818359, 20.065549850463867 49.084388732910156, 20.065603256225586 49.084465026855469, 20.065629959106445 49.084457397460938, 20.065654754638672 49.084491729736328, 20.065872192382812 49.084426879882812, 20.065845489501953 49.084388732910156, 20.065933227539062 49.0843620300293, 20.06591796875 49.0843391418457)"
287034190,proposed,,"LINESTRING (20.117336273193359 49.057682037353516, 20.15690803527832 49.057132720947266)"
287034191,proposed,,"LINESTRING (19.989612579345703 49.06854248046875, 19.9921875 49.070560455322266, 19.994619369506836 49.072124481201172, 19.998109817504883 49.073413848876953, 20.002082824707031 49.074138641357422, 20.007671356201172 49.074012756347656, 20.013727188110352 49.073387145996094, 20.020462036132812 49.072147369384766, 20.026473999023438 49.0715217590332, 20.02842903137207 49.071617126464844, 20.038181304931641 49.073093414306641, 20.047142028808594 49.074497222900391, 20.05487060546875 49.07501220703125, 20.06251335144043 49.07415771484375, 20.0700626373291 49.072250366210938, 20.073522567749023 49.071426391601562, 20.077604293823242 49.069877624511719, 20.084617614746094 49.066619873046875, 20.087549209594727 49.0635871887207, 20.091279983520508 49.060420989990234, 20.094018936157227 49.059333801269531, 20.097816467285156 49.058601379394531, 20.102874755859375 49.057945251464844, 20.108087539672852 49.057598114013672)"
319644357,rail,,"LINESTRING (20.307205200195312 49.058700561523438, 20.306449890136719 49.058910369873047, 20.305713653564453 49.059074401855469, 20.304859161376953 49.059207916259766, 20.303634643554688 49.0593147277832, 20.301342010498047 49.059516906738281)"
319644358,rail,yes,"LINESTRING (20.301342010498047 49.059516906738281, 20.301061630249023 49.059532165527344)"
319839495,light_rail,yes,"LINESTRING (20.2742977142334 49.083187103271484, 20.2744083404541 49.0833854675293)"
319839499,light_rail,,"LINESTRING (20.2744083404541 49.0833854675293, 20.274862289428711 49.084262847900391)"
320114148,rail,yes,"LINESTRING (20.309995651245117 49.057209014892578, 20.309823989868164 49.057357788085938)"
320114149,rail,,"LINESTRING (20.309995651245117 49.057209014892578, 20.310390472412109 49.056858062744141, 20.310848236083984 49.056526184082031, 20.311195373535156 49.056308746337891, 20.311920166015625 49.055946350097656, 20.312580108642578 49.0554313659668)"
320114150,rail,,"LINESTRING (20.308431625366211 49.058273315429688, 20.309011459350586 49.058025360107422, 20.309427261352539 49.057804107666016, 20.309682846069336 49.057640075683594, 20.309965133666992 49.057426452636719)"
320114151,rail,yes,"LINESTRING (20.309965133666992 49.057426452636719, 20.310142517089844 49.057277679443359)"
320114152,rail,,"LINESTRING (20.310142517089844 49.057277679443359, 20.310466766357422 49.057041168212891, 20.310735702514648 49.056903839111328, 20.311031341552734 49.056785583496094, 20.311424255371094 49.056644439697266, 20.311794281005859 49.0565185546875, 20.31195068359375 49.056480407714844, 20.312326431274414 49.056400299072266, 20.312925338745117 49.056327819824219, 20.313514709472656 49.056312561035156, 20.313949584960938 49.056362152099609, 20.314495086669922 49.056472778320312, 20.315021514892578 49.056632995605469, 20.315757751464844 49.056926727294922, 20.316402435302734 49.057327270507812, 20.316884994506836 49.057674407958984, 20.31724739074707 49.057956695556641)"
329042254,light_rail,,"LINESTRING (20.065195083618164 49.118991851806641, 20.065021514892578 49.118927001953125, 20.064859390258789 49.118839263916016)"
342122873,light_rail,,"LINESTRING (20.272212982177734 49.094013214111328, 20.271930694580078 49.094326019287109, 20.271799087524414 49.094577789306641, 20.271392822265625 49.095439910888672)"
358958320,light_rail,,"LINESTRING (20.221603393554688 49.138694763183594, 20.221742630004883 49.138759613037109, 20.221845626831055 49.138809204101562, 20.221979141235352 49.138862609863281, 20.222175598144531 49.138908386230469, 20.22357177734375 49.139209747314453, 20.223699569702148 49.139240264892578, 20.223945617675781 49.139312744140625, 20.224151611328125 49.139404296875, 20.224201202392578 49.139446258544922)"
358958323,light_rail,,"LINESTRING (20.22357177734375 49.139209747314453, 20.223897933959961 49.139240264892578, 20.224575042724609 49.139389038085938)"
358958324,light_rail,,"LINESTRING (20.2237606048584 49.139362335205078, 20.223670959472656 49.139339447021484, 20.223237991333008 49.139247894287109, 20.222326278686523 49.139053344726562, 20.222095489501953 49.139003753662109, 20.221921920776367 49.138931274414062, 20.22175407409668 49.138847351074219, 20.221668243408203 49.1387939453125)"
359401044,light_rail,yes,"LINESTRING (20.075386047363281 49.12469482421875, 20.075265884399414 49.124813079833984)"
