Id,Boundary,Zone
178,"POLYGON ((20.1661467533361 49.0355811777064, 20.1657362598219 49.035481120492, 20.1656601688316 49.0356160679943, 20.1660706632968 49.0357161254823, 20.1661467533361 49.0355811777064))",Unzoned
185,"POLYGON ((20.191865739878 49.0605264409943, 20.1920133917935 49.0602554437663, 20.1918072045293 49.0602069283012, 20.1916595516429 49.0604779252626, 20.191865739878 49.0605264409943))",Unzoned
203,"POLYGON ((20.1636733389412 49.0455184450349, 20.1640469340887 49.0453683044384, 20.1637043390408 49.044999926902, 20.1633307456498 49.0451500664083, 20.1636733389412 49.0455184450349))",Unzoned
209,"POLYGON ((20.1782559958842 49.0368662628446, 20.1785042632232 49.0366291747863, 20.1781436585582 49.0364659453529, 20.177895390337 49.0367030326372, 20.1782559958842 49.0368662628446))",Unzoned
220,"POLYGON ((20.1409027948167 49.0473367091158, 20.1404817564268 49.0474158067321, 20.1405118364811 49.0474849984047, 20.1409328754104 49.0474059006825, 20.1409027948167 49.0473367091158))",Unzoned
231,"POLYGON ((20.1449479367625 49.0714075122853, 20.1450655955155 49.0716847792603, 20.1454876103429 49.0716074740988, 20.1453699494126 49.0713302075383, 20.1449479367625 49.0714075122853))",Unzoned
235,"POLYGON ((20.1931699903592 49.0357552751853, 20.1933583979992 49.0360151040694, 20.1941487625316 49.0357673502084, 20.193960351679 49.0355075225868, 20.1931699903592 49.0357552751853))",Unzoned
237,"POLYGON ((20.1416509956904 49.0484054087935, 20.1412499102857 49.0485209390299, 20.1412938476341 49.0485868492367, 20.1416949334712 49.0484713188513, 20.1416509956904 49.0484054087935))",Unzoned
260,"POLYGON ((20.1259236329262 49.0254897223434, 20.1259286743824 49.0252018974224, 20.1254910025429 49.0251985812201, 20.125485958563 49.0254864061077, 20.1259236329262 49.0254897223434))",Unzoned
266,"POLYGON ((20.1224893617057 49.0530693093156, 20.1225623566111 49.0533531250471, 20.1234260040087 49.0532571647001, 20.1233530043125 49.0529733494828, 20.1224893617057 49.0530693093156))",Unzoned
270,"POLYGON ((20.1419165981146 49.0690501474285, 20.1419391704908 49.0687626872386, 20.1418297931825 49.0687589794139, 20.1418072201775 49.069046439579, 20.1419165981146 49.0690501474285))",Unzoned
283,"POLYGON ((20.1902500961047 49.069037174185, 20.1898981758523 49.0688657454476, 20.1893763524964 49.0693281986571, 20.1897282741808 49.0694996289798, 20.1902500961047 49.069037174185))",Unzoned
285,"POLYGON ((20.1392855852767 49.0639659141271, 20.1392724732399 49.0636782004765, 20.1387251705045 49.0636889679185, 20.1387382793827 49.063976681613, 20.1392855852767 49.0639659141271))",Unzoned
298,"POLYGON ((20.1971617997804 49.0585367022197, 20.1971010683697 49.0588217661046, 20.1978601636534 49.0588916096645, 20.1979208908175 49.0586065453613, 20.1971617997804 49.0585367022197))",Unzoned
300,"POLYGON ((20.1974078437356 49.0615819376667, 20.1976838745844 49.0618054358452, 20.1977689012685 49.0617600878462, 20.1974928702846 49.0615365898687, 20.1974078437356 49.0615819376667))",Unzoned
314,"POLYGON ((20.1816943546674 49.0598831076215, 20.1820716034148 49.0597368473856, 20.1819603225226 49.0596128895093, 20.1815830743959 49.0597591493878, 20.1816943546674 49.0598831076215))",ResidentialLow
347,"POLYGON ((20.1726762232314 49.0584341211107, 20.1727365981662 49.0581490252623, 20.1718689776266 49.0580696669698, 20.1718085978367 49.0583547623418, 20.1726762232314 49.0584341211107))",Unzoned
349,"POLYGON ((20.1589666006628 49.0502942552771, 20.1588222362383 49.0505660096193, 20.1594424061304 49.0507083404742, 20.1595867676064 49.0504365853465, 20.1589666006628 49.0502942552771))",Unzoned
350,"POLYGON ((20.1969243564388 49.0635355679763, 20.1971865233253 49.0637661669814, 20.1973619869319 49.063680029422, 20.1970998196767 49.0634494308274, 20.1969243564388 49.0635355679763))",Unzoned
369,"POLYGON ((20.1418596194295 49.0196067845541, 20.1417375951729 49.0193303565146, 20.1414223725618 49.0193905510156, 20.1415443952111 49.0196669793766, 20.1418596194295 49.0196067845541))",Unzoned
378,"POLYGON ((20.1910480821548 49.058908432349, 20.1911029891357 49.0586228588623, 20.190233905738 49.058550687889, 20.1901789938719 49.0588362606655, 20.1910480821548 49.058908432349))",Unzoned
380,"POLYGON ((20.1356727491849 49.0651980474878, 20.1357979473413 49.0654738829768, 20.1365325620271 49.0653299120436, 20.1364073601452 49.0650540773238, 20.1356727491849 49.0651980474878))",Unzoned
389,"POLYGON ((20.1629168300721 49.0618039669892, 20.1627015011805 49.0615533055519, 20.1625107815472 49.061624056079, 20.1627261097785 49.0618747177282, 20.1629168300721 49.0618039669892))",Unzoned
397,"POLYGON ((20.1454537769614 49.0540533839553, 20.1454689999759 49.0537657142357, 20.1451407369071 49.0537582098769, 20.1451255120017 49.054045879543, 20.1454537769614 49.0540533839553))",Unzoned
402,"POLYGON ((20.1600734901978 49.0422861356315, 20.1600964309849 49.0425735847173, 20.1602057444887 49.0425698121527, 20.1601828030727 49.0422823630849, 20.1600734901978 49.0422861356315))",Unzoned
410,"POLYGON ((20.153513799635 49.0243928952955, 20.1539514425403 49.0243885236426, 20.1539414694865 49.0239568055497, 20.1535038303674 49.0239611771861, 20.153513799635 49.0243928952955))",Unzoned
411,"POLYGON ((20.1812009833414 49.0721992014601, 20.1815297057822 49.0720089120721, 20.1811676677003 49.0717389469791, 20.1808389456835 49.0719292353469, 20.1812009833414 49.0721992014601))",Unzoned
425,"POLYGON ((20.1673214204873 49.0463274164011, 20.166885903032 49.046297514492, 20.1668290400219 49.0466553739167, 20.1672645605633 49.0466852760553, 20.1673214204873 49.0463274164011))",Unzoned
436,"POLYGON ((20.1801407740659 49.0642646200964, 20.1800153152244 49.063988834467, 20.1795956207239 49.0640712735594, 20.1797210774412 49.0643470594926, 20.1801407740659 49.0642646200964))",Unzoned
456,"POLYGON ((20.1412075346174 49.0215289727383, 20.1415439341969 49.0217131122695, 20.1421039001759 49.021270627012, 20.1417675014704 49.0210864891044, 20.1412075346174 49.0215289727383))",Unzoned
457,"POLYGON ((20.1832800259951 49.0711335067502, 20.1829210369895 49.0709685130025, 20.1824187799028 49.071440234698, 20.1827777706054 49.0716052300037, 20.1832800259951 49.0711335067502))",Unzoned
464,"POLYGON ((20.1939870957038 49.0241653565495, 20.1935702729724 49.024077529714, 20.1934367213368 49.0243516504158, 20.193853546111 49.0244394777405, 20.1939870957038 49.0241653565495))",Unzoned
484,"POLYGON ((20.1813210555144 49.0649451366522, 20.1813169902885 49.0652329681279, 20.1818645354565 49.065236305904, 20.1818685975204 49.0649484743922, 20.1813210555144 49.0649451366522))",Unzoned
503,"POLYGON ((20.1757016622703 49.0600153129597, 20.1753015530556 49.0598981898782, 20.174945098113 49.0604240643006, 20.1753452106807 49.0605411886255, 20.1757016622703 49.0600153129597))",ResidentialLow
507,"POLYGON ((20.1690916464236 49.0694291096543, 20.1690566644915 49.0697160341788, 20.1694933587477 49.0697390178459, 20.1695283381845 49.0694520931766, 20.1690916464236 49.0694291096543))",Unzoned
511,"POLYGON ((20.158895495227 49.0698954903002, 20.1590334628506 49.0701686863447, 20.1593453168991 49.0701006984304, 20.1592073477444 49.0698275027472, 20.158895495227 49.0698954903002))",Unzoned
518,"POLYGON ((20.1247255078441 49.0308020073597, 20.1247447007664 49.0305144394211, 20.1240887156135 49.0304955070801, 20.1240695189204 49.0307830748888, 20.1247255078441 49.0308020073597))",Unzoned
525,"POLYGON ((20.1522427169026 49.0368993725856, 20.1519852896219 49.0371321993674, 20.1526935457034 49.0374706995036, 20.1529509714657 49.0372378711466, 20.1522427169026 49.0368993725856))",Unzoned
579,"POLYGON ((20.1824942059883 49.0363942432173, 20.1826392051315 49.036665843739, 20.1827424787789 49.0366420083532, 20.182597479557 49.0363704079605, 20.1824942059883 49.0363942432173))",Unzoned
599,"POLYGON ((20.1470157079903 49.0682065410586, 20.147320346042 49.0684133948287, 20.147871278953 49.0680631085675, 20.1475666407182 49.0678562562384, 20.1470157079903 49.0682065410586))",Unzoned
600,"POLYGON ((20.1986479397799 49.0565653514345, 20.1982137551413 49.0565275402498, 20.1981274524559 49.0569555660568, 20.1985616407494 49.0569933775825, 20.1986479397799 49.0565653514345))",CommercialLow
602,"POLYGON ((20.1737572559575 49.0616374328223, 20.1741755831979 49.061722777705, 20.1744028564199 49.0612417011853, 20.1739845328077 49.0611563571391, 20.1737572559575 49.0616374328223))",ResidentialLow
605,"POLYGON ((20.1616784896566 49.0431378991259, 20.1620893897659 49.0430384564526, 20.1620137549221 49.0429033980622, 20.1616028557816 49.0430028404737, 20.1616784896566 49.0431378991259))",Unzoned
624,"POLYGON ((20.1392732173399 49.0605305959198, 20.1391059343443 49.0602645725145, 20.1385999257727 49.0604019849642, 20.1387672065048 49.0606680093586, 20.1392732173399 49.0605305959198))",Unzoned
635,"POLYGON ((20.1899752038546 49.0712557230945, 20.1903640744779 49.0711231460049, 20.1901118416863 49.0708037785015, 20.1897229729054 49.0709363547582, 20.1899752038546 49.0712557230945))",Unzoned
636,"POLYGON ((20.1364744804653 49.0517822106256, 20.136487496469 49.0514944946252, 20.1359403246215 49.0514837995014, 20.1359273054644 49.0517715154229, 20.1364744804653 49.0517822106256))",Unzoned
657,"POLYGON ((20.1412629147517 49.0208102804691, 20.1409265222616 49.0206261401301, 20.140366553224 49.0210686197047, 20.1407029465878 49.0212527616675, 20.1412629147517 49.0208102804691))",Unzoned
685,"POLYGON ((20.1683833018427 49.045845990674, 20.168688663776 49.0460522955835, 20.1690025052234 49.0458515646465, 20.1686971432 49.04564526056, 20.1683833018427 49.045845990674))",Unzoned
692,"POLYGON ((20.1750600572424 49.0605148991493, 20.1753969555463 49.0603309484104, 20.1750470592348 49.0600542034562, 20.1747101615356 49.0602381531855, 20.1750600572424 49.0605148991493))",ResidentialLow
705,"POLYGON ((20.1942097015854 49.035417302033, 20.1944215837011 49.0356691890822, 20.1948046891472 49.0355298777915, 20.1945928056716 49.0352779914325, 20.1942097015854 49.035417302033))",Unzoned
706,"POLYGON ((20.1755421431727 49.0345320262061, 20.1757148262939 49.034267522346, 20.1750108282379 49.0340688248765, 20.1748381420981 49.0343333276756, 20.1755421431727 49.0345320262061))",Unzoned
718,"POLYGON ((20.1655966776224 49.0717833564235, 20.1655201094008 49.0714999431729, 20.1648730592511 49.07157540026, 20.1649496238968 49.0718588139168, 20.1655966776224 49.0717833564235))",Unzoned
740,"POLYGON ((20.1878524574801 49.0319043172189, 20.187603488882 49.032141077919, 20.1883236382938 49.0324684883505, 20.1885726051464 49.0322317261006, 20.1878524574801 49.0319043172189))",Unzoned
764,"POLYGON ((20.1395111779154 49.0661544581376, 20.139513006601 49.065866617936, 20.1388559275339 49.0658648126098, 20.138854095053 49.0661526527798, 20.1395111779154 49.0661544581376))",Unzoned
802,"POLYGON ((20.1984572419872 49.0575628781545, 20.1984162014364 49.0578494568141, 20.1985252175939 49.0578561996952, 20.1985662575244 49.057569620994, 20.1984572419872 49.0575628781545))",Unzoned
808,"POLYGON ((20.1297242218585 49.0613203889203, 20.1301503026714 49.061387126946, 20.1302010785335 49.0612471275056, 20.1297749988446 49.0611803896721, 20.1297242218585 49.0613203889203))",Unzoned
811,"POLYGON ((20.1693699624669 49.0604667316194, 20.1696443997171 49.060242391974, 20.1691323364835 49.0599718682974, 20.1688578984486 49.0601962067312, 20.1693699624669 49.0604667316194))",ResidentialLow
826,"POLYGON ((20.1751812790029 49.0612816215792, 20.1748522076692 49.0614715977373, 20.1752135755623 49.0617419073986, 20.1755426473291 49.0615519302212, 20.1751812790029 49.0612816215792))",CommercialLow
831,"POLYGON ((20.1341889761085 49.0654343924437, 20.134301672848 49.0657125461097, 20.1350424698334 49.065582950835, 20.1349297692329 49.0653047978645, 20.1341889761085 49.0654343924437))",Unzoned
835,"POLYGON ((20.1941346181066 49.0615481823438, 20.1940587830349 49.0618316799522, 20.1949216070038 49.0619313464095, 20.1949974373329 49.061647848214, 20.1941346181066 49.0615481823438))",Unzoned
842,"POLYGON ((20.1679519590087 49.0465154104376, 20.1683874790554 49.046545308336, 20.1684443307554 49.0461874480751, 20.1680088137948 49.0461575504062, 20.1679519590087 49.0465154104376))",Unzoned
844,"POLYGON ((20.1970387499808 49.0608396810409, 20.1969449957043 49.0605585077777, 20.1967310640056 49.0605893130528, 20.196824817129 49.0608704864823, 20.1970387499808 49.0608396810409))",Unzoned
852,"POLYGON ((20.1851205422173 49.0714285316684, 20.1849006898085 49.0716775084709, 20.1856586031736 49.0719663977123, 20.1858784531313 49.0717174194653, 20.1851205422173 49.0714285316684))",Unzoned
855,"POLYGON ((20.1654623246922 49.0374346749697, 20.1657041535645 49.0376746249175, 20.1662515935177 49.0374361327124, 20.1660097631392 49.0371961838939, 20.1654623246922 49.0374346749697))",Unzoned
858,"POLYGON ((20.1847017199641 49.0707778658034, 20.1849162633736 49.0705268994328, 20.184343303522 49.0703154590702, 20.1841287581632 49.0705664243744, 20.1847017199641 49.0707778658034))",Unzoned
874,"POLYGON ((20.1989755543229 49.0312174323695, 20.1992597954401 49.0309985187714, 20.1989268747599 49.030811616341, 20.1986426332667 49.031030529124, 20.1989755543229 49.0312174323695))",Unzoned
875,"POLYGON ((20.1814490218518 49.0586253139398, 20.181388498372 49.0589103967119, 20.18225609517 49.0589899439986, 20.1823166137953 49.0587048607493, 20.1814490218518 49.0586253139398))",Unzoned
876,"POLYGON ((20.1466964592386 49.0349552071062, 20.1465269896347 49.0352206095688, 20.1472333928015 49.0354156070444, 20.1474028593363 49.035150203536, 20.1466964592386 49.0349552071062))",Unzoned
880,"POLYGON ((20.1427766781037 49.0506317798193, 20.143213945841 49.0506160429848, 20.1432079633882 49.0505441890777, 20.1427706962798 49.0505599258932, 20.1427766781037 49.0506317798193))",Unzoned
881,"POLYGON ((20.1727438594001 49.0611134909354, 20.172579376327 49.0613802690294, 20.1731883253477 49.0615424032696, 20.173352805718 49.0612756243005, 20.1727438594001 49.0611134909354))",ResidentialLow
886,"POLYGON ((20.1521213476832 49.0650857651026, 20.1519597087581 49.0648182342007, 20.1514507806593 49.0649509961335, 20.1516124172668 49.0652185275921, 20.1521213476832 49.0650857651026))",Unzoned
898,"POLYGON ((20.1340987687652 49.0634046328882, 20.1340852387828 49.0631169277489, 20.1337568699221 49.0631235942997, 20.1337703980096 49.0634112994663, 20.1340987687652 49.0634046328882))",Unzoned
902,"POLYGON ((20.1702755913853 49.0607505085031, 20.1704582876098 49.0604888986721, 20.1696621059618 49.0602487777258, 20.1694794064724 49.0605103861521, 20.1702755913853 49.0607505085031))",ResidentialLow
906,"POLYGON ((20.1811597663712 49.06995032334, 20.1812835626613 49.0696742113069, 20.1811785025292 49.0696538769938, 20.1810547057103 49.0699299889123, 20.1811597663712 49.06995032334))",Unzoned
938,"POLYGON ((20.1337406435403 49.0558644964505, 20.1334746048572 49.0556358416398, 20.1329527353319 49.0558981058882, 20.1332187729893 49.0561267618859, 20.1337406435403 49.0558644964505))",Unzoned
942,"POLYGON ((20.1412858421328 49.0523182613086, 20.1412508871262 49.0526051863938, 20.1419057056319 49.0526396488856, 20.1419406568991 49.0523527235828, 20.1412858421328 49.0523182613086))",Unzoned
966,"POLYGON ((20.1772691381618 49.0405882720626, 20.1774967171558 49.0403423681403, 20.1770291644969 49.0401553479631, 20.1768015840741 49.0404012509634, 20.1772691381618 49.0405882720626))",Unzoned
972,"POLYGON ((20.1362665396994 49.0296773353021, 20.1364907979287 49.0294301338033, 20.1359269064222 49.0292089306115, 20.1357026464221 49.0294561310136, 20.1362665396994 49.0296773353021))",Unzoned
991,"POLYGON ((20.1223422270089 49.0311918747253, 20.1222346727427 49.0314708945022, 20.1224468376966 49.0315062553071, 20.1225543908577 49.0312272353278, 20.1223422270089 49.0311918747253))",Unzoned
992,"POLYGON ((20.1395485375417 49.0524769439802, 20.1395755493817 49.0521896483032, 20.1387013389595 49.0521541327644, 20.1386743221062 49.0524414282103, 20.1395485375417 49.0524769439802))",Unzoned
1008,"POLYGON ((20.1825628750955 49.0713510953079, 20.1827718829004 49.0710981193359, 20.1821943294462 49.0708921361766, 20.1819853193897 49.0711451110992, 20.1825628750955 49.0713510953079))",Unzoned
1011,"POLYGON ((20.1659458804955 49.0350952213707, 20.1655653796537 49.0349528659895, 20.1655112499759 49.0350154092817, 20.1658917511358 49.0351577648416, 20.1659458804955 49.0350952213707))",Unzoned
1017,"POLYGON ((20.1734444681711 49.0609565298302, 20.1731141932693 49.0607674610833, 20.1728984115416 49.060930241725, 20.1732286866882 49.0611193110856, 20.1734444681711 49.0609565298302))",ResidentialLow
1036,"POLYGON ((20.1804304819752 49.0641763911707, 20.1801324171736 49.0639654589595, 20.1800521673122 49.0640144241996, 20.1803502320617 49.064225356616, 20.1804304819752 49.0641763911707))",Unzoned
1045,"POLYGON ((20.1894275802679 49.06969474345, 20.1897843033156 49.0698618379674, 20.1902929292787 49.069393077317, 20.1899362078428 49.0692259843669, 20.1894275802679 49.06969474345))",Unzoned
1076,"POLYGON ((20.1730790077307 49.0642453996135, 20.1726420828453 49.0642248161288, 20.1726185881279 49.0644401459956, 20.1730555148894 49.0644607295787, 20.1730790077307 49.0642453996135))",Unzoned
1125,"POLYGON ((20.1341202794596 49.0638758787339, 20.1336827506563 49.0638897660897, 20.1336880318333 49.0639616428127, 20.1341255612667 49.0639477554406, 20.1341202794596 49.0638758787339))",Unzoned
1144,"POLYGON ((20.1817482578924 49.0637070567711, 20.1815644387193 49.0634457835685, 20.1812662350375 49.0635363760426, 20.1814500529685 49.0637976497782, 20.1817482578924 49.0637070567711))",Unzoned
1153,"POLYGON ((20.1255544769022 49.0312176126483, 20.1255724556991 49.0315052119983, 20.1261191845641 49.03149043551, 20.1261012026185 49.0312028362265, 20.1255544769022 49.0312176126483))",Unzoned
1177,"POLYGON ((20.1866259702779 49.0431921559101, 20.186345904362 49.0429708944266, 20.1861776148939 49.0430629500302, 20.1864576805309 49.0432842119171, 20.1866259702779 49.0431921559101))",Unzoned
1178,"POLYGON ((20.1733100178027 49.0355014672754, 20.1735120940611 49.0357568146299, 20.1740946444376 49.0355575194923, 20.173892565979 49.0353021731374, 20.1733100178027 49.0355014672754))",Unzoned
1185,"POLYGON ((20.1814009825162 49.0600564645524, 20.1810651194293 49.0598716996947, 20.1808542525386 49.0600372371565, 20.1811901159441 49.0602220026243, 20.1814009825162 49.0600564645524))",ResidentialLow
1213,"POLYGON ((20.1420129974359 49.0519239078776, 20.1420540295372 49.0516373307929, 20.1417270224436 49.0516171033856, 20.1416859884822 49.0519036803445, 20.1420129974359 49.0519239078776))",Unzoned
1221,"POLYGON ((20.178729909549 49.067896183517, 20.1791594688839 49.0679526751509, 20.1792884307428 49.067529305971, 20.1788588748995 49.0674728148317, 20.178729909549 49.067896183517))",Unzoned
1223,"POLYGON ((20.1736488569207 49.0643927959939, 20.1740599013435 49.0642932964481, 20.1740220468213 49.0642257714935, 20.1736110028833 49.0643252709082, 20.1736488569207 49.0643927959939))",Unzoned
1236,"POLYGON ((20.1340155765068 49.0630145148575, 20.1338554584448 49.0627465920801, 20.1335496720018 49.0628255043381, 20.1337097886626 49.0630934275111, 20.1340155765068 49.0630145148575))",Unzoned
1240,"POLYGON ((20.1645076731019 49.061730022083, 20.1646026666494 49.062011014946, 20.1648164676273 49.0619798023785, 20.1647214729293 49.0616988096838, 20.1645076731019 49.061730022083))",Unzoned
1245,"POLYGON ((20.1329145432204 49.0233188283899, 20.1333112293728 49.0231971950177, 20.1331262720821 49.0229363176722, 20.1327295875693 49.0230579504233, 20.1329145432204 49.0233188283899))",Unzoned
1250,"POLYGON ((20.1732031439739 49.0546750444488, 20.1732934296107 49.054393383159, 20.1730791527503 49.0543637135001, 20.1729888659607 49.0546453746175, 20.1732031439739 49.0546750444488))",Unzoned
1255,"POLYGON ((20.1404785901012 49.0461389922128, 20.1408247430099 49.0459627059582, 20.1407577004073 49.0459058190465, 20.1404115476617 49.0460821051027, 20.1404785901012 49.0461389922128))",Unzoned
1257,"POLYGON ((20.129737251946 49.0639497373223, 20.1294341102088 49.0637419594408, 20.1291179064419 49.0639411607534, 20.1294210513948 49.0641489393457, 20.129737251946 49.0639497373223))",Unzoned
1261,"POLYGON ((20.1852334771459 49.0585176981226, 20.1854489907667 49.0587682870655, 20.1855443177994 49.0587328789495, 20.1853288037868 49.0584822907299, 20.1852334771459 49.0585176981226))",Unzoned
1299,"POLYGON ((20.1775268050902 49.0634781442096, 20.1773844534709 49.0632059239798, 20.1770737563399 49.0632760801916, 20.1772161064535 49.063548300759, 20.1775268050902 49.0634781442096))",Unzoned
1309,"POLYGON ((20.1920590071541 49.0677072738529, 20.192476828934 49.067620760475, 20.1922793282613 49.0672089580354, 20.1918615096091 49.0672954707209, 20.1920590071541 49.0677072738529))",Unzoned
1316,"POLYGON ((20.1788702117947 49.0603065781609, 20.178496318294 49.0601566399079, 20.1781540742283 49.0605252014208, 20.1785279694368 49.0606751407824, 20.1788702117947 49.0603065781609))",ResidentialLow
1345,"POLYGON ((20.1343633971202 49.0634797634991, 20.1347994037258 49.0634520758842, 20.1347888694429 49.0633804490404, 20.1343528634591 49.0634081366194, 20.1343633971202 49.0634797634991))",Unzoned
1346,"POLYGON ((20.1416320835249 49.0597047138638, 20.1411942663257 49.059713155369, 20.1412039025079 49.0599289445776, 20.1416417216019 49.0599205030469, 20.1416320835249 49.0597047138638))",Unzoned
1348,"POLYGON ((20.1272481062345 49.0701668975584, 20.1270413519394 49.0699131294955, 20.1265585633689 49.0700829385614, 20.1267653158868 49.0703367074717, 20.1272481062345 49.0701668975584))",Unzoned
1368,"POLYGON ((20.1938918824747 49.0350394663383, 20.1936800056814 49.0347875783173, 20.1932969028662 49.0349268859056, 20.1935087782995 49.0351787746168, 20.1938918824747 49.0350394663383))",Unzoned
1376,"POLYGON ((20.1979361296635 49.0587096553911, 20.1975018669427 49.058672143008, 20.1974875964461 49.0587434906585, 20.1979218597765 49.058781003098, 20.1979361296635 49.0587096553911))",Unzoned
1386,"POLYGON ((20.1927406732453 49.0691262028931, 20.1931582422417 49.069039140076, 20.1930257350433 49.068764779131, 20.1926081681263 49.0688518414837, 20.1927406732453 49.0691262028931))",Unzoned
1387,"POLYGON ((20.1413655085532 49.0633221457117, 20.1409279855832 49.0633081817958, 20.1408854801761 49.0638831890767, 20.1413230081784 49.0638971531807, 20.1413655085532 49.0633221457117))",Unzoned
1401,"POLYGON ((20.1450107306522 49.0505065599695, 20.1450868011831 49.0502230920351, 20.1444399050213 49.0501480917408, 20.1443638309379 49.0504315592326, 20.1450107306522 49.0505065599695))",Unzoned
1417,"POLYGON ((20.1740290906691 49.0307155920189, 20.1741291973122 49.0304353730384, 20.1732769020539 49.0303037167199, 20.1731767909066 49.0305839349429, 20.1740290906691 49.0307155920189))",Unzoned
1419,"POLYGON ((20.1679354393755 49.0682794579479, 20.1676883226904 49.0685171335079, 20.1683213545533 49.0688012788259, 20.1685684696621 49.0685636019134, 20.1679354393755 49.0682794579479))",Unzoned
1434,"POLYGON ((20.1753846639323 49.0594737264869, 20.1752246360196 49.0597416707203, 20.1760400903788 49.0599520005327, 20.1762001146111 49.0596840551583, 20.1753846639323 49.0594737264869))",ResidentialLow
1435,"POLYGON ((20.1827231817625 49.0362199660653, 20.1829272773776 49.0364746215013, 20.1834114237304 49.0363068844958, 20.1832073263088 49.0360522298991, 20.1827231817625 49.0362199660653))",Unzoned
1440,"POLYGON ((20.1773577405824 49.0635052664039, 20.1772639453168 49.0632240986969, 20.1766221276706 49.0633165479908, 20.176715919476 49.0635977161964, 20.1773577405824 49.0635052664039))",Unzoned
1445,"POLYGON ((20.175776384622 49.0399941501127, 20.1758555111304 49.0397110437315, 20.1753172346343 49.0396460161679, 20.1752381051829 49.0399291221673, 20.175776384622 49.0399941501127))",Unzoned
1456,"POLYGON ((20.1738908966404 49.035321740432, 20.1740137138127 49.0355980247984, 20.1745389801952 49.0354970854921, 20.1744161603482 49.0352208016655, 20.1738908966404 49.035321740432))",Unzoned
1462,"POLYGON ((20.129833971003 49.0640648399484, 20.1295798227252 49.063830396195, 20.1294906320224 49.0638721463806, 20.1297447734072 49.06410659014, 20.129833971003 49.0640648399484))",Unzoned
1469,"POLYGON ((20.1337725833125 49.0639510538749, 20.1333365718203 49.063978737443, 20.1333471041269 49.0640503645381, 20.133783116241 49.064022680934, 20.1337725833125 49.0639510538749))",Unzoned
1519,"POLYGON ((20.1937589325903 49.05913145721, 20.1938122899344 49.0588457563449, 20.1930514996749 49.058784390623, 20.1929981380442 49.0590700911167, 20.1937589325903 49.05913145721))",Unzoned
