Id, Road Name, Road Type, One Way, Lanes, Geometry
23818271,Hlavná,tertiary,,2,"LINESTRING (20.136081695556641 49.0519905090332, 20.136667251586914 49.052001953125, 20.141202926635742 49.052097320556641, 20.141927719116211 49.0521354675293, 20.142297744750977 49.052158355712891, 20.142345428466797 49.052162170410156)"
23818272,,tertiary,,2,"LINESTRING (20.154449462890625 49.053798675537109, 20.154911041259766 49.053905487060547, 20.155597686767578 49.054157257080078, 20.156251907348633 49.054428100585938, 20.157163619995117 49.054805755615234, 20.157808303833008 49.055110931396484, 20.1582088470459 49.055263519287109, 20.158796310424805 49.055511474609375, 20.159183502197266 49.055702209472656, 20.159368515014648 49.055881500244141)"
23820836,,secondary,,,"LINESTRING (20.140275955200195 49.066444396972656, 20.140251159667969 49.067241668701172, 20.140214920043945 49.068000793457031, 20.140111923217773 49.069839477539062, 20.140104293823242 49.0699577331543, 20.140079498291016 49.070453643798828, 20.140083312988281 49.070674896240234, 20.140098571777344 49.070869445800781, 20.140121459960938 49.070995330810547, 20.140144348144531 49.07110595703125, 20.140192031860352 49.071262359619141)"
23820838,,secondary,,,"LINESTRING (20.140192031860352 49.071262359619141, 20.140247344970703 49.071418762207031, 20.140300750732422 49.0715446472168, 20.140361785888672 49.071670532226562, 20.140422821044922 49.071781158447266, 20.140472412109375 49.071849822998047, 20.140514373779297 49.0718994140625, 20.140565872192383 49.071971893310547, 20.1406192779541 49.0720329284668, 20.140693664550781 49.072109222412109, 20.14076042175293 49.072174072265625, 20.140832901000977 49.072242736816406, 20.140905380249023 49.072307586669922, 20.141000747680664 49.072380065917969, 20.141075134277344 49.072441101074219, 20.141170501708984 49.072513580322266, 20.1418399810791 49.072948455810547, 20.142147064208984 49.073165893554688, 20.142377853393555 49.073333740234375, 20.14253044128418 49.073467254638672, 20.142681121826172 49.0736198425293, 20.142824172973633 49.073810577392578, 20.142868041992188 49.073860168457031, 20.142951965332031 49.073951721191406)"
23820840,,secondary,,,"LINESTRING (20.143136978149414 49.076198577880859, 20.143121719360352 49.076400756835938, 20.143011093139648 49.077346801757812, 20.14289665222168 49.078495025634766, 20.142765045166016 49.079498291015625, 20.142681121826172 49.080234527587891, 20.142599105834961 49.080963134765625, 20.142410278320312 49.082691192626953, 20.142290115356445 49.083610534667969)"
23820841,,secondary,,,"LINESTRING (20.141862869262695 49.087802886962891, 20.14173698425293 49.088935852050781, 20.141719818115234 49.089092254638672, 20.141695022583008 49.089332580566406, 20.141618728637695 49.090068817138672, 20.141555786132812 49.090560913085938, 20.141542434692383 49.090663909912109, 20.141447067260742 49.091426849365234, 20.141338348388672 49.092647552490234, 20.141328811645508 49.0927619934082)"
23820858,,tertiary,,,"LINESTRING (20.190849304199219 49.078315734863281, 20.189229965209961 49.075244903564453, 20.188879013061523 49.074600219726562, 20.188573837280273 49.074138641357422, 20.188308715820312 49.073989868164062, 20.188016891479492 49.073936462402344, 20.187522888183594 49.073898315429688, 20.187417984008789 49.0738525390625)"
23820861,,tertiary,,,"LINESTRING (20.203018188476562 49.095130920410156, 20.201839447021484 49.094257354736328, 20.200099945068359 49.093299865722656, 20.199031829833984 49.0926399230957, 20.197046279907227 49.088699340820312, 20.193819046020508 49.083553314208984, 20.193166732788086 49.082851409912109, 20.192661285400391 49.082485198974609, 20.192148208618164 49.082004547119141, 20.19183349609375 49.081558227539062, 20.191568374633789 49.080997467041016, 20.1914119720459 49.079689025878906, 20.191263198852539 49.079177856445312, 20.190849304199219 49.078315734863281)"
23820864,,tertiary,,,"LINESTRING (20.192527770996094 49.062046051025391, 20.192558288574219 49.061454772949219, 20.192554473876953 49.061313629150391, 20.192543029785156 49.061214447021484, 20.192512512207031 49.061111450195312, 20.192407608032227 49.060989379882812, 20.192279815673828 49.060874938964844, 20.19206428527832 49.0608024597168, 20.191837310791016 49.060749053955078, 20.190290451049805 49.06060791015625, 20.190031051635742 49.060527801513672, 20.189874649047852 49.060432434082031, 20.189739227294922 49.060287475585938, 20.189739227294922 49.060234069824219, 20.189725875854492 49.060131072998047, 20.189737319946289 49.060077667236328, 20.1898250579834 49.059722900390625, 20.189920425415039 49.059104919433594)"
23820865,Hlavná,primary,,2,"LINESTRING (20.189920425415039 49.059104919433594, 20.187917709350586 49.058929443359375)"
23820866,Hlavná,primary,,2,"LINESTRING (20.214210510253906 49.06134033203125, 20.213947296142578 49.061309814453125, 20.211650848388672 49.061016082763672, 20.209526062011719 49.060726165771484, 20.208728790283203 49.060646057128906, 20.207637786865234 49.060565948486328, 20.204353332519531 49.060329437255859, 20.202140808105469 49.060157775878906, 20.200685501098633 49.060039520263672)"
24235582,,primary,,2,"LINESTRING (20.169931411743164 49.0572624206543, 20.167657852172852 49.057014465332031, 20.165111541748047 49.056785583496094, 20.162548065185547 49.056522369384766, 20.161209106445312 49.0564079284668)"
24235583,,primary,,2,"LINESTRING (20.257534027099609 49.062091827392578, 20.256565093994141 49.062248229980469, 20.256032943725586 49.062339782714844, 20.255332946777344 49.062450408935547, 20.25468635559082 49.062534332275391)"
24358231,,tertiary,,,"LINESTRING (20.090484619140625 49.052406311035156, 20.095895767211914 49.052425384521484, 20.097019195556641 49.052371978759766, 20.097810745239258 49.052242279052734, 20.099094390869141 49.052097320556641, 20.100124359130859 49.051963806152344, 20.1010684967041 49.051845550537109, 20.101846694946289 49.051834106445312, 20.102479934692383 49.052032470703125, 20.103008270263672 49.052318572998047, 20.103330612182617 49.052532196044922, 20.103544235229492 49.052837371826172, 20.103918075561523 49.053325653076172, 20.104360580444336 49.053798675537109, 20.104658126831055 49.054115295410156, 20.104990005493164 49.054412841796875, 20.105695724487305 49.054752349853516, 20.10624885559082 49.05499267578125, 20.106819152832031 49.055145263671875, 20.107667922973633 49.055305480957031, 20.10795783996582 49.055313110351562, 20.108552932739258 49.0552978515625, 20.109336853027344 49.054958343505859, 20.110313415527344 49.054523468017578, 20.110960006713867 49.054176330566406, 20.111623764038086 49.053852081298828, 20.11213493347168 49.053775787353516, 20.112712860107422 49.053798675537109, 20.113265991210938 49.053867340087891, 20.114124298095703 49.054031372070312, 20.115043640136719 49.053997039794922, 20.1159610748291 49.053955078125, 20.117195129394531 49.053936004638672, 20.118131637573242 49.053936004638672, 20.119041442871094 49.053825378417969, 20.119626998901367 49.053688049316406, 20.120452880859375 49.053443908691406, 20.121566772460938 49.053077697753906, 20.122434616088867 49.0528564453125, 20.123361587524414 49.052753448486328, 20.123973846435547 49.052669525146484, 20.124551773071289 49.052566528320312, 20.1252498626709 49.052463531494141, 20.12615966796875 49.052310943603516, 20.127096176147461 49.052158355712891, 20.127834320068359 49.051933288574219, 20.128473281860352 49.051830291748047, 20.129446029663086 49.05181884765625, 20.130109786987305 49.051853179931641, 20.131071090698242 49.051860809326172, 20.131738662719727 49.051895141601562, 20.132698059082031 49.051910400390625, 20.134134292602539 49.051925659179688, 20.135000228881836 49.051952362060547, 20.136081695556641 49.0519905090332)"
24845061,Lesná,residential,,,"LINESTRING (20.248908996582031 49.0456657409668, 20.247489929199219 49.044212341308594, 20.24662971496582 49.043342590332031, 20.246438980102539 49.043190002441406, 20.245973587036133 49.042831420898438, 20.243906021118164 49.041481018066406, 20.242452621459961 49.040561676025391, 20.24101448059082 49.039657592773438, 20.240713119506836 49.039142608642578, 20.240058898925781 49.038093566894531, 20.239723205566406 49.0374641418457, 20.239349365234375 49.036861419677734, 20.239156723022461 49.036739349365234, 20.238962173461914 49.036689758300781, 20.2385311126709 49.036659240722656, 20.235879898071289 49.036666870117188, 20.235298156738281 49.036628723144531, 20.234781265258789 49.036575317382812, 20.234289169311523 49.036457061767578, 20.234115600585938 49.036407470703125, 20.2340145111084 49.0362548828125, 20.234138488769531 49.036087036132812, 20.234319686889648 49.036003112792969, 20.234642028808594 49.035915374755859, 20.234891891479492 49.03582763671875, 20.235048294067383 49.035697937011719, 20.235273361206055 49.035530090332031, 20.23628044128418 49.034664154052734, 20.236839294433594 49.034294128417969, 20.237472534179688 49.03411865234375, 20.237770080566406 49.033962249755859, 20.237869262695312 49.033779144287109, 20.237821578979492 49.033626556396484, 20.237705230712891 49.033481597900391, 20.237478256225586 49.033348083496094, 20.237325668334961 49.0332145690918, 20.236865997314453 49.032894134521484, 20.236661911010742 49.032810211181641, 20.236377716064453 49.032768249511719, 20.232717514038086 49.032772064208984, 20.231311798095703 49.032741546630859, 20.230379104614258 49.032707214355469, 20.228237152099609 49.032691955566406, 20.227304458618164 49.032741546630859, 20.225833892822266 49.0328483581543, 20.224576950073242 49.032974243164062, 20.223115921020508 49.033126831054688, 20.222711563110352 49.033164978027344, 20.22172737121582 49.033256530761719, 20.221519470214844 49.033275604248047, 20.220409393310547 49.033370971679688, 20.219793319702148 49.033428192138672, 20.219217300415039 49.033412933349609, 20.217655181884766 49.033199310302734, 20.216447830200195 49.0330810546875, 20.215002059936523 49.033027648925781, 20.214115142822266 49.033004760742188, 20.212926864624023 49.032974243164062, 20.211870193481445 49.032913208007812, 20.211345672607422 49.032920837402344, 20.210329055786133 49.033027648925781, 20.209033966064453 49.033061981201172, 20.208702087402344 49.033073425292969, 20.207792282104492 49.033111572265625, 20.20695686340332 49.03314208984375, 20.205814361572266 49.033203125)"
24845062,,track,,,"LINESTRING (20.166786193847656 49.034954071044922, 20.166721343994141 49.034885406494141, 20.166637420654297 49.03485107421875, 20.166603088378906 49.034538269042969, 20.166362762451172 49.034198760986328)"
24895955,,primary,,,"LINESTRING (20.155368804931641 49.057609558105469, 20.153528213500977 49.058956146240234, 20.15321159362793 49.059150695800781, 20.152864456176758 49.0593376159668, 20.152544021606445 49.05950927734375, 20.152202606201172 49.059669494628906, 20.151584625244141 49.0599365234375, 20.149347305297852 49.060878753662109, 20.1488094329834 49.061122894287109, 20.148384094238281 49.061305999755859, 20.1479549407959 49.0615234375, 20.147563934326172 49.061748504638672, 20.147182464599609 49.061988830566406, 20.14683723449707 49.062274932861328, 20.146614074707031 49.062553405761719)"
24895956,,primary,,,"LINESTRING (20.1566219329834 49.056877136230469, 20.156301498413086 49.057010650634766, 20.155973434448242 49.057193756103516, 20.155668258666992 49.0573844909668, 20.155368804931641 49.057609558105469)"
26169513,,primary,,2,"LINESTRING (20.143875122070312 49.065460205078125, 20.143470764160156 49.065658569335938, 20.14307975769043 49.065834045410156, 20.142948150634766 49.065883636474609, 20.142715454101562 49.065975189208984, 20.14244270324707 49.066074371337891)"
27479340,,motorway_link,no,2,"LINESTRING (20.143875122070312 49.065460205078125, 20.1434326171875 49.065093994140625)"
29062157,,motorway,yes,2,"LINESTRING (20.16278076171875 49.067226409912109, 20.163211822509766 49.067241668701172, 20.163616180419922 49.067253112792969, 20.164464950561523 49.067256927490234, 20.165290832519531 49.067241668701172, 20.166128158569336 49.067214965820312)"
29062159,,motorway_link,yes,,"LINESTRING (20.250808715820312 49.064777374267578, 20.250165939331055 49.064853668212891, 20.249963760375977 49.064891815185547, 20.249811172485352 49.064926147460938, 20.249713897705078 49.064960479736328, 20.249607086181641 49.064994812011719, 20.249515533447266 49.065029144287109, 20.249410629272461 49.065078735351562, 20.249294281005859 49.065143585205078, 20.249187469482422 49.065208435058594, 20.249103546142578 49.065269470214844, 20.249046325683594 49.065315246582031, 20.248918533325195 49.0654411315918, 20.248653411865234 49.065765380859375)"
29062160,,tertiary,,,"LINESTRING (20.246511459350586 49.064640045166016, 20.246509552001953 49.064556121826172, 20.246517181396484 49.064216613769531)"
29062161,,motorway_link,yes,2,"LINESTRING (20.246509552001953 49.064556121826172, 20.246614456176758 49.064548492431641, 20.246892929077148 49.064548492431641, 20.246952056884766 49.064521789550781)"
33623604,,tertiary,,,"LINESTRING (20.246517181396484 49.064216613769531, 20.246509552001953 49.063827514648438, 20.246503829956055 49.063541412353516, 20.246515274047852 49.062801361083984)"
33623605,,tertiary,,,"LINESTRING (20.249292373657227 49.062061309814453, 20.249109268188477 49.061946868896484, 20.248947143554688 49.061882019042969, 20.248842239379883 49.061843872070312, 20.248708724975586 49.061809539794922, 20.248559951782227 49.0617790222168, 20.24846076965332 49.061763763427734, 20.248344421386719 49.0617561340332, 20.248085021972656 49.0617561340332, 20.247831344604492 49.061771392822266, 20.247734069824219 49.061782836914062, 20.247646331787109 49.061798095703125, 20.247556686401367 49.061820983886719, 20.247470855712891 49.061843872070312, 20.247295379638672 49.0619010925293, 20.247138977050781 49.061969757080078, 20.247018814086914 49.062042236328125, 20.246889114379883 49.062141418457031, 20.246791839599609 49.062221527099609, 20.246688842773438 49.062347412109375, 20.246637344360352 49.062412261962891, 20.246589660644531 49.062496185302734, 20.246561050415039 49.062568664550781)"
33678042,,service,yes,,"LINESTRING (20.193759918212891 49.059421539306641, 20.193477630615234 49.0595817565918, 20.193241119384766 49.059566497802734, 20.192907333374023 49.059749603271484, 20.192466735839844 49.059715270996094, 20.192123413085938 49.059452056884766, 20.192079544067383 49.059284210205078)"
35591866,,tertiary,yes,1,"LINESTRING (20.249649047851562 49.062309265136719, 20.249692916870117 49.062404632568359, 20.249773025512695 49.062553405761719, 20.249809265136719 49.062713623046875, 20.249805450439453 49.062847137451172, 20.249740600585938 49.0629768371582)"
35591886,,motorway,yes,2,"LINESTRING (20.242973327636719 49.065093994140625, 20.241935729980469 49.065120697021484, 20.240123748779297 49.065128326416016, 20.239110946655273 49.065116882324219, 20.238162994384766 49.065093994140625, 20.237525939941406 49.0650634765625, 20.236679077148438 49.065021514892578, 20.235061645507812 49.064926147460938, 20.233186721801758 49.064773559570312, 20.231403350830078 49.064605712890625, 20.228097915649414 49.064277648925781, 20.221086502075195 49.063591003417969, 20.216236114501953 49.063106536865234, 20.213851928710938 49.062904357910156, 20.212656021118164 49.062847137451172, 20.212038040161133 49.062824249267578, 20.211452484130859 49.062812805175781, 20.210716247558594 49.062812805175781, 20.209995269775391 49.062824249267578, 20.209253311157227 49.062847137451172, 20.208580017089844 49.062881469726562, 20.208141326904297 49.062911987304688, 20.207719802856445 49.062946319580078, 20.206897735595703 49.063014984130859, 20.206050872802734 49.063106536865234, 20.205167770385742 49.0632209777832, 20.204347610473633 49.063339233398438, 20.203521728515625 49.063484191894531, 20.201873779296875 49.063804626464844, 20.198652267456055 49.064456939697266, 20.197710037231445 49.064624786376953, 20.196784973144531 49.064773559570312, 20.196493148803711 49.064811706542969)"
40426782,Hraničná,residential,,,"LINESTRING (20.175020217895508 49.059150695800781, 20.174951553344727 49.059417724609375, 20.174785614013672 49.060108184814453, 20.174562454223633 49.060459136962891)"
40426783,Okružná,residential,,,"LINESTRING (20.173402786254883 49.064296722412109, 20.173425674438477 49.0640869140625, 20.173490524291992 49.06353759765625, 20.173412322998047 49.063362121582031, 20.173854827880859 49.063129425048828)"
44064708,Hlavná,primary,,2,"LINESTRING (20.187917709350586 49.058929443359375, 20.187358856201172 49.058887481689453)"
44064709,Hlavná,primary,,2,"LINESTRING (20.187358856201172 49.058887481689453, 20.184844970703125 49.05865478515625, 20.184652328491211 49.058635711669922, 20.183845520019531 49.058559417724609, 20.183141708374023 49.058490753173828, 20.182826995849609 49.058464050292969)"
44064731,Na letisko,tertiary,,,"LINESTRING (20.2672061920166 49.066764831542969, 20.266380310058594 49.066989898681641, 20.265533447265625 49.067214965820312, 20.264013290405273 49.067626953125, 20.263202667236328 49.067844390869141, 20.262065887451172 49.068141937255859, 20.260639190673828 49.0685920715332, 20.259555816650391 49.0689811706543, 20.258989334106445 49.069183349609375, 20.25758171081543 49.069705963134766, 20.256919860839844 49.069931030273438, 20.256435394287109 49.070034027099609, 20.256158828735352 49.070064544677734, 20.255792617797852 49.070075988769531, 20.2553653717041 49.070045471191406, 20.254898071289062 49.069961547851562, 20.254165649414062 49.069747924804688, 20.252468109130859 49.069255828857422, 20.251279830932617 49.068885803222656, 20.250247955322266 49.068569183349609, 20.24981689453125 49.068435668945312, 20.248996734619141 49.068183898925781, 20.248739242553711 49.068107604980469, 20.248439788818359 49.067996978759766, 20.248184204101562 49.067905426025391, 20.248023986816406 49.067836761474609, 20.247898101806641 49.067771911621094)"
44152756,,service,,,"LINESTRING (20.247898101806641 49.067771911621094, 20.247587203979492 49.067916870117188, 20.247379302978516 49.067691802978516, 20.247196197509766 49.067646026611328)"
44152757,,service,,,"LINESTRING (20.247196197509766 49.067646026611328, 20.246492385864258 49.067573547363281, 20.246135711669922 49.067573547363281, 20.245712280273438 49.067539215087891, 20.245391845703125 49.0675163269043, 20.244918823242188 49.067466735839844, 20.244556427001953 49.067440032958984, 20.244413375854492 49.067485809326172, 20.244348526000977 49.0676383972168, 20.2441349029541 49.067630767822266, 20.243474960327148 49.067611694335938, 20.243017196655273 49.067588806152344)"
45251696,,motorway,yes,2,"LINESTRING (20.118612289428711 49.0720329284668, 20.119625091552734 49.071926116943359, 20.121049880981445 49.071723937988281, 20.122152328491211 49.0715217590332, 20.123294830322266 49.071296691894531, 20.124340057373047 49.071037292480469, 20.125394821166992 49.070758819580078, 20.12640380859375 49.070453643798828, 20.127403259277344 49.070117950439453, 20.130367279052734 49.068935394287109, 20.132474899291992 49.068046569824219, 20.13458251953125 49.067142486572266, 20.135498046875 49.066749572753906, 20.136432647705078 49.066356658935547, 20.13749885559082 49.065898895263672, 20.138566970825195 49.065456390380859)"
45251699,Tunel Bôrik,motorway,yes,2,"LINESTRING (20.14826774597168 49.064304351806641, 20.149736404418945 49.064476013183594, 20.150470733642578 49.064617156982422, 20.151210784912109 49.0648078918457, 20.15289306640625 49.065265655517578, 20.154882431030273 49.065879821777344, 20.156806945800781 49.066413879394531, 20.157632827758789 49.066631317138672, 20.158407211303711 49.066787719726562, 20.158987045288086 49.066890716552734, 20.159631729125977 49.066989898681641, 20.160863876342773 49.067108154296875)"
45251705,Tunel Bôrik,motorway,yes,2,"LINESTRING (20.160745620727539 49.067253112792969, 20.159627914428711 49.067153930664062, 20.158975601196289 49.067062377929688, 20.158403396606445 49.066970825195312, 20.157609939575195 49.066814422607422, 20.156745910644531 49.066604614257812, 20.154806137084961 49.066059112548828, 20.152732849121094 49.065444946289062, 20.1511173248291 49.064990997314453, 20.150352478027344 49.064788818359375, 20.149580001831055 49.064640045166016, 20.148063659667969 49.064449310302734)"
45251708,,motorway,yes,2,"LINESTRING (20.148063659667969 49.064449310302734, 20.146755218505859 49.064327239990234)"
45671383,,motorway_link,yes,1,"LINESTRING (20.142332077026367 49.064395904541016, 20.142803192138672 49.0642204284668, 20.142997741699219 49.064140319824219, 20.143123626708984 49.064071655273438, 20.143274307250977 49.063972473144531, 20.143404006958008 49.0638542175293, 20.143835067749023 49.0634651184082)"
54277667,,service,,,"LINESTRING (20.244556427001953 49.067440032958984, 20.24260139465332 49.067268371582031)"
54277668,,track,,,"LINESTRING (20.24260139465332 49.067268371582031, 20.240156173706055 49.0671272277832, 20.239387512207031 49.067111968994141, 20.238990783691406 49.067253112792969, 20.237873077392578 49.067775726318359, 20.237033843994141 49.068363189697266, 20.235671997070312 49.0694465637207, 20.234148025512695 49.070659637451172, 20.233121871948242 49.071475982666016, 20.232858657836914 49.071617126464844, 20.230136871337891 49.072700500488281, 20.221630096435547 49.073078155517578, 20.221382141113281 49.073165893554688, 20.221155166625977 49.073246002197266, 20.219696044921875 49.074024200439453, 20.219221115112305 49.074188232421875, 20.21782112121582 49.074321746826172)"
54291927,,path,,,"LINESTRING (20.218437194824219 49.0537223815918, 20.218358993530273 49.053348541259766)"
54291928,,service,,,"LINESTRING (20.213399887084961 49.054508209228516, 20.213476181030273 49.054759979248047)"
54291929,,service,,,"LINESTRING (20.213476181030273 49.054759979248047, 20.213525772094727 49.054836273193359, 20.213748931884766 49.054912567138672, 20.213899612426758 49.055091857910156)"
54291930,,service,yes,,"LINESTRING (20.217491149902344 49.06103515625, 20.217565536499023 49.061111450195312, 20.217588424682617 49.061302185058594, 20.217630386352539 49.061351776123047, 20.21769905090332 49.061378479003906, 20.218173980712891 49.061420440673828, 20.218391418457031 49.061325073242188, 20.218452453613281 49.061237335205078, 20.218450546264648 49.061153411865234, 20.2183837890625 49.061084747314453, 20.218269348144531 49.061058044433594, 20.217670440673828 49.061000823974609, 20.217491149902344 49.06103515625)"
54291931,Jilemnického,residential,,,"LINESTRING (20.211641311645508 49.057193756103516, 20.2117862701416 49.056346893310547, 20.2119197845459 49.055572509765625, 20.21196174621582 49.055377960205078, 20.212240219116211 49.055332183837891, 20.212791442871094 49.055370330810547, 20.213172912597656 49.055347442626953, 20.213899612426758 49.055091857910156, 20.214282989501953 49.054950714111328, 20.214889526367188 49.054752349853516, 20.215253829956055 49.054759979248047, 20.215442657470703 49.054828643798828, 20.215518951416016 49.054965972900391, 20.215532302856445 49.05517578125, 20.215259552001953 49.056610107421875, 20.215248107910156 49.056667327880859)"
54291934,Nová,residential,,,"LINESTRING (20.216245651245117 49.059360504150391, 20.215234756469727 49.059375762939453, 20.214414596557617 49.059379577636719)"
54291935,Nová,residential,,,"LINESTRING (20.215234756469727 49.059375762939453, 20.21514892578125 49.057933807373047, 20.215276718139648 49.057647705078125, 20.215934753417969 49.057548522949219)"
54291936,Kukučínova,residential,,,"LINESTRING (20.214319229125977 49.057197570800781, 20.214752197265625 49.057331085205078, 20.213865280151367 49.059257507324219, 20.213762283325195 49.059341430664062, 20.213327407836914 49.059280395507812)"
54291937,,service,yes,,"LINESTRING (20.218173980712891 49.061420440673828, 20.218441009521484 49.061672210693359, 20.218549728393555 49.061748504638672)"
54291938,Štúrova,residential,,,"LINESTRING (20.215248107910156 49.056667327880859, 20.214164733886719 49.056835174560547, 20.213291168212891 49.056961059570312, 20.213224411010742 49.056972503662109, 20.211641311645508 49.057193756103516, 20.208866119384766 49.057621002197266, 20.2086181640625 49.057651519775391)"
86228654,,motorway_link,no,,"LINESTRING (20.248653411865234 49.065765380859375, 20.248569488525391 49.065860748291016, 20.248456954956055 49.065940856933594, 20.248344421386719 49.066005706787109, 20.248239517211914 49.066070556640625, 20.24810791015625 49.066120147705078, 20.248003005981445 49.0661506652832, 20.247825622558594 49.0661735534668, 20.247575759887695 49.066184997558594, 20.247196197509766 49.066177368164062)"
92318045,Hasičská,residential,,,"LINESTRING (20.143819808959961 49.050586700439453, 20.142704010009766 49.050556182861328, 20.142467498779297 49.050651550292969, 20.142463684082031 49.050823211669922, 20.142045974731445 49.050861358642578)"
92318047,Horská,residential,,,"LINESTRING (20.168737411499023 49.060409545898438, 20.169242858886719 49.060676574707031, 20.170925140380859 49.061183929443359, 20.171157836914062 49.061370849609375)"
92318051,,residential,,,"LINESTRING (20.171527862548828 49.059833526611328, 20.174785614013672 49.060108184814453)"
92318053,Lesná,residential,,,"LINESTRING (20.143856048583984 49.050876617431641, 20.143850326538086 49.05096435546875)"
92318057,,track,,,"LINESTRING (20.140104293823242 49.0699577331543, 20.139091491699219 49.070049285888672, 20.13804817199707 49.070320129394531, 20.137319564819336 49.070571899414062, 20.136323928833008 49.070968627929688, 20.136117935180664 49.070960998535156, 20.135883331298828 49.070858001708984, 20.135847091674805 49.070823669433594, 20.135801315307617 49.070774078369141, 20.135505676269531 49.070014953613281, 20.133325576782227 49.068023681640625)"
92318061,Družstevná,residential,,,"LINESTRING (20.142478942871094 49.0510139465332, 20.142545700073242 49.051200866699219, 20.142576217651367 49.052127838134766, 20.142578125 49.052173614501953)"
92318062,,residential,,,"LINESTRING (20.145681381225586 49.052352905273438, 20.145673751831055 49.052398681640625, 20.145549774169922 49.053543090820312, 20.145647048950195 49.053756713867188, 20.14570426940918 49.053855895996094)"
