id,zone_type,geometry
11,Obcanska vybavenospoint_entertainment,"POLYGON ((17.2280892913017 49.5920296564491,17.2280892497548 49.5920290788212,17.228089204579 49.5920290895865,17.2280892913017 49.5920296564491))"
11,Obcanska vybavenospoint_entertainment,"POLYGON ((17.2302591213391 49.5923025976846,17.2303390826162 49.5922752698353,17.2303672495699 49.5922848911516,17.230402683904 49.5922912544218,17.2305206746139 49.5923012993786,17.2306072021112 49.5919571116857,17.2307046001237 49.5915718051276,17.2304679837872 49.5911457034824,17.2290923516772 49.59093757974,17.2290898039192 49.590944587059,17.2286772315103 49.590882813773,17.2286816753036 49.5908704066589,17.2284709149363 49.5908393965036,17.2280929166007 49.592030043616,17.2281117342691 49.5920327829537,17.2282560362034 49.5920526074562,17.2284153615964 49.5920749005104,17.2286917447702 49.5921124100138,17.229047027868 49.5921614533943,17.229203496498 49.5921800770568,17.2302723116777 49.5923287972765,17.2302728918815 49.5923207060891,17.2302723084447 49.5923173205327,17.2302684107178 49.5923115691092,17.2302591213391 49.5923025976846))"
12,Obcanska vybavenosCom/res/ind,"POLYGON ((17.2255748673392 49.5936742523351,17.2257213411075 49.5935784687327,17.2257003939137 49.5935412451207,17.2256635972364 49.5934695208908,17.2255769703945 49.5933031707136,17.2255891683884 49.5932546980658,17.2255746127778 49.5932373994415,17.2255679663687 49.5932188934658,17.2255702789392 49.5932067064942,17.2255732368927 49.5931917642983,17.2255959991611 49.5931642635613,17.2256207037507 49.5931384823282,17.2256314690924 49.5931114948365,17.2256263442139 49.5930730321716,17.2255593323575 49.5930869009504,17.2254326742528 49.5928307153573,17.2255006597196 49.5928167181729,17.2254149110379 49.5926489782208,17.2254120336199 49.5926437710454,17.2254070426979 49.5926379478327,17.225402453093 49.592631911797,17.2253977546582 49.5926265858213,17.2253947970258 49.5926238117441,17.2253870750499 49.5926190063088,17.2253658789762 49.5926061542559,17.225337982921 49.5925986054368,17.2253110689689 49.5925918374444,17.2252328092068 49.5925817363662,17.2251311692057 49.5925686827093,17.2250347355114 49.5925523803167,17.2248874627935 49.5925275182202,17.2247641947196 49.5925302746208,17.2247073500827 49.5925316052042,17.2246897836037 49.5926249682139,17.2246875072193 49.5927116097308,17.2247283273853 49.5928887943278,17.2247101290767 49.5929354310835,17.2246587900423 49.5930720843272,17.2246433699425 49.5932682123555,17.2246591866768 49.5935123924305,17.2246638495465 49.5935837795203,17.2255720623335 49.5936739509613,17.2255748673392 49.5936742523351))"
13,RDresidentalLow,"POLYGON ((17.2266781370449 49.5876564546716,17.2268146348061 49.5876758472947,17.227312701318 49.587747052272,17.2273169047193 49.5876879617587,17.227350045717 49.5873066665609,17.2272312568592 49.5873157884989,17.2269292029261 49.5873369535445,17.2268212882356 49.5873451901596,17.226792569809 49.58734960212,17.2267474680874 49.5873678941414,17.2267245315345 49.5873795551414,17.2267131274779 49.5873921438291,17.2266917452625 49.5874283666564,17.226689168708 49.5874523692979,17.2266781370449 49.5876564546716))"
14,RDresidentalLow,"POLYGON ((17.224919409693 49.5869394572354,17.2249114144443 49.5870154462724,17.225053120316 49.5873258998213,17.2254437127 49.5881708561466,17.2255834083615 49.5884589716116,17.2260448354162 49.5882993285143,17.2260657809775 49.5881677545205,17.2260557735994 49.588165742213,17.2260400401361 49.5881326616304,17.2260021143276 49.5880529196728,17.2259682420697 49.5879816996691,17.2260003065742 49.5877651562605,17.2260330347792 49.5875428328732,17.2260575984946 49.5873759707888,17.2260803570698 49.5873774480772,17.2260946393164 49.587254527567,17.2261370657684 49.5872561274604,17.2262184442965 49.587212038499,17.2263100582668 49.5871640984277,17.2261417358381 49.5870461409784,17.2260765480964 49.586997587514,17.2260424131829 49.5869862664493,17.2260136828679 49.586979380652,17.2259522913954 49.5869768295338,17.2257117500002 49.5869626481936,17.224919409693 49.5869394572354))"
15,RDresidentalLow,"POLYGON ((17.2266971645097 49.5859043058976,17.2266976690211 49.5858830238728,17.2266991213841 49.5858639914397,17.2266804758735 49.5858513046368,17.2266851312501 49.5858305670267,17.2266798846367 49.5858168370012,17.2266495851511 49.5857938305472,17.2262708816613 49.585673611724,17.2262506433885 49.5857000322589,17.2262432315309 49.5857674516053,17.2262298599217 49.5858928230827,17.2262118771473 49.5859294913748,17.2262399894179 49.5859380109526,17.2265931850764 49.5859913028664,17.2265837502773 49.5860091188727,17.2266203958951 49.5860131147698,17.2266971645097 49.5859043058976))"
16,RDresidentalLow,"POLYGON ((17.2262708816613 49.585673611724,17.2259422839308 49.5855951089704,17.2257720799623 49.5858413191373,17.2256181071321 49.5860584581881,17.2252908374808 49.5860391229325,17.225147811685 49.5860317501055,17.2250483358821 49.5860281597456,17.2244648744071 49.5859960140234,17.2240104566364 49.5859712890473,17.2240426145098 49.5858098398836,17.2239271120403 49.5857765179706,17.2239166014848 49.5860707765926,17.2238923668303 49.5862329450953,17.2239021585683 49.586475143499,17.2239123089769 49.5866292978618,17.2245617591348 49.5866819887062,17.2245341174207 49.5865999596999,17.2245126958563 49.5865383187505,17.2244908376321 49.5864795180628,17.2244569570802 49.5863840730557,17.2245462953501 49.5863052362677,17.2245379895934 49.5862874826893,17.2245458504115 49.5862650400078,17.2245532745526 49.5862454384917,17.2247103563609 49.5862570729325,17.224692906631 49.5863524137659,17.2248332193945 49.5863625731504,17.2249338158342 49.5863699167739,17.225031484077 49.5863763702719,17.225108709858 49.5863806017961,17.2251962586257 49.5863853975567,17.2252925116927 49.5863906708211,17.225355244738 49.586394107752,17.2254791406261 49.5864008956717,17.2255485902728 49.5864067392018,17.2256470234728 49.5862668359863,17.2257288361026 49.5861496843095,17.2257977579945 49.5860487318921,17.2258691222649 49.585944203396,17.2259000455657 49.5859006409993,17.2259265487884 49.5858813217965,17.2260832455877 49.5859079208526,17.2262118771473 49.5859294913748,17.2262298599217 49.5858928230827,17.2262371871542 49.5858241216697,17.2262443154703 49.5857575857684,17.2262506433885 49.5857000322589,17.2262597216689 49.5856881819426,17.2262708816613 49.585673611724))"
17,RDresidentalLow,"POLYGON ((17.2239123089769 49.5866292978618,17.2239181237049 49.586727335371,17.223931847727 49.5869156733371,17.2239452792755 49.5870867774198,17.2239506934167 49.5871472841614,17.2239746096091 49.587307592364,17.2239897818484 49.5874482059838,17.2240068519068 49.5876052013001,17.2240108678444 49.5876652338492,17.2240287939863 49.5877209104111,17.2240542556039 49.5877903621649,17.2242358117255 49.5878007162538,17.224515901014 49.5878160329677,17.2248486425371 49.5878333338512,17.2250428603726 49.5878414461143,17.2249098009836 49.5875517900339,17.2247056978037 49.5871351410853,17.2246459949423 49.5869895060078,17.2245619926501 49.586791020194,17.2245094451954 49.5866776457343,17.2239123089769 49.5866292978618))"
18,RDresidentalLow,"POLYGON ((17.2257645421604 49.5896265601588,17.2257292910948 49.5895328205223,17.2256828331431 49.5893923286508,17.2256120995863 49.5891824192104,17.2255693672172 49.5890476084148,17.2255379391488 49.588946943093,17.2253973100313 49.5886726090752,17.2253414024551 49.5885575220739,17.2244554404807 49.5880737675164,17.224200524256 49.5879328894758,17.2240542556039 49.5877903621649,17.2240794890348 49.5878633743283,17.2241342181382 49.5882408408748,17.2240999858398 49.5882218818994,17.2241095784669 49.5883126411378,17.2241178780006 49.5884094380071,17.2241264642767 49.5884732346723,17.2241406107522 49.5886109596395,17.2241560181262 49.5887500583047,17.224172622982 49.5888875848721,17.2241930657819 49.589084870319,17.2242077211049 49.5892336502823,17.2242171719308 49.5893205521414,17.2242227195189 49.5893550189306,17.2243799226495 49.5893915491283,17.2245531236989 49.5894296920989,17.224757278079 49.5894755228868,17.225359062232 49.5895787197293,17.2257266745954 49.5896396434693,17.2257645421604 49.5896265601588))"
19,Obcanska vybavenosCom/res/ind,"POLYGON ((17.2274142870679 49.5856134931572,17.2278469147161 49.585023289686,17.2274333022368 49.5848920389136,17.2272528393789 49.5848387238977,17.2265869706687 49.5846775819175,17.2262957404641 49.584591253428,17.2247345201837 49.5841183455272,17.2246591475345 49.5840919332295,17.2244872191114 49.5840908106282,17.2243473976881 49.5840530405639,17.2243093174612 49.5841315718104,17.2241914721006 49.5844773898532,17.2240849448529 49.5849218735316,17.223976739022 49.5854347239487,17.2239156127288 49.58567940834,17.2239271120403 49.5857765179706,17.2240426145098 49.5858098398836,17.2240104566364 49.5859712890473,17.2244648744071 49.5859960140234,17.224836328171 49.586016480084,17.2251843208496 49.5860336314763,17.2254709087396 49.5860497617915,17.2256181071321 49.5860584581881,17.2259054625028 49.5856483716634,17.2259422839308 49.5855951089704,17.2262708816613 49.585673611724,17.2263154080514 49.5856157855117,17.2263631542893 49.585626799574,17.2265253044861 49.5856753309369,17.2266765999513 49.5857204223086,17.2267054078611 49.5857148967706,17.2268441796114 49.5857112091803,17.2269165624639 49.5857837288022,17.226992763092 49.5857815693058,17.2270593859188 49.5857796804953,17.227134481026 49.5857775520824,17.2271779949643 49.5857749853978,17.2272309698229 49.5857718605334,17.2272779387858 49.5857653456173,17.2273019661264 49.5857525597177,17.2273363204946 49.5857188918967,17.2274142870679 49.5856134931572))"
20,Obcanska vybavenospoint_education,"POLYGON ((17.2324506449643 49.5892821587606,17.2325058561675 49.5892424735808,17.2326487257324 49.5891934026553,17.2327797426889 49.5890729898847,17.2327697560122 49.5890661686134,17.233076245247 49.5888103216048,17.2333026015636 49.5886413834337,17.233497452053 49.5885039922432,17.2336539699296 49.5883989034116,17.2338030386142 49.5882999952641,17.233298301564 49.5879759882904,17.233280802109 49.5879876922697,17.2332574202435 49.5879747003351,17.2332459522335 49.587981128799,17.2331738295156 49.5879367630704,17.2328475832158 49.5877692832641,17.2326794388763 49.587693107319,17.2324830700475 49.587601472292,17.2310024747675 49.5883506525437,17.2315823159293 49.5886941071885,17.2318200874378 49.5888893239591,17.2321437978309 49.5890805504663,17.2324506449643 49.5892821587606))"
21,Obcanska vybavenoscommercial,"POLYGON ((17.2343277133054 49.5906152023637,17.2339757166433 49.5915286401706,17.2339815900366 49.5915609943154,17.2339874992836 49.5915895902314,17.234007173904 49.5916147745176,17.2340471974928 49.5916468596357,17.2340911684632 49.591666603672,17.2343797961069 49.5917189706492,17.2343983448711 49.5916667688519,17.2345178549448 49.5916461551586,17.2345382457923 49.5916108262218,17.2346207551838 49.5916227019472,17.2347138325538 49.5916201295699,17.2348136177114 49.5916029137571,17.2348566797889 49.5915833032409,17.2349456347422 49.5915380191944,17.2351387567128 49.5914225751386,17.2356946072506 49.5910811654225,17.235748950872 49.5909525281094,17.2357042988915 49.5909094187308,17.2355525132832 49.5907797297531,17.2355151648656 49.5907738656319,17.2355217412073 49.5907559305123,17.2353573565174 49.5906237464173,17.2351979952945 49.5904951209208,17.2352110474945 49.5904669773339,17.2353281259998 49.5903972757121,17.2352842223894 49.5903668231681,17.2352449300205 49.5903898028057,17.2352248519695 49.5903802234019,17.2351783096201 49.5904102194635,17.2351743385696 49.5904064450914,17.2351631433239 49.5904134891805,17.2351042776157 49.5903722761192,17.2350775167283 49.5903789093528,17.2350654995431 49.590379325029,17.2350390989122 49.5903776140054,17.2349058736827 49.5902811117795,17.2349019453227 49.5902467869066,17.2347603450918 49.5903307307132,17.2347272095266 49.5903369499539,17.2346816073397 49.5903525227129,17.2346703214637 49.5903601586277,17.2346127093427 49.5903940790388,17.234498946356 49.5904579882818,17.2344025480328 49.5905301584075,17.2343277133054 49.5906152023637))"
22,RDresidentalLow,"POLYGON ((17.2352068872071 49.58810818132,17.2351249127231 49.5880492153756,17.2349880001864 49.5879597256282,17.234927777162 49.587951988618,17.2347021831643 49.5880910933928,17.2344260436195 49.5882676959314,17.2349348036658 49.5886266885612,17.2352068892164 49.5888188624596,17.2350439805724 49.5889218656989,17.2348120767937 49.5890431090799,17.2346267296517 49.5891339240833,17.2350607464899 49.5894474432481,17.2354505807995 49.5897332943026,17.2355317317311 49.5896844722952,17.2359181698521 49.5894528682205,17.2356872867038 49.5892863392677,17.235555385418 49.5891932117048,17.2359872170116 49.5889320012601,17.2362145687873 49.588772328045,17.2355652890947 49.5883465955045,17.2352068872071 49.58810818132))"
23,Bytovaresidentalhigh,"POLYGON ((17.2339055286808 49.5886041094325,17.2340688521078 49.5887237237746,17.2342045128074 49.5888222975294,17.234376855824 49.5889535748027,17.2344333542925 49.5889947565874,17.2346267296517 49.5891339240833,17.2348333419085 49.5890319906196,17.2349411136107 49.5889756470613,17.2350439805724 49.5889218656989,17.2351342473098 49.5888647932366,17.2352068892164 49.5888188624596,17.2348770061238 49.5885850580368,17.2346332684064 49.5884094943705,17.2344260436195 49.5882676959314,17.2343341706022 49.5883252522568,17.2342267062438 49.5883928790286,17.2341039365809 49.5884710852372,17.2339055286808 49.5886041094325))"
