id, road_name, road_type, one_way, lanes, bridge, geometry
4262352,Okružní,tertiary,,,,"LINESTRING (17.224201202392578 49.583797454833984, 17.224130630493164 49.584007263183594, 17.224027633666992 49.5843391418457, 17.223934173583984 49.584648132324219, 17.223911285400391 49.584735870361328, 17.223812103271484 49.585136413574219, 17.223766326904297 49.585411071777344, 17.223739624023438 49.585666656494141, 17.22370719909668 49.586032867431641, 17.223697662353516 49.586227416992188, 17.223716735839844 49.586669921875, 17.223752975463867 49.587070465087891, 17.223798751831055 49.587429046630859, 17.2238826751709 49.588119506835938, 17.223905563354492 49.588356018066406, 17.224025726318359 49.589405059814453)"
4262353,třída Míru,secondary,,,,"LINESTRING (17.231861114501953 49.596565246582031, 17.231996536254883 49.5965690612793)"
4262362,Požárníků,residential,,,,"LINESTRING (17.248989105224609 49.570297241210938, 17.248966217041016 49.570247650146484)"
4264653,,residential,yes,,,"LINESTRING (17.246074676513672 49.58221435546875, 17.245752334594727 49.582355499267578, 17.24513053894043 49.582527160644531, 17.245113372802734 49.582569122314453, 17.245084762573242 49.582645416259766)"
4264654,Foerstrova,primary,,4,,"LINESTRING (17.239784240722656 49.588142395019531, 17.23974609375 49.588214874267578, 17.239492416381836 49.58856201171875, 17.239240646362305 49.588890075683594)"
4264655,Štítného,tertiary,,,,"LINESTRING (17.239784240722656 49.588142395019531, 17.239982604980469 49.588188171386719, 17.240079879760742 49.588207244873047, 17.240650177001953 49.588325500488281)"
4264656,,primary_link,yes,,,"LINESTRING (17.2412166595459 49.58270263671875, 17.241455078125 49.583030700683594, 17.241487503051758 49.583061218261719, 17.241521835327148 49.583087921142578, 17.241559982299805 49.583114624023438, 17.241607666015625 49.583137512207031, 17.241657257080078 49.583156585693359, 17.24169921875 49.583168029785156, 17.241735458374023 49.583175659179688, 17.241779327392578 49.583183288574219, 17.241844177246094 49.583187103271484, 17.241901397705078 49.583187103271484, 17.241985321044922 49.583183288574219, 17.242050170898438 49.583175659179688, 17.242128372192383 49.583164215087891, 17.242191314697266 49.583152770996094, 17.242359161376953 49.583106994628906, 17.243032455444336 49.582889556884766, 17.243659973144531 49.582759857177734)"
4264660,,residential,yes,,,"LINESTRING (17.21851921081543 49.603759765625, 17.21876335144043 49.603618621826172, 17.218868255615234 49.603515625)"
4264662,,trunk,yes,2,,"LINESTRING (17.215181350708008 49.605972290039062, 17.213691711425781 49.606452941894531, 17.212411880493164 49.606765747070312)"
4264665,,trunk,yes,2,,"LINESTRING (17.216615676879883 49.605365753173828, 17.217086791992188 49.605182647705078, 17.217729568481445 49.604930877685547, 17.2179012298584 49.604850769042969)"
4265072,Velkomoravská,primary,yes,2,,"LINESTRING (17.261564254760742 49.581958770751953, 17.261404037475586 49.581928253173828, 17.261348724365234 49.581916809082031, 17.261306762695312 49.5819091796875, 17.261201858520508 49.581890106201172, 17.260984420776367 49.58184814453125, 17.260002136230469 49.581657409667969, 17.259084701538086 49.581501007080078, 17.258758544921875 49.581443786621094, 17.258327484130859 49.581371307373047, 17.258255004882812 49.581363677978516)"
4268656,V křovinách,residential,,,,"LINESTRING (17.248598098754883 49.577899932861328, 17.248525619506836 49.577919006347656, 17.24839973449707 49.577922821044922)"
4268802,,unclassified,,,,"LINESTRING (17.217836380004883 49.601318359375, 17.21827507019043 49.60113525390625, 17.21966552734375 49.60052490234375)"
4268811,,unclassified,,,,"LINESTRING (17.219757080078125 49.600570678710938, 17.219705581665039 49.600551605224609, 17.21966552734375 49.60052490234375, 17.219638824462891 49.600482940673828, 17.219636917114258 49.600437164306641, 17.219661712646484 49.600395202636719, 17.219709396362305 49.600360870361328, 17.219781875610352 49.600341796875, 17.219860076904297 49.600341796875, 17.219930648803711 49.600360870361328, 17.219982147216797 49.600399017333984, 17.220003128051758 49.600440979003906, 17.220001220703125 49.600486755371094, 17.219972610473633 49.60052490234375, 17.219924926757812 49.600559234619141, 17.219871520996094 49.6005744934082, 17.219814300537109 49.600578308105469, 17.219757080078125 49.600570678710938)"
4268812,,service,,,,"LINESTRING (17.219924926757812 49.600559234619141, 17.220235824584961 49.600826263427734, 17.220394134521484 49.600925445556641, 17.220592498779297 49.601028442382812, 17.220790863037109 49.601112365722656, 17.22099494934082 49.601200103759766, 17.221181869506836 49.601272583007812, 17.221405029296875 49.601348876953125, 17.221521377563477 49.601387023925781, 17.221612930297852 49.601398468017578, 17.221792221069336 49.601276397705078, 17.222070693969727 49.601131439208984, 17.222347259521484 49.600994110107422, 17.222629547119141 49.600868225097656, 17.222942352294922 49.600742340087891, 17.223398208618164 49.600593566894531, 17.2235050201416 49.600563049316406, 17.223590850830078 49.600536346435547, 17.223621368408203 49.60052490234375, 17.223836898803711 49.600456237792969, 17.223947525024414 49.600406646728516, 17.2239933013916 49.600383758544922, 17.22404670715332 49.600360870361328, 17.224058151245117 49.600357055664062, 17.224157333374023 49.600315093994141, 17.2244873046875 49.600143432617188)"
4268814,,track,,,,"LINESTRING (17.22039794921875 49.603534698486328, 17.219453811645508 49.602596282958984, 17.21898078918457 49.602138519287109, 17.218160629272461 49.601318359375)"
4268815,,track,,,,"LINESTRING (17.223648071289062 49.606704711914062, 17.222332000732422 49.60540771484375)"
4269136,,service,,,,"LINESTRING (17.220394134521484 49.600925445556641, 17.220571517944336 49.60076904296875, 17.220767974853516 49.600631713867188, 17.220794677734375 49.600601196289062, 17.22113037109375 49.600418090820312, 17.221498489379883 49.600234985351562, 17.22187614440918 49.600067138671875, 17.222265243530273 49.59991455078125, 17.222557067871094 49.599811553955078)"
4269210,Pavlovická,primary,,,,"LINESTRING (17.278636932373047 49.6030387878418, 17.279108047485352 49.603557586669922)"
4277585,,tertiary,,,,"LINESTRING (17.277761459350586 49.589668273925781, 17.277820587158203 49.589668273925781, 17.277877807617188 49.589679718017578, 17.277929306030273 49.589694976806641, 17.277973175048828 49.5897216796875, 17.278005599975586 49.589752197265625, 17.278024673461914 49.589790344238281, 17.278032302856445 49.589820861816406, 17.278026580810547 49.5898551940918, 17.278011322021484 49.589885711669922, 17.277986526489258 49.589916229248047, 17.277950286865234 49.589942932128906, 17.277908325195312 49.589962005615234, 17.277870178222656 49.589973449707031, 17.2778263092041 49.589981079101562, 17.27778434753418 49.589981079101562, 17.277740478515625 49.5899772644043, 17.277692794799805 49.589969635009766, 17.27764892578125 49.589950561523438, 17.277610778808594 49.589931488037109, 17.277580261230469 49.58990478515625, 17.277559280395508 49.589874267578125, 17.277547836303711 49.589839935302734, 17.277547836303711 49.589805603027344, 17.277559280395508 49.589775085449219, 17.2775821685791 49.589744567871094, 17.277614593505859 49.589717864990234, 17.277652740478516 49.589694976806641, 17.277706146240234 49.589675903320312, 17.277761459350586 49.589668273925781)"
4277856,17. listopadu,tertiary,,,,"LINESTRING (17.264467239379883 49.594318389892578, 17.264562606811523 49.594436645507812, 17.264871597290039 49.594772338867188, 17.264944076538086 49.594852447509766, 17.265186309814453 49.595138549804688, 17.265607833862305 49.5955696105957, 17.265790939331055 49.59576416015625, 17.265892028808594 49.595859527587891, 17.265901565551758 49.595867156982422)"
4277919,Jiřího z Poděbrad,residential,yes,,,"LINESTRING (17.262462615966797 49.595108032226562, 17.262563705444336 49.595176696777344, 17.262611389160156 49.595207214355469, 17.26289176940918 49.595363616943359, 17.2634334564209 49.595649719238281, 17.26371955871582 49.595809936523438, 17.263898849487305 49.595962524414062, 17.264060974121094 49.596141815185547)"
4277921,Husova,tertiary,,,,"LINESTRING (17.266889572143555 49.596923828125, 17.266971588134766 49.597019195556641, 17.267120361328125 49.597328186035156, 17.267110824584961 49.597419738769531, 17.2670841217041 49.597499847412109)"
4277974,Dolní novosadská,secondary,,,,"LINESTRING (17.259737014770508 49.571109771728516, 17.259941101074219 49.570720672607422, 17.260017395019531 49.570571899414062, 17.260065078735352 49.570476531982422, 17.260200500488281 49.5702018737793, 17.260444641113281 49.569709777832031, 17.260784149169922 49.569019317626953, 17.260923385620117 49.568729400634766, 17.261285781860352 49.567913055419922, 17.261623382568359 49.567123413085938, 17.262109756469727 49.565895080566406, 17.26258659362793 49.564697265625, 17.263015747070312 49.563713073730469, 17.263145446777344 49.563224792480469, 17.262886047363281 49.5628776550293, 17.262153625488281 49.562034606933594, 17.261970520019531 49.561809539794922, 17.26190185546875 49.5615119934082, 17.261909484863281 49.561244964599609, 17.2619571685791 49.560928344726562, 17.262042999267578 49.560646057128906, 17.262359619140625 49.560073852539062, 17.262588500976562 49.559776306152344, 17.262872695922852 49.559524536132812)"
4277975,Zikova,tertiary,,,,"LINESTRING (17.258026123046875 49.577602386474609, 17.257783889770508 49.577617645263672, 17.257755279541016 49.577621459960938, 17.257585525512695 49.577640533447266, 17.257450103759766 49.577644348144531, 17.257204055786133 49.577640533447266, 17.256961822509766 49.577632904052734, 17.256155014038086 49.577579498291016, 17.255924224853516 49.577564239501953, 17.255548477172852 49.577537536621094, 17.254735946655273 49.577484130859375, 17.2541561126709 49.577438354492188, 17.253910064697266 49.577423095703125, 17.253576278686523 49.5774040222168, 17.252784729003906 49.577327728271484, 17.251527786254883 49.577217102050781, 17.251155853271484 49.577175140380859, 17.251026153564453 49.577167510986328, 17.250904083251953 49.577152252197266, 17.250873565673828 49.5771484375, 17.249664306640625 49.57696533203125, 17.249418258666992 49.576930999755859, 17.249155044555664 49.576885223388672, 17.248985290527344 49.576858520507812, 17.248876571655273 49.576839447021484, 17.248422622680664 49.576763153076172)"
4277976,,residential,yes,,,"LINESTRING (17.248876571655273 49.576839447021484, 17.248771667480469 49.576896667480469, 17.248729705810547 49.576930999755859, 17.248619079589844 49.577064514160156, 17.248517990112305 49.577243804931641)"
4277977,,service,,,,"LINEARRING (17.248819351196289 49.577968597412109, 17.248825073242188 49.577972412109375, 17.248830795288086 49.577972412109375, 17.24884033203125 49.577972412109375, 17.248846054077148 49.577968597412109, 17.248849868774414 49.577960968017578, 17.248851776123047 49.577957153320312, 17.248851776123047 49.577945709228516, 17.248844146728516 49.577934265136719, 17.248834609985352 49.577926635742188, 17.248825073242188 49.577922821044922, 17.248788833618164 49.577907562255859, 17.248720169067383 49.577911376953125, 17.248710632324219 49.577915191650391, 17.248703002929688 49.577873229980469, 17.248697280883789 49.577796936035156, 17.248720169067383 49.577796936035156, 17.248739242553711 49.577793121337891, 17.248748779296875 49.577789306640625, 17.248758316040039 49.577785491943359, 17.248764038085938 49.577781677246094, 17.248769760131836 49.577774047851562, 17.248775482177734 49.5777702331543, 17.248777389526367 49.577766418457031, 17.248777389526367 49.5777473449707, 17.248771667480469 49.577709197998047, 17.248743057250977 49.577449798583984, 17.248830795288086 49.577445983886719, 17.249013900756836 49.577434539794922, 17.249065399169922 49.577896118164062, 17.248991012573242 49.577899932861328, 17.248981475830078 49.577903747558594, 17.248973846435547 49.577911376953125, 17.248968124389648 49.577922821044922, 17.248966217041016 49.577934265136719, 17.248973846435547 49.577953338623047, 17.248979568481445 49.577976226806641, 17.248983383178711 49.578029632568359, 17.248987197875977 49.578075408935547, 17.248989105224609 49.578075408935547, 17.248933792114258 49.578079223632812, 17.248882293701172 49.578083038330078, 17.248872756958008 49.578041076660156, 17.248868942260742 49.578037261962891, 17.248861312866211 49.578029632568359, 17.248855590820312 49.578029632568359, 17.248842239379883 49.578029632568359, 17.248849868774414 49.578083038330078, 17.248870849609375 49.578201293945312, 17.248758316040039 49.578208923339844, 17.248722076416016 49.577930450439453, 17.248813629150391 49.577922821044922, 17.248819351196289 49.577968597412109)"
4277978,Schweitzerova,residential,,,,"LINESTRING (17.248703002929688 49.577873229980469, 17.248655319213867 49.577888488769531, 17.248598098754883 49.577899932861328)"
4278043,,primary_link,yes,,,"LINESTRING (17.276891708374023 49.588584899902344, 17.276824951171875 49.588508605957031, 17.276784896850586 49.588356018066406, 17.276744842529297 49.587974548339844, 17.276716232299805 49.587734222412109, 17.276679992675781 49.587261199951172, 17.276666641235352 49.587173461914062)"
4278044,,primary_link,yes,,yes,"LINESTRING (17.274587631225586 49.585906982421875, 17.274993896484375 49.586040496826172, 17.275232315063477 49.586135864257812, 17.275503158569336 49.586238861083984, 17.275796890258789 49.586360931396484, 17.276166915893555 49.586532592773438, 17.276695251464844 49.586772918701172)"
4278045,Smetanova,tertiary,,,,"LINESTRING (17.276891708374023 49.588584899902344, 17.27708625793457 49.588920593261719, 17.277267456054688 49.589176177978516, 17.277353286743164 49.589305877685547, 17.2775821685791 49.589595794677734, 17.277652740478516 49.589694976806641)"
4278046,Polská,tertiary,yes,,,"LINESTRING (17.2557373046875 49.587947845458984, 17.255868911743164 49.588119506835938, 17.255949020385742 49.588302612304688)"
4278049,Rooseveltova,secondary,,,,"LINESTRING (17.256843566894531 49.581039428710938, 17.256860733032227 49.580955505371094, 17.256874084472656 49.580924987792969, 17.256881713867188 49.580890655517578, 17.257015228271484 49.580520629882812)"
4278050,Rooseveltova,tertiary,,,,"LINESTRING (17.256843566894531 49.581039428710938, 17.256818771362305 49.581153869628906, 17.256801605224609 49.581233978271484, 17.256795883178711 49.581275939941406, 17.256752014160156 49.581596374511719, 17.256746292114258 49.581802368164062, 17.256738662719727 49.581886291503906, 17.256734848022461 49.581916809082031, 17.256723403930664 49.582191467285156, 17.256698608398438 49.582504272460938, 17.256668090820312 49.5828742980957, 17.256654739379883 49.583164215087891, 17.256591796875 49.583770751953125, 17.256555557250977 49.584114074707031, 17.25628662109375 49.584541320800781, 17.255786895751953 49.585330963134766, 17.255733489990234 49.585391998291016, 17.255655288696289 49.585521697998047, 17.255475997924805 49.585689544677734, 17.254772186279297 49.586254119873047, 17.254692077636719 49.586311340332031)"
4278052,Dlouhá,residential,,,,"LINESTRING (17.261112213134766 49.599052429199219, 17.2609920501709 49.599117279052734, 17.260473251342773 49.599201202392578)"
4280401,Řepčínská,tertiary,,,,"LINESTRING (17.229921340942383 49.607006072998047, 17.229011535644531 49.607917785644531)"
4280612,nám. Osvobození,tertiary,,,,"LINESTRING (17.206457138061523 49.637348175048828, 17.206502914428711 49.637386322021484, 17.206798553466797 49.637546539306641, 17.207111358642578 49.637718200683594, 17.207267761230469 49.637809753417969, 17.207851409912109 49.638145446777344, 17.208044052124023 49.638256072998047, 17.20823860168457 49.63836669921875, 17.208486557006836 49.638511657714844, 17.208847045898438 49.63873291015625, 17.208866119384766 49.638744354248047, 17.209455490112305 49.639114379882812)"
4280899,Libušina,tertiary,,,,"LINESTRING (17.300750732421875 49.596115112304688, 17.300725936889648 49.596218109130859)"
4280900,,service,,,,"LINESTRING (17.298171997070312 49.597782135009766, 17.298238754272461 49.5980110168457, 17.298257827758789 49.598075866699219, 17.29826545715332 49.598091125488281, 17.298332214355469 49.598308563232422, 17.298545837402344 49.599090576171875, 17.298587799072266 49.599250793457031)"
4280901,Jeremenkova,tertiary,,,,"LINESTRING (17.277908325195312 49.589962005615234, 17.278018951416016 49.590156555175781, 17.278099060058594 49.590381622314453, 17.278106689453125 49.590568542480469, 17.2780704498291 49.590713500976562, 17.277738571166992 49.591281890869141)"
4280902,,primary_link,yes,,,"LINESTRING (17.267623901367188 49.583091735839844, 17.268138885498047 49.583110809326172, 17.268398284912109 49.583110809326172, 17.26862907409668 49.583091735839844, 17.268886566162109 49.583038330078125, 17.268955230712891 49.583015441894531, 17.269186019897461 49.582973480224609, 17.269552230834961 49.582862854003906, 17.269796371459961 49.582851409912109)"
4280904,,primary_link,yes,,,"LINESTRING (17.267955780029297 49.584388732910156, 17.268171310424805 49.584178924560547, 17.268310546875 49.584053039550781, 17.268394470214844 49.583927154541016, 17.268424987792969 49.583793640136719, 17.268411636352539 49.583702087402344, 17.268344879150391 49.583583831787109, 17.2681941986084 49.583431243896484, 17.267856597900391 49.583259582519531)"
