Id, Road Name, Road Type, One Way, Lanes, Bridge, Geometry
4189876,Osloboditeľov,residential,,,,"LINESTRING (20.18663215637207 49.072681427001953, 20.186325073242188 49.073337554931641, 20.185876846313477 49.074150085449219)"
4189877,,residential,,,,"LINESTRING (20.184446334838867 49.071994781494141, 20.184026718139648 49.072364807128906, 20.183437347412109 49.072723388671875, 20.182720184326172 49.073146820068359)"
4189878,Kukučínova,residential,,,,"LINESTRING (20.184358596801758 49.074039459228516, 20.183120727539062 49.07342529296875, 20.182720184326172 49.073146820068359)"
4189879,,residential,,,,"LINESTRING (20.185764312744141 49.074386596679688, 20.184640884399414 49.074176788330078, 20.184358596801758 49.074039459228516)"
4189881,Jurkovičova,residential,,,,"LINESTRING (20.176229476928711 49.078571319580078, 20.177099227905273 49.078250885009766, 20.177186965942383 49.078227996826172, 20.17767333984375 49.078151702880859, 20.178003311157227 49.078166961669922, 20.178434371948242 49.078144073486328, 20.179285049438477 49.077968597412109, 20.180036544799805 49.0777702331543, 20.180992126464844 49.077522277832031, 20.183042526245117 49.077114105224609, 20.183650970458984 49.076950073242188, 20.184314727783203 49.076686859130859, 20.185615539550781 49.076122283935547, 20.185630798339844 49.076068878173828, 20.184839248657227 49.074851989746094)"
4189883,,residential,,,,"LINESTRING (20.184446334838867 49.071994781494141, 20.186220169067383 49.0726432800293)"
4189884,Komenského,residential,,,,"LINESTRING (20.182720184326172 49.073146820068359, 20.1822452545166 49.073360443115234, 20.182132720947266 49.07342529296875, 20.18104362487793 49.0740966796875)"
4189885,,residential,,,,"LINESTRING (20.1822452545166 49.073360443115234, 20.18211555480957 49.0732307434082, 20.181425094604492 49.07269287109375, 20.180652618408203 49.072116851806641)"
4189886,,residential,,,,"LINESTRING (20.184446334838867 49.071994781494141, 20.184541702270508 49.071914672851562, 20.185209274291992 49.071212768554688)"
4209116,Štefánikova,primary,yes,2,,"LINESTRING (20.310346603393555 49.059520721435547, 20.309892654418945 49.059272766113281, 20.3095645904541 49.059101104736328, 20.309352874755859 49.058990478515625, 20.309322357177734 49.058975219726562)"
4209117,,primary,yes,2,,"LINESTRING (20.266529083251953 49.060375213623047, 20.267068862915039 49.060188293457031, 20.267654418945312 49.060001373291016, 20.268318176269531 49.059669494628906, 20.268390655517578 49.059623718261719, 20.268701553344727 49.059421539306641, 20.269926071166992 49.058319091796875, 20.26997184753418 49.058284759521484, 20.27020263671875 49.0580940246582, 20.270368576049805 49.0579719543457, 20.270523071289062 49.057857513427734, 20.270761489868164 49.057704925537109, 20.271068572998047 49.057559967041016, 20.271417617797852 49.057430267333984, 20.272502899169922 49.05706787109375)"
4209118,,primary_link,yes,,,"LINESTRING (20.293491363525391 49.051681518554688, 20.293636322021484 49.051925659179688, 20.293668746948242 49.051982879638672, 20.293704986572266 49.052040100097656, 20.293735504150391 49.052074432373047, 20.293783187866211 49.052120208740234, 20.293825149536133 49.052154541015625, 20.293869018554688 49.052188873291016, 20.293910980224609 49.052211761474609, 20.293949127197266 49.052230834960938, 20.294008255004883 49.0522575378418, 20.294052124023438 49.052272796630859, 20.294090270996094 49.052280426025391, 20.294143676757812 49.052291870117188, 20.294197082519531 49.052295684814453, 20.29423713684082 49.052299499511719, 20.294267654418945 49.052299499511719, 20.29429817199707 49.052299499511719, 20.294322967529297 49.052299499511719, 20.294364929199219 49.052299499511719, 20.294391632080078 49.052295684814453, 20.294424057006836 49.052295684814453, 20.294458389282227 49.052288055419922, 20.29448127746582 49.052284240722656, 20.29450798034668 49.052280426025391, 20.294557571411133 49.052261352539062, 20.294618606567383 49.0522346496582, 20.294675827026367 49.052204132080078, 20.294702529907227 49.052192687988281, 20.29473876953125 49.052173614501953, 20.294767379760742 49.052154541015625, 20.2947940826416 49.052131652832031, 20.294824600219727 49.052104949951172, 20.294851303100586 49.052078247070312, 20.294900894165039 49.052024841308594, 20.294919967651367 49.051998138427734, 20.294940948486328 49.051963806152344, 20.294954299926758 49.051929473876953, 20.294967651367188 49.051895141601562, 20.294975280761719 49.0518798828125, 20.294979095458984 49.051849365234375, 20.29498291015625 49.051807403564453, 20.29498291015625 49.051773071289062, 20.294975280761719 49.051731109619141, 20.294963836669922 49.05169677734375, 20.294954299926758 49.051666259765625, 20.294944763183594 49.051643371582031, 20.294923782348633 49.051601409912109, 20.294897079467773 49.051563262939453)"
4342697,,primary,,,,"LINESTRING (20.282632827758789 49.011631011962891, 20.282520294189453 49.011749267578125, 20.282411575317383 49.011848449707031, 20.282073974609375 49.01214599609375, 20.281764984130859 49.012405395507812, 20.281599044799805 49.0125617980957)"
4342698,,primary,,,,"LINESTRING (20.282632827758789 49.011631011962891, 20.283010482788086 49.011196136474609, 20.283147811889648 49.011035919189453, 20.283283233642578 49.010845184326172, 20.28346061706543 49.010566711425781, 20.283632278442383 49.010272979736328, 20.283864974975586 49.009864807128906, 20.28400993347168 49.009605407714844, 20.284093856811523 49.009464263916016, 20.2841854095459 49.009273529052734, 20.284252166748047 49.009078979492188, 20.284286499023438 49.008884429931641, 20.284313201904297 49.008754730224609, 20.284347534179688 49.008644104003906, 20.284358978271484 49.00860595703125, 20.284372329711914 49.008583068847656, 20.284389495849609 49.0085563659668, 20.284412384033203 49.008529663085938, 20.284440994262695 49.008510589599609, 20.284467697143555 49.008491516113281, 20.284507751464844 49.008468627929688, 20.2845516204834 49.008445739746094, 20.284740447998047 49.008354187011719, 20.284812927246094 49.008316040039062, 20.284883499145508 49.008270263671875, 20.284904479980469 49.008255004882812, 20.284927368164062 49.008232116699219, 20.284950256347656 49.008209228515625, 20.284969329833984 49.0081787109375, 20.284990310668945 49.008144378662109, 20.284999847412109 49.00811767578125, 20.285005569458008 49.008087158203125, 20.285005569458008 49.0080451965332, 20.284999847412109 49.008010864257812, 20.284982681274414 49.007957458496094, 20.284940719604492 49.007831573486328, 20.2849178314209 49.007774353027344, 20.284914016723633 49.007740020751953, 20.284915924072266 49.007709503173828, 20.284929275512695 49.007659912109375, 20.284948348999023 49.007617950439453, 20.284984588623047 49.0075569152832, 20.285036087036133 49.007488250732422, 20.28508186340332 49.007438659667969, 20.28526496887207 49.007301330566406, 20.28544807434082 49.007175445556641, 20.285526275634766 49.007137298583984, 20.285615921020508 49.007110595703125, 20.285703659057617 49.007095336914062, 20.285804748535156 49.007087707519531, 20.285966873168945 49.007072448730469, 20.286060333251953 49.007057189941406, 20.286159515380859 49.007034301757812, 20.286220550537109 49.007011413574219, 20.286285400390625 49.006973266601562, 20.286348342895508 49.006927490234375, 20.286405563354492 49.006881713867188, 20.286565780639648 49.006786346435547, 20.28669548034668 49.0067253112793, 20.286922454833984 49.00665283203125, 20.28712272644043 49.006587982177734, 20.287422180175781 49.0064697265625, 20.287635803222656 49.006412506103516, 20.287790298461914 49.006389617919922, 20.288047790527344 49.006385803222656, 20.288360595703125 49.00640869140625, 20.28862190246582 49.006450653076172, 20.288787841796875 49.006462097167969, 20.288906097412109 49.006454467773438, 20.289018630981445 49.006416320800781, 20.289165496826172 49.006317138671875, 20.289243698120117 49.006275177001953, 20.289323806762695 49.006244659423828, 20.2894229888916 49.0062255859375, 20.28953742980957 49.006217956542969, 20.289693832397461 49.006221771240234, 20.289865493774414 49.006229400634766, 20.29014778137207 49.006271362304688, 20.290302276611328 49.006305694580078, 20.290430068969727 49.006332397460938, 20.290544509887695 49.006351470947266, 20.290618896484375 49.0063591003418, 20.290693283081055 49.006343841552734, 20.290744781494141 49.006313323974609, 20.290771484375 49.006290435791016, 20.290781021118164 49.006259918212891, 20.290779113769531 49.006187438964844, 20.290775299072266 49.006145477294922, 20.290763854980469 49.006111145019531, 20.290750503540039 49.006076812744141, 20.290712356567383 49.006004333496094, 20.29066276550293 49.00592041015625, 20.290546417236328 49.005752563476562, 20.290327072143555 49.0054817199707, 20.290283203125 49.005416870117188, 20.290264129638672 49.005378723144531, 20.290252685546875 49.005340576171875, 20.290241241455078 49.005287170410156, 20.290245056152344 49.005233764648438, 20.290256500244141 49.005176544189453, 20.2902774810791 49.005126953125, 20.290309906005859 49.005046844482422, 20.290349960327148 49.004989624023438, 20.290401458740234 49.004924774169922, 20.290454864501953 49.004867553710938, 20.290622711181641 49.0047607421875, 20.290884017944336 49.004657745361328, 20.291217803955078 49.00457763671875, 20.292299270629883 49.004447937011719, 20.293912887573242 49.004306793212891, 20.295145034790039 49.004222869873047, 20.296648025512695 49.004169464111328, 20.297037124633789 49.004158020019531, 20.297462463378906 49.004131317138672, 20.298269271850586 49.004051208496094, 20.2988224029541 49.003971099853516, 20.299259185791016 49.003879547119141, 20.299707412719727 49.003765106201172, 20.299896240234375 49.00372314453125, 20.300058364868164 49.003704071044922, 20.300174713134766 49.003700256347656, 20.300294876098633 49.003707885742188, 20.300535202026367 49.003742218017578, 20.300760269165039 49.003765106201172, 20.300926208496094 49.0037727355957, 20.301076889038086 49.003753662109375, 20.301229476928711 49.003707885742188, 20.30140495300293 49.003597259521484, 20.301614761352539 49.003463745117188, 20.301721572875977 49.003398895263672, 20.301895141601562 49.003345489501953, 20.302127838134766 49.003314971923828, 20.30238151550293 49.003299713134766, 20.302829742431641 49.003303527832031, 20.303199768066406 49.0033073425293, 20.303348541259766 49.0032958984375, 20.303632736206055 49.003273010253906, 20.304050445556641 49.003231048583984, 20.304519653320312 49.003143310546875, 20.304969787597656 49.003021240234375, 20.305385589599609 49.002887725830078, 20.305788040161133 49.002723693847656, 20.306097030639648 49.002582550048828, 20.306388854980469 49.002426147460938, 20.306568145751953 49.002326965332031, 20.30674934387207 49.002212524414062, 20.306848526000977 49.002147674560547, 20.306957244873047 49.002067565917969, 20.307167053222656 49.001907348632812, 20.307424545288086 49.001686096191406, 20.307649612426758 49.001480102539062, 20.307741165161133 49.001384735107422, 20.307842254638672 49.001270294189453, 20.308040618896484 49.001018524169922, 20.308168411254883 49.000827789306641, 20.308298110961914 49.000633239746094, 20.308364868164062 49.000522613525391, 20.308433532714844 49.000389099121094, 20.308513641357422 49.000205993652344, 20.308591842651367 48.9999885559082, 20.308639526367188 48.999839782714844, 20.308691024780273 48.999652862548828, 20.308742523193359 48.99932861328125, 20.308773040771484 48.998958587646484, 20.30879020690918 48.998428344726562, 20.308803558349609 48.996147155761719, 20.308845520019531 48.993026733398438)"
4342699,,primary,,,,"LINESTRING (20.29022216796875 49.044559478759766, 20.290281295776367 49.044692993164062, 20.290323257446289 49.044784545898438, 20.2903995513916 49.044918060302734, 20.29046630859375 49.045021057128906, 20.290512084960938 49.045074462890625, 20.29057502746582 49.045143127441406, 20.290647506713867 49.045223236083984, 20.291271209716797 49.045783996582031, 20.291479110717773 49.046005249023438)"
4633779,Cesta slobody,secondary,,,,"LINESTRING (20.226133346557617 49.140190124511719, 20.226303100585938 49.140064239501953, 20.226570129394531 49.139965057373047, 20.226673126220703 49.139915466308594, 20.226772308349609 49.139846801757812, 20.226865768432617 49.139732360839844, 20.226961135864258 49.139484405517578, 20.22705078125 49.139305114746094, 20.227109909057617 49.139190673828125, 20.227216720581055 49.139045715332031, 20.227388381958008 49.138912200927734, 20.227506637573242 49.138847351074219, 20.227676391601562 49.138790130615234, 20.22804069519043 49.138717651367188, 20.229215621948242 49.138496398925781, 20.229534149169922 49.138462066650391, 20.229875564575195 49.138465881347656, 20.230405807495117 49.138484954833984, 20.230667114257812 49.138496398925781, 20.230905532836914 49.138530731201172, 20.231037139892578 49.1385612487793, 20.231199264526367 49.138618469238281, 20.23139762878418 49.138694763183594, 20.231565475463867 49.138790130615234, 20.231718063354492 49.138916015625, 20.23200798034668 49.139205932617188, 20.232173919677734 49.139358520507812, 20.232280731201172 49.139427185058594, 20.232364654541016 49.139461517333984, 20.232738494873047 49.139541625976562, 20.232900619506836 49.139572143554688, 20.233488082885742 49.139667510986328, 20.233762741088867 49.139713287353516, 20.234359741210938 49.139785766601562, 20.234657287597656 49.139820098876953, 20.235107421875 49.139884948730469, 20.235502243041992 49.13995361328125, 20.235748291015625 49.1400032043457, 20.235944747924805 49.140064239501953, 20.2360897064209 49.140113830566406, 20.236289978027344 49.140193939208984, 20.236543655395508 49.14031982421875, 20.236785888671875 49.140464782714844, 20.237279891967773 49.140853881835938, 20.237720489501953 49.141204833984375, 20.238149642944336 49.141544342041016, 20.238771438598633 49.142024993896484, 20.239028930664062 49.142173767089844, 20.239297866821289 49.142299652099609, 20.239608764648438 49.142402648925781, 20.239843368530273 49.1424560546875, 20.240179061889648 49.142528533935547, 20.2404727935791 49.142593383789062, 20.240779876708984 49.142673492431641, 20.241073608398438 49.142787933349609, 20.241252899169922 49.142879486083984, 20.24146842956543 49.143013000488281, 20.241727828979492 49.143253326416016, 20.241918563842773 49.1434211730957, 20.241971969604492 49.143482208251953, 20.242179870605469 49.143642425537109)"
4634130,,tertiary,yes,,,"LINESTRING (20.293930053710938 49.054622650146484, 20.293796539306641 49.054615020751953, 20.29371452331543 49.054622650146484, 20.293422698974609 49.054656982421875)"
4634131,,primary,yes,2,,"LINESTRING (20.293743133544922 49.054069519042969, 20.293779373168945 49.054042816162109, 20.293821334838867 49.05401611328125, 20.293867111206055 49.053997039794922, 20.293914794921875 49.053974151611328, 20.293966293334961 49.053958892822266, 20.29401969909668 49.053947448730469, 20.2940731048584 49.053936004638672, 20.294130325317383 49.053932189941406, 20.294185638427734 49.053932189941406, 20.294242858886719 49.053932189941406)"
4634132,,primary,yes,2,,"LINESTRING (20.293384552001953 49.05120849609375, 20.293491363525391 49.051681518554688)"
4634133,,primary,,,,"LINESTRING (20.292463302612305 49.051383972167969, 20.292716979980469 49.051399230957031, 20.292837142944336 49.0514030456543, 20.292953491210938 49.051406860351562)"
4634134,,primary,,3,,"LINESTRING (20.294025421142578 49.051357269287109, 20.294290542602539 49.05133056640625)"
4634135,,primary_link,yes,1,,"LINESTRING (20.295009613037109 49.05120849609375, 20.2950439453125 49.05126953125, 20.295082092285156 49.051479339599609, 20.295125961303711 49.051795959472656)"
4634146,,primary_link,yes,,,"LINESTRING (20.293193817138672 49.051048278808594, 20.293046951293945 49.050712585449219, 20.293001174926758 49.050636291503906, 20.292942047119141 49.050563812255859, 20.292900085449219 49.050529479980469, 20.292810440063477 49.05047607421875, 20.292715072631836 49.050434112548828, 20.292631149291992 49.0504150390625, 20.292566299438477 49.0504035949707, 20.292488098144531 49.050395965576172, 20.292388916015625 49.050399780273438, 20.292301177978516 49.050411224365234, 20.292163848876953 49.050468444824219, 20.2918701171875 49.050613403320312, 20.291757583618164 49.050678253173828, 20.291660308837891 49.050746917724609, 20.291614532470703 49.050807952880859, 20.291587829589844 49.050888061523438)"
4634147,,primary_link,yes,,,"LINESTRING (20.291587829589844 49.050888061523438, 20.291629791259766 49.051006317138672, 20.291650772094727 49.051044464111328, 20.29167366027832 49.051078796386719, 20.291702270507812 49.051109313964844, 20.291732788085938 49.051139831542969, 20.291778564453125 49.051174163818359, 20.291828155517578 49.051197052001953, 20.291896820068359 49.051231384277344, 20.291963577270508 49.0512580871582, 20.292030334472656 49.0512809753418, 20.2921085357666 49.051303863525391, 20.292463302612305 49.051383972167969)"
4634148,,residential,yes,1,,"LINESTRING (20.287410736083984 49.05047607421875, 20.287511825561523 49.050628662109375, 20.287616729736328 49.050708770751953, 20.2877254486084 49.050750732421875, 20.287921905517578 49.050811767578125)"
4634149,,primary,yes,2,,"LINESTRING (20.293743133544922 49.054069519042969, 20.293701171875 49.053836822509766, 20.293617248535156 49.053623199462891, 20.293569564819336 49.053386688232422, 20.29356575012207 49.053367614746094, 20.293544769287109 49.053230285644531, 20.293481826782227 49.0528678894043, 20.293468475341797 49.052787780761719, 20.293378829956055 49.052207946777344, 20.293193817138672 49.051048278808594)"
4634150,,primary,,2,,"LINESTRING (20.274482727050781 49.056194305419922, 20.2745304107666 49.056159973144531, 20.274751663208008 49.056003570556641, 20.275390625 49.0555534362793)"
4815721,Cesta slobody,secondary,,,,"LINESTRING (20.21245002746582 49.136310577392578, 20.212886810302734 49.136528015136719, 20.213300704956055 49.136714935302734, 20.213647842407227 49.136856079101562, 20.2142333984375 49.137039184570312, 20.21455192565918 49.137115478515625, 20.215089797973633 49.137226104736328, 20.215269088745117 49.137245178222656, 20.215429306030273 49.137245178222656, 20.215587615966797 49.137226104736328, 20.216228485107422 49.137077331542969, 20.216409683227539 49.137046813964844, 20.216432571411133 49.137042999267578, 20.216526031494141 49.137035369873047, 20.216663360595703 49.137039184570312, 20.216773986816406 49.137050628662109, 20.216897964477539 49.137081146240234, 20.217447280883789 49.137245178222656, 20.218742370605469 49.137615203857422, 20.218830108642578 49.137641906738281, 20.219820022583008 49.137943267822266, 20.220014572143555 49.138008117675781, 20.220149993896484 49.138080596923828, 20.220268249511719 49.138156890869141, 20.220352172851562 49.138233184814453, 20.220407485961914 49.138336181640625, 20.220439910888672 49.138511657714844, 20.220460891723633 49.138717651367188, 20.220485687255859 49.138935089111328, 20.220516204833984 49.139198303222656, 20.220556259155273 49.139522552490234, 20.220573425292969 49.139591217041016, 20.220615386962891 49.139652252197266, 20.220705032348633 49.139724731445312, 20.220859527587891 49.139793395996094)"
4815722,Cesta slobody,secondary,,,,"LINESTRING (20.066184997558594 49.111606597900391, 20.067363739013672 49.111484527587891, 20.068140029907227 49.111415863037109, 20.068319320678711 49.111396789550781, 20.068525314331055 49.111370086669922, 20.068737030029297 49.111328125, 20.068931579589844 49.11126708984375, 20.069831848144531 49.110919952392578, 20.070138931274414 49.110874176025391, 20.070301055908203 49.110870361328125, 20.070457458496094 49.110881805419922, 20.070564270019531 49.110897064208984, 20.070676803588867 49.110927581787109, 20.070911407470703 49.111007690429688, 20.071006774902344 49.111057281494141, 20.071077346801758 49.111106872558594, 20.071296691894531 49.1113166809082, 20.071704864501953 49.111717224121094, 20.071857452392578 49.111835479736328, 20.071964263916016 49.111904144287109, 20.072076797485352 49.111968994140625, 20.072214126586914 49.112033843994141, 20.072311401367188 49.112060546875, 20.072507858276367 49.112094879150391, 20.072681427001953 49.112110137939453, 20.072864532470703 49.112106323242188, 20.073034286499023 49.112094879150391, 20.073184967041016 49.112075805664062, 20.073390960693359 49.112041473388672, 20.073562622070312 49.112003326416016, 20.073715209960938 49.111946105957031, 20.073989868164062 49.111831665039062, 20.07435417175293 49.111663818359375, 20.07465934753418 49.111492156982422, 20.074895858764648 49.111335754394531, 20.075246810913086 49.111045837402344, 20.075355529785156 49.1109619140625, 20.075498580932617 49.110885620117188, 20.075656890869141 49.110816955566406, 20.07581901550293 49.110767364501953, 20.076000213623047 49.110721588134766, 20.076169967651367 49.1107063293457, 20.07634162902832 49.110694885253906, 20.076499938964844 49.110702514648438, 20.07666015625 49.1107177734375, 20.076837539672852 49.110748291015625, 20.076999664306641 49.110786437988281, 20.077175140380859 49.110843658447266, 20.077322006225586 49.110927581787109, 20.077447891235352 49.111030578613281, 20.077558517456055 49.111137390136719, 20.077676773071289 49.111293792724609, 20.077863693237305 49.111652374267578, 20.078948974609375 49.113960266113281, 20.079093933105469 49.114223480224609, 20.079254150390625 49.1144905090332, 20.07928466796875 49.114524841308594, 20.079713821411133 49.114982604980469, 20.080165863037109 49.115425109863281, 20.080612182617188 49.115764617919922, 20.081087112426758 49.116085052490234, 20.081506729125977 49.116325378417969, 20.081783294677734 49.116481781005859, 20.082151412963867 49.116653442382812, 20.0826473236084 49.116844177246094, 20.082923889160156 49.116920471191406, 20.083208084106445 49.116989135742188, 20.083423614501953 49.117027282714844, 20.083648681640625 49.117046356201172, 20.083915710449219 49.117038726806641, 20.084192276000977 49.117023468017578, 20.086973190307617 49.11669921875, 20.087766647338867 49.116569519042969, 20.088472366333008 49.116428375244141, 20.089141845703125 49.116252899169922, 20.089967727661133 49.116004943847656, 20.091619491577148 49.115486145019531, 20.092500686645508 49.115161895751953, 20.093034744262695 49.11492919921875, 20.093338012695312 49.114780426025391, 20.093582153320312 49.114704132080078, 20.09375 49.114681243896484, 20.093906402587891 49.114681243896484, 20.094150543212891 49.114730834960938, 20.094293594360352 49.114791870117188, 20.094419479370117 49.114883422851562, 20.094568252563477 49.115047454833984, 20.09473991394043 49.115436553955078, 20.094873428344727 49.115699768066406, 20.095003128051758 49.115886688232422, 20.095113754272461 49.116004943847656, 20.095241546630859 49.116107940673828, 20.09538459777832 49.1161994934082, 20.095518112182617 49.116275787353516, 20.095712661743164 49.116374969482422, 20.096080780029297 49.116519927978516, 20.098106384277344 49.117301940917969, 20.098258972167969 49.117366790771484, 20.098653793334961 49.117595672607422, 20.098867416381836 49.117713928222656, 20.099092483520508 49.1178092956543, 20.099300384521484 49.117862701416016, 20.099483489990234 49.117893218994141, 20.099752426147461 49.1179084777832, 20.100048065185547 49.117897033691406, 20.100238800048828 49.117877960205078, 20.100442886352539 49.117847442626953, 20.100698471069336 49.1177864074707, 20.101081848144531 49.117668151855469, 20.101469039916992 49.117500305175781, 20.101871490478516 49.117267608642578, 20.102663040161133 49.116611480712891, 20.102924346923828 49.116458892822266, 20.1030330657959 49.116413116455078, 20.10319709777832 49.116371154785156, 20.103370666503906 49.116359710693359, 20.103523254394531 49.116363525390625, 20.103673934936523 49.116386413574219, 20.103811264038086 49.116424560546875, 20.103954315185547 49.116481781005859, 20.104055404663086 49.116546630859375, 20.104152679443359 49.116649627685547, 20.104482650756836 49.117019653320312, 20.104593276977539 49.117118835449219, 20.104709625244141 49.117206573486328, 20.104839324951172 49.117286682128906, 20.1049747467041 49.117347717285156, 20.105100631713867 49.117404937744141, 20.105224609375 49.117446899414062, 20.1053524017334 49.117481231689453, 20.105525970458984 49.117504119873047, 20.105709075927734 49.117515563964844, 20.106487274169922 49.117496490478516, 20.106599807739258 49.117500305175781, 20.106739044189453 49.117515563964844, 20.106840133666992 49.117534637451172, 20.106937408447266 49.1175651550293, 20.1071834564209 49.117649078369141, 20.107271194458008 49.117679595947266, 20.107387542724609 49.117710113525391, 20.1075382232666 49.117733001708984, 20.10820198059082 49.117729187011719, 20.108366012573242 49.117733001708984, 20.108537673950195 49.117755889892578, 20.109090805053711 49.117916107177734, 20.109218597412109 49.117946624755859, 20.109363555908203 49.117961883544922, 20.109529495239258 49.117969512939453, 20.109722137451172 49.117961883544922, 20.109966278076172 49.117938995361328, 20.110177993774414 49.117885589599609, 20.110456466674805 49.117774963378906, 20.111013412475586 49.117523193359375, 20.111274719238281 49.117412567138672, 20.111536026000977 49.117313385009766, 20.11175537109375 49.117244720458984, 20.111948013305664 49.1171989440918, 20.112159729003906 49.117172241210938, 20.112472534179688 49.117141723632812, 20.112781524658203 49.117141723632812, 20.112953186035156 49.117160797119141, 20.113239288330078 49.117210388183594, 20.113500595092773 49.117286682128906, 20.1136417388916 49.117336273193359, 20.113815307617188 49.117424011230469, 20.113979339599609 49.117511749267578, 20.114112854003906 49.117618560791016, 20.114213943481445 49.117740631103516, 20.114292144775391 49.117855072021484, 20.1143741607666 49.118011474609375, 20.114433288574219 49.118221282958984, 20.114416122436523 49.1183967590332, 20.114362716674805 49.118564605712891, 20.114250183105469 49.118766784667969, 20.114089965820312 49.118953704833984, 20.113426208496094 49.119728088378906, 20.113191604614258 49.119979858398438, 20.113086700439453 49.120124816894531, 20.113019943237305 49.120262145996094, 20.113008499145508 49.120342254638672, 20.113018035888672 49.120399475097656, 20.113080978393555 49.120487213134766, 20.113187789916992 49.120571136474609, 20.113298416137695 49.120613098144531, 20.113468170166016 49.120628356933594, 20.113574981689453 49.1206169128418, 20.113668441772461 49.120597839355469, 20.113761901855469 49.120563507080078, 20.113851547241211 49.120517730712891, 20.114004135131836 49.120414733886719, 20.114160537719727 49.120307922363281, 20.114307403564453 49.120220184326172, 20.114471435546875 49.120143890380859, 20.114658355712891 49.120071411132812, 20.11585807800293 49.119697570800781, 20.116870880126953 49.119415283203125, 20.117074966430664 49.119354248046875, 20.117282867431641 49.119266510009766, 20.117498397827148 49.119140625, 20.117969512939453 49.118682861328125, 20.118152618408203 49.118503570556641, 20.118335723876953 49.118370056152344, 20.118486404418945 49.1182746887207, 20.118648529052734 49.118202209472656, 20.11884880065918 49.118114471435547, 20.119104385375977 49.1180305480957, 20.119388580322266 49.117958068847656, 20.119672775268555 49.117916107177734, 20.120010375976562 49.117904663085938, 20.120275497436523 49.117912292480469, 20.120515823364258 49.117935180664062, 20.120817184448242 49.117996215820312, 20.121255874633789 49.118148803710938, 20.121395111083984 49.118202209472656, 20.121702194213867 49.118305206298828, 20.1219539642334 49.118366241455078, 20.122201919555664 49.1183967590332, 20.12248420715332 49.1183967590332, 20.122720718383789 49.118377685546875, 20.123016357421875 49.118312835693359, 20.123212814331055 49.118240356445312, 20.123371124267578 49.118160247802734, 20.123544692993164 49.118049621582031, 20.12415885925293 49.117633819580078, 20.124412536621094 49.117523193359375, 20.124500274658203 49.117477416992188)"
4815783,,residential,,,,"LINESTRING (20.217447280883789 49.137245178222656, 20.217496871948242 49.137184143066406, 20.217536926269531 49.137134552001953, 20.217609405517578 49.1370964050293, 20.2176570892334 49.137050628662109, 20.217739105224609 49.136920928955078, 20.21776008605957 49.136886596679688, 20.217891693115234 49.136600494384766)"
